Player Name,Club Name,Tackles,Challenges,Blocks,,Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att,Tkl%,Lost,Sh
Jens Odgaard,Bologna,dk DEN,"FW,MF",0,4,4,1,1,2,1,9,33.3,2,9,0,1,5,3,Matches
Jesper Karlsson,Bologna,se SWE,FW,0,3,3,2,1,0,2,4,25.0,6,4,0,5,7,1,Matches
Sydney van Hooijdonk,Bologna,nl NED,FW,0,3,1,0,2,1,1,0,50.0,1,1,1,1,4,4,Matches
Tommaso Corazza,Bologna,it ITA,DF,0,10,6,9,1,0,4,2,44.4,5,2,0,6,15,3,Matches
Kevin Bonifazi,Bologna,it ITA,DF,1,4,5,0,4,0,1,0,50.0,1,0,0,3,4,7,Matches
Santiago Castro,Bologna,ar ARG,FW,0,2,1,0,1,1,1,1,33.3,2,1,0,1,3,1,Matches
Nicolás Domínguez,Bologna,ar ARG,MF,0,1,3,1,0,0,0,3,0.0,2,3,0,2,1,2,Matches
Marko Arnautović,Bologna,at AUT,FW,,,0,,,,,,,,,,0,0,,Matches
Niklas Pyyhtiä,Bologna,fi FIN,FW,,,1,,,,,,,,,,0,0,,Matches
Nicola Bagnolini,Bologna,it ITA,GK,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
Kenny Lala,Brest,mg MAD,DF,1,78,61,39,28,11,30,21,53.6,26,27,6,31,106,75,Matches
Bradley Locko,Brest,fr FRA,DF,0,97,56,57,34,6,47,27,58.8,33,28,1,41,137,69,Matches
Brendan Chardonnet,Brest,fr FRA,DF,3,57,38,33,22,2,32,24,50.8,31,58,34,55,110,139,Matches
Marco Bizot,Brest,nl NED,GK,3,0,0,0,0,0,0,0,0.0,1,0,0,0,0,18,Matches
Lilian Brassier,Brest,fr FRA,DF,0,31,18,18,13,0,12,7,50.0,12,28,21,44,72,93,Matches
Romain Del Castillo,Brest,fr FRA,FW,0,46,29,14,18,14,18,32,25.7,52,33,1,9,55,8,Matches
Pierre Lees-Melou,Brest,fr FRA,MF,3,96,71,51,41,4,49,50,38.0,80,61,11,46,139,64,Matches
Hugo Magnetti,Brest,fr FRA,MF,0,49,33,18,26,5,24,18,41.4,34,19,1,21,67,18,Matches
Mahdi Camara,Brest,fr FRA,MF,0,55,42,8,40,7,20,23,40.8,29,24,1,27,82,19,Matches
Martin Satriano,Brest,uy URU,FW,0,24,19,6,13,5,10,12,40.0,15,19,7,7,31,28,Matches
Steve Mounié,Brest,bj BEN,FW,0,8,9,0,3,5,3,10,27.3,8,13,3,3,10,18,Matches
Jérémy Le Douaron,Brest,fr FRA,FW,0,21,13,7,9,5,11,13,42.3,15,14,1,2,23,10,Matches
Jonas Martin,Brest,fr FRA,MF,2,43,33,17,24,2,21,14,58.3,15,16,2,12,52,28,Matches
Mathias Pereira Lage,Brest,pt POR,"FW,MF",0,21,15,7,8,6,7,9,25.0,21,14,5,10,31,13,Matches
Kamory Doumbia,Brest,ml MLI,MF,0,28,20,8,10,10,10,14,34.5,19,14,0,11,37,6,Matches
Julien Le Cardinal,Brest,fr FRA,DF,0,19,16,11,7,1,8,3,66.7,4,6,3,19,32,26,Matches
Grégoire Coudert,Brest,fr FRA,GK,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
Bilal Brahimi,Brest,dz ALG,"FW,MF",0,0,0,0,0,0,0,3,0.0,3,3,0,0,0,0,Matches
Achraf Dari,Brest,ma MAR,"DF,FW",1,1,1,1,0,0,0,2,0.0,2,2,0,5,6,9,Matches
Luc Zogbé,Brest,ci CIV,DF,0,0,1,0,0,0,0,0,0.0,1,1,1,4,1,0,Matches
Axel Camblan,Brest,fr FRA,FW,0,3,1,0,2,1,2,2,50.0,2,2,0,0,3,0,Matches
Jordan Amavi,Brest,fr FRA,DF,0,1,1,0,1,0,1,1,33.3,2,2,1,3,4,2,Matches
Adrien Lebeau,Brest,fr FRA,"MF,FW",0,0,0,0,0,0,0,1,0.0,3,2,1,0,0,1,Matches
Karamoko Dembélé,Brest,eng ENG,"MF,FW",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
Hianga Mananga Mbock,Brest,fr FRA,"MF,FW",0,1,0,0,0,1,1,0,50.0,1,0,0,1,2,0,Matches
Ezri Konsa,Aston Villa,eng ENG,DF,3,64,41,34,26,4,25,17,83.3,5,38,21,33,95,86,Matches
Ollie Watkins,Aston Villa,eng ENG,FW,0,13,11,0,5,8,5,26,45.5,6,31,5,4,17,23,Matches
Douglas Luiz,Aston Villa,br BRA,MF,2,72,44,29,30,13,30,29,47.6,33,37,8,28,97,27,Matches
John McGinn,Aston Villa,sct SCO,"MF,FW",0,70,44,21,41,8,38,36,44.2,48,40,4,26,95,23,Matches
Emiliano Martínez,Aston Villa,ar ARG,GK,3,0,0,0,0,0,0,0,,0,0,0,1,1,16,Matches
Matty Cash,Aston Villa,pl POL,DF,0,66,46,32,27,7,35,27,51.5,33,42,15,27,89,74,Matches
Lucas Digne,Aston Villa,fr FRA,DF,0,62,29,44,15,3,33,23,57.9,24,26,3,34,96,86,Matches
Pau Torres,Aston Villa,es ESP,DF,0,33,20,20,12,1,15,17,45.5,18,31,14,17,48,89,Matches
Moussa Diaby,Aston Villa,fr FRA,"FW,MF",0,20,10,7,6,7,6,10,23.1,20,11,1,10,30,6,Matches
Leon Bailey,Aston Villa,jm JAM,"MF,FW",0,21,16,9,6,6,6,23,28.6,15,24,1,12,33,9,Matches
Youri Tielemans,Aston Villa,be BEL,"MF,FW",1,52,27,21,25,6,23,27,44.2,29,31,4,21,72,10,Matches
Diego Carlos,Aston Villa,br BRA,DF,3,32,17,25,5,2,14,6,63.6,8,26,20,13,45,90,Matches
Boubacar Kamara,Aston Villa,fr FRA,MF,2,49,45,21,21,7,27,16,51.9,25,24,8,29,74,17,Matches
Clément Lenglet,Aston Villa,fr FRA,DF,1,19,12,11,7,1,11,10,61.1,7,22,12,15,32,57,Matches
Álex Moreno,Aston Villa,es ESP,DF,0,22,17,20,1,1,14,11,60.9,9,13,2,16,35,45,Matches
Nicolò Zaniolo,Aston Villa,it ITA,"FW,MF",0,22,10,11,8,3,10,14,52.6,9,14,0,2,23,12,Matches
Jacob Ramsey,Aston Villa,eng ENG,"FW,MF",0,18,14,8,7,3,6,14,35.3,11,16,2,3,21,8,Matches
Jhon Durán,Aston Villa,co COL,"FW,MF",0,8,7,3,2,3,3,9,33.3,6,9,0,1,9,14,Matches
Morgan Rogers,Aston Villa,eng ENG,"MF,FW",1,14,4,7,4,3,6,11,33.3,12,11,0,4,18,13,Matches
Robin Olsen,Aston Villa,se SWE,GK,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,Matches
Leander Dendoncker,Aston Villa,be BEL,MF,1,6,5,3,2,1,4,4,80.0,1,6,2,4,9,6,Matches
Tim Iroegbunam,Aston Villa,eng ENG,MF,0,9,6,4,4,1,4,3,40.0,6,4,1,6,15,3,Matches
Calum Chambers,Aston Villa,eng ENG,"MF,DF",0,4,1,4,0,0,1,2,50.0,1,4,2,4,8,5,Matches
Filip Marshall,Aston Villa,eng ENG,GK,0,1,1,1,0,0,1,0,100.0,0,0,0,0,1,2,Matches
Omari Kellyman,Aston Villa,eng ENG,FW,0,1,1,0,1,0,1,0,50.0,1,0,0,0,1,0,Matches
Tyrone Mings,Aston Villa,eng ENG,DF,0,0,0,0,0,0,0,0,,0,0,0,1,1,1,Matches
Bertrand Traoré,Aston Villa,bf BFA,"DF,FW",0,1,1,1,0,0,0,0,,0,0,0,0,1,1,Matches
Philippe Coutinho,Aston Villa,br BRA,"MF,FW",0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,Matches
Tommi O'Reilly,Aston Villa,eng ENG,MF,0,0,0,0,0,0,0,1,,0,1,0,0,0,0,Matches
Kaine Kesler-Hayden,Aston Villa,eng ENG,"MF,DF",0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Matches
Finley Munroe,Aston Villa,eng ENG,MF,0,0,0,0,0,0,0,0,,0,0,0,1,1,0,Matches
Cameron Archer,Aston Villa,eng ENG,MF,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
Jaden Philogene Bidace,Aston Villa,eng ENG,FW,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
Lucas Chevalier,Lille,fr FRA,GK,3,3,0,3,0,0,3,1,75.0,1,1,0,0,3,13,Matches
Benjamin André,Lille,fr FRA,MF,0,113,74,45,60,8,52,37,51.0,50,44,7,51,161,78,Matches
Leny Yoro,Lille,fr FRA,DF,1,40,29,29,8,3,18,6,54.5,15,22,16,45,83,115,Matches
Jonathan David,Lille,ca CAN,FW,0,29,18,8,13,8,9,20,29.0,22,21,1,11,39,6,Matches
Tiago Santos,Lille,pt POR,DF,0,75,54,38,23,14,37,26,58.7,26,32,6,20,95,54,Matches
Angel Gomes,Lille,eng ENG,MF,1,32,19,5,19,8,17,21,42.5,23,27,6,20,52,33,Matches
Ismaily,Lille,br BRA,DF,0,82,59,38,27,17,38,30,55.1,31,37,7,39,116,86,Matches
Edon Zhegrova,Lille,xk KVX,FW,0,36,24,9,18,9,14,17,34.1,27,18,1,10,46,9,Matches
Alexsandro Ribeiro,Lille,br BRA,DF,5,38,29,28,10,0,22,12,56.4,17,33,21,44,78,146,Matches
Nabil Bentaleb,Lille,dz ALG,MF,0,57,36,33,21,3,25,24,49.0,26,38,14,50,106,39,Matches
Gabriel Gudmundsson,Lille,se SWE,"DF,FW",1,36,29,15,16,5,17,15,58.6,12,21,6,23,59,39,Matches
Bafodé Diakité,Lille,fr FRA,DF,1,31,22,13,16,2,25,11,75.8,8,22,11,24,55,62,Matches
Yusuf Yazıcı,Lille,tr TUR,"MF,FW",0,21,13,6,10,5,4,11,19.0,17,12,1,6,27,9,Matches
Rémy Cabella,Lille,fr FRA,"FW,MF",0,73,48,25,31,17,28,45,39.4,43,46,1,7,80,8,Matches
Hákon Arnar Haraldsson,Lille,is ISL,"FW,MF",0,14,11,4,9,1,5,8,20.8,19,11,3,9,23,11,Matches
Ivan Cavaleiro,Lille,pt POR,FW,0,11,7,3,5,3,8,8,36.4,14,10,2,5,16,7,Matches
Samuel Umtiti,Lille,fr FRA,DF,0,6,5,5,1,0,5,2,55.6,4,3,1,6,11,14,Matches
Ayyoub Bouaddi,Lille,fr FRA,MF,1,16,8,11,5,0,6,6,37.5,10,7,1,5,19,8,Matches
Adam Ounas,Lille,dz ALG,FW,0,7,4,2,3,2,5,3,50.0,5,3,0,11,15,3,Matches
Vito Mannone,Lille,it ITA,GK,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
Akim Zedadka,Lille,dz ALG,DF,0,2,5,0,2,0,2,2,100.0,0,2,0,2,3,2,Matches
Alan Virginius,Lille,fr FRA,FW,0,1,1,1,0,0,0,1,0.0,1,1,0,0,1,0,Matches
Ignacio Miramon,Lille,ar ARG,MF,0,2,1,0,2,0,0,1,0.0,1,1,0,1,3,0,Matches
Amine Messoussa,Lille,fr FRA,FW,0,1,0,0,1,0,0,0,,0,0,0,0,1,0,Matches
Tiago Fonseca Morais,Lille,pt POR,FW,0,1,1,0,1,0,0,0,,0,0,0,1,2,0,Matches
Carlos Baleba,Lille,cm CMR,MF,0,6,2,1,4,1,3,0,75.0,1,0,0,2,8,0,Matches
Aaron Malouda,Lille,fr FRA,FW,0,1,0,0,0,1,0,0,,0,0,0,0,1,0,Matches
Trévis Dago,Lille,ci CIV,"FW,MF",0,0,0,0,0,0,0,0,,0,0,0,1,1,0,Matches
Andrej Ilic,Lille,rs SRB,FW,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
Joffrey Bazié,Lille,bf BFA,FW,0,1,1,0,1,0,1,0,100.0,0,0,0,0,1,0,Matches
Ichem Ferrah,Lille,fr FRA,FW,0,2,0,0,2,0,2,1,50.0,2,1,0,0,2,0,Matches
Adame Faiz,Lille,fr FRA,MF,0,0,0,0,0,0,0,1,,0,1,0,0,0,0,Matches
Guglielmo Vicario,Tottenham,it ITA,GK,2,0,0,0,0,0,0,0,0.0,1,0,0,1,1,31,Matches
Pedro Porro,Tottenham,es ESP,DF,3,91,70,43,34,14,62,45,51.7,58,63,18,37,125,102,Matches
Dejan Kulusevski,Tottenham,se SWE,"FW,MF",1,62,33,19,20,23,25,23,37.3,42,24,1,19,80,2,Matches
Son Heung-min,Tottenham,kr KOR,FW,0,21,13,6,7,8,10,3,47.6,11,4,1,8,29,4,Matches
Cristian Romero,Tottenham,ar ARG,DF,1,66,41,35,25,6,32,24,72.7,12,46,22,44,110,106,Matches
Destiny Udogie,Tottenham,it ITA,DF,5,68,35,41,16,11,27,19,55.1,22,27,8,39,105,80,Matches
Micky van de Ven,Tottenham,nl NED,DF,1,49,36,34,12,3,24,10,72.7,9,25,15,20,67,78,Matches
Brennan Johnson,Tottenham,wls WAL,FW,1,26,15,14,5,7,12,36,38.7,19,37,1,11,36,12,Matches
James Maddison,Tottenham,eng ENG,MF,1,33,19,5,18,10,15,12,51.7,14,15,3,13,46,10,Matches
Pape Matar Sarr,Tottenham,sn SEN,MF,1,34,25,11,17,6,15,16,41.7,21,21,5,31,65,28,Matches
Yves Bissouma,Tottenham,ml MLI,MF,3,80,52,32,36,12,41,23,67.2,20,28,5,37,117,43,Matches
Richarlison,Tottenham,br BRA,FW,0,16,11,4,8,4,2,26,20.0,8,32,6,8,24,23,Matches
Pierre Højbjerg,Tottenham,dk DEN,MF,3,32,21,13,17,2,13,14,38.2,21,21,7,20,51,30,Matches
Emerson,Tottenham,br BRA,DF,1,36,26,23,10,3,21,13,48.8,22,23,10,20,56,50,Matches
Ben Davies,Tottenham,wls WAL,DF,0,24,19,13,8,3,16,2,76.2,5,17,15,13,34,35,Matches
Rodrigo Bentancur,Tottenham,uy URU,MF,1,23,16,10,11,2,10,11,41.7,14,15,4,19,40,16,Matches
Timo Werner,Tottenham,de GER,FW,0,7,4,3,4,0,5,12,27.8,13,12,0,3,10,2,Matches
Oliver Skipp,Tottenham,eng ENG,"MF,DF",0,18,13,9,6,3,11,11,61.1,7,12,1,5,21,9,Matches
Giovani Lo Celso,Tottenham,ar ARG,MF,0,22,14,10,8,4,9,3,64.3,5,4,1,5,27,2,Matches
Radu Drăgușin,Tottenham,ro ROU,DF,0,5,3,5,0,0,3,1,100.0,0,5,4,8,13,19,Matches
Manor Solomon,Tottenham,il ISR,FW,0,3,4,1,1,1,1,4,50.0,1,4,0,4,6,2,Matches
Bryan Gil,Tottenham,es ESP,"FW,MF",0,1,0,0,0,1,1,3,25.0,3,3,0,4,4,4,Matches
Eric Dier,Tottenham,eng ENG,DF,0,2,1,2,0,0,2,0,100.0,0,3,3,2,4,12,Matches
Davinson Sánchez,Tottenham,co COL,DF,0,0,0,0,0,0,0,1,,0,3,2,2,1,2,Matches
Ivan Perišić,Tottenham,hr CRO,FW,0,3,2,1,1,1,3,1,60.0,2,1,0,3,5,1,Matches
Fraser Forster,Tottenham,eng ENG,GK,,,0,,,,,,,,,,0,0,,Matches
Dane Scarlett,Tottenham,eng ENG,FW,0,1,1,0,0,1,0,0,0.0,1,0,0,1,1,0,Matches
Alejo Véliz,Tottenham,ar ARG,FW,0,1,0,1,0,0,0,0,,0,0,0,0,1,0,Matches
Jamie Donley,Tottenham,eng ENG,FW,0,0,1,0,0,0,0,0,,0,0,0,0,0,3,Matches
Ryan Sessegnon,Tottenham,eng ENG,"DF,FW",,,0,,,,,,,,,,0,0,,Matches
Mikey Moore,Tottenham,eng ENG,MF,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Matches
Bryan Cristante,Roma,it ITA,"MF,DF",2,96,54,48,36,12,39,40,57.4,29,51,11,37,133,70,Matches
Gianluca Mancini,Roma,it ITA,DF,1,50,32,31,16,3,18,16,46.2,21,55,39,51,98,104,Matches
Romelu Lukaku,Roma,be BEL,FW,1,10,7,1,5,4,4,7,50.0,4,11,4,2,12,28,Matches
Leandro Paredes,Roma,ar ARG,MF,1,73,51,37,30,6,42,31,41.2,60,42,11,51,122,74,Matches
Obite N'Dicka,Roma,ci CIV,DF,0,39,21,17,21,1,15,20,55.6,12,40,20,20,59,107,Matches
Diego Llorente,Roma,es ESP,DF,0,42,26,28,13,1,20,18,58.8,14,48,30,34,76,111,Matches
Stephan El Shaarawy,Roma,it ITA,"FW,DF",2,35,22,23,8,4,14,16,51.9,13,24,8,25,58,28,Matches
Mile Svilar,Roma,rs SRB,GK,1,1,1,1,0,0,1,0,100.0,0,0,0,0,1,6,Matches
Lorenzo Pellegrini,Roma,it ITA,MF,0,46,32,21,20,5,24,36,33.3,48,43,7,25,70,34,Matches
Paulo Dybala,Roma,ar ARG,"FW,MF",1,27,17,4,12,11,5,15,18.5,22,15,0,5,32,8,Matches
Edoardo Bove,Roma,it ITA,MF,1,86,49,32,39,15,47,28,60.3,31,33,5,22,106,16,Matches
Rui Patrício,Roma,pt POR,GK,1,0,0,0,0,0,0,1,0.0,1,1,0,0,0,3,Matches
Leonardo Spinazzola,Roma,it ITA,DF,0,27,14,19,8,0,14,9,46.7,16,19,10,4,31,25,Matches
Rasmus Kristensen,Roma,dk DEN,DF,0,36,20,25,8,3,28,20,56.0,22,27,7,11,44,50,Matches
Rick Karsdorp,Roma,nl NED,DF,1,29,21,14,8,7,19,12,65.5,10,16,4,17,45,25,Matches
Nicola Zalewski,Roma,pl POL,"DF,FW",0,30,21,16,13,1,12,8,38.7,19,13,5,15,45,29,Matches
Zeki Çelik,Roma,tr TUR,DF,2,45,31,19,18,8,26,20,56.5,20,27,7,20,64,52,Matches
Angeliño,Roma,es ESP,DF,1,25,14,16,6,3,13,8,61.9,8,15,7,14,39,42,Matches
Houssem Aouar,Roma,dz ALG,"MF,FW",1,23,16,6,14,3,5,10,27.8,13,10,0,6,29,5,Matches
Andrea Belotti,Roma,it ITA,FW,0,15,11,6,5,4,5,8,50.0,5,8,0,3,18,8,Matches
Sardar Azmoun,Roma,ir IRN,"FW,MF",1,11,7,4,5,2,4,3,40.0,6,4,1,6,17,6,Matches
Chris Smalling,Roma,eng ENG,DF,0,4,3,4,0,0,1,2,20.0,4,12,10,6,10,19,Matches
Tommaso Baldanzi,Roma,it ITA,"FW,MF",0,10,5,3,4,3,1,3,25.0,3,3,0,1,11,5,Matches
Dean Huijsen,Roma,es ESP,DF,2,10,5,5,5,0,1,3,25.0,3,7,4,4,14,26,Matches
Tammy Abraham,Roma,eng ENG,FW,1,3,1,0,1,2,0,1,0.0,2,1,0,1,4,6,Matches
Renato Sanches,Roma,pt POR,MF,0,3,1,1,2,0,2,4,50.0,2,5,1,1,4,1,Matches
Riccardo Pagano,Roma,it ITA,"MF,DF",0,6,4,3,2,1,3,1,33.3,6,3,2,1,7,4,Matches
Niccolò Pisilli,Roma,it ITA,MF,0,1,0,0,0,1,0,0,,0,0,0,1,2,0,Matches
Ola Solbakken,Roma,no NOR,FW,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
João Costa,Roma,br BRA,"MF,FW",0,3,2,3,0,0,1,0,100.0,0,0,0,0,3,0,Matches
Francesco D'Alessio,Roma,it ITA,MF,0,2,0,2,0,0,0,0,,0,1,1,1,3,0,Matches
Mattia Mannini,Roma,it ITA,DF,0,0,0,0,0,0,0,1,,0,1,0,0,0,0,Matches
Luigi Cherubini,Roma,it ITA,FW,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
Conor Gallagher,Chelsea,eng ENG,MF,0,85,65,37,31,17,33,39,42.9,44,50,11,54,128,34,Matches
Moisés Caicedo,Chelsea,ec ECU,MF,4,91,66,38,42,11,36,34,60.0,24,59,25,48,128,44,Matches
Axel Disasi,Chelsea,fr FRA,DF,2,33,24,20,10,3,23,7,76.7,7,26,19,24,51,102,Matches
Cole Palmer,Chelsea,eng ENG,"FW,MF",2,23,17,9,6,8,8,18,42.1,11,20,2,28,43,13,Matches
Nicolas Jackson,Chelsea,sn SEN,FW,0,21,19,5,8,8,5,15,20.8,19,20,5,8,25,17,Matches
Enzo Fernández,Chelsea,ar ARG,MF,0,50,43,22,18,10,27,23,41.5,38,36,13,25,67,28,Matches
Thiago Silva,Chelsea,br BRA,DF,4,29,21,22,6,1,20,9,58.8,14,33,24,32,55,153,Matches
Đorđe Petrović,Chelsea,rs SRB,GK,3,0,0,0,0,0,0,0,,0,0,0,0,0,12,Matches
Raheem Sterling,Chelsea,eng ENG,"FW,MF",1,21,16,7,8,6,12,13,46.2,14,13,0,17,34,9,Matches
Malo Gusto,Chelsea,fr FRA,DF,1,55,45,34,15,6,35,24,67.3,17,28,4,20,72,43,Matches
Levi Colwill,Chelsea,eng ENG,DF,0,48,35,26,17,5,26,18,76.5,8,28,10,35,74,66,Matches
Marc Cucurella,Chelsea,es ESP,DF,0,62,51,36,21,5,34,23,53.1,30,36,13,26,84,48,Matches
Mykhailo Mudryk,Chelsea,ua UKR,FW,0,21,15,9,7,5,10,13,31.3,22,14,1,12,30,9,Matches
Robert Sánchez,Chelsea,es ESP,GK,3,0,0,0,0,0,0,0,,0,0,0,0,0,11,Matches
Benoît Badiashile,Chelsea,fr FRA,DF,2,21,16,12,9,0,9,7,64.3,5,21,14,19,39,66,Matches
Noni Madueke,Chelsea,eng ENG,FW,0,16,17,8,4,4,11,11,32.4,23,11,0,5,20,14,Matches
Trevoh Chalobah,Chelsea,eng ENG,DF,0,16,13,10,2,4,10,1,66.7,5,8,7,11,24,51,Matches
Ben Chilwell,Chelsea,eng ENG,DF,1,15,14,5,9,1,5,8,62.5,3,11,3,10,19,19,Matches
Armando Broja,Chelsea,al ALB,FW,0,3,1,0,1,2,1,4,50.0,1,5,1,0,3,3,Matches
Lesley Ugochukwu,Chelsea,fr FRA,MF,0,14,16,4,8,2,4,4,40.0,6,6,2,3,15,5,Matches
Christopher Nkunku,Chelsea,fr FRA,"FW,MF",0,5,4,0,4,1,1,3,50.0,1,4,1,3,7,4,Matches
Reece James,Chelsea,eng ENG,DF,1,14,10,10,3,1,8,0,80.0,2,4,4,4,17,7,Matches
Alfie Gilchrist,Chelsea,eng ENG,DF,0,4,2,4,0,0,2,3,40.0,3,6,3,7,7,11,Matches
Ian Maatsen,Chelsea,nl NED,"FW,MF",0,3,5,1,1,1,0,4,0.0,4,4,0,5,6,10,Matches
Carney Chukwuemeka,Chelsea,eng ENG,"MF,FW",0,6,7,3,3,0,1,0,33.3,2,1,1,0,6,1,Matches
Bashir Humphreys,Chelsea,eng ENG,DF,,,1,,,,,,,,,,0,0,,Matches
Cesare Casadei,Chelsea,it ITA,"FW,MF",0,5,3,2,1,2,2,1,40.0,3,1,0,0,5,4,Matches
Mason Burstow,Chelsea,eng ENG,FW,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
Diego Moreira,Chelsea,pt POR,MF,,,0,,,,,,,,,,2,0,,Matches
Roméo Lavia,Chelsea,be BEL,MF,0,1,0,0,1,0,0,0,,0,0,0,0,1,1,Matches
Deivid Washington,Chelsea,br BRA,"DF,FW",0,1,1,1,0,0,0,0,0.0,1,0,0,0,1,0,Matches
Leo Castledine,Chelsea,eng ENG,MF,,,0,,,,,,,,,,0,0,,Matches
Joshua Acheampong,Chelsea,eng ENG,DF,0,0,0,0,0,0,0,0,,0,3,3,0,0,0,Matches
Alex Matos,Chelsea,eng ENG,MF,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
Michael Golding,Chelsea,eng ENG,MF,,,0,,,,,,,,,,0,0,,Matches
Jimi Tauriainen,Chelsea,eng ENG,FW,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
Marcin Bułka,Nice,pl POL,GK,3,0,0,0,0,0,0,0,0.0,2,0,0,1,0,9,Matches
Dante,Nice,br BRA,DF,2,62,33,44,16,2,38,21,73.1,14,43,22,40,99,77,Matches
Jean-Clair Todibo,Nice,fr FRA,DF,1,58,32,35,17,6,34,19,60.7,22,34,15,41,96,97,Matches
Melvin Bard,Nice,fr FRA,DF,0,69,38,28,30,11,37,34,58.7,26,46,12,43,111,46,Matches
Pablo Rosario,Nice,nl NED,"MF,DF",0,36,32,15,16,5,23,14,67.6,11,27,13,35,65,39,Matches
Gaëtan Laborde,Nice,fr FRA,"FW,MF",1,18,13,8,4,6,11,18,36.7,19,20,2,6,24,8,Matches
Khéphren Thuram,Nice,fr FRA,MF,0,42,29,13,23,6,20,11,50.0,20,21,10,20,60,37,Matches
Morgan Sanson,Nice,fr FRA,MF,0,26,22,12,7,7,12,29,38.7,19,34,5,23,46,16,Matches
Jordan Lotomba,Nice,ch SUI,DF,1,36,33,18,9,9,25,21,71.4,10,30,9,23,52,26,Matches
Terem Moffi,Nice,ng NGA,FW,0,7,6,0,5,2,3,13,25.0,9,14,1,4,10,15,Matches
Jeremie Boga,Nice,ci CIV,FW,0,18,9,6,10,2,10,24,50.0,10,26,2,8,26,4,Matches
Youssouf Ndayishimiye,Nice,bi BDI,"MF,DF",1,31,22,17,12,2,12,8,52.2,11,19,11,14,43,47,Matches
Evann Guessand,Nice,ci CIV,FW,0,16,9,2,7,7,6,11,85.7,1,12,1,13,28,7,Matches
Hicham Boudaoui,Nice,dz ALG,MF,0,41,19,16,22,3,21,14,70.0,9,15,1,11,52,15,Matches
Mohamed Ali Cho,Nice,fr FRA,FW,0,12,11,4,7,1,3,10,27.3,8,10,0,3,15,6,Matches
Tom Louchet,Nice,fr FRA,"MF,DF",0,14,10,6,6,2,7,4,63.6,4,7,3,7,17,9,Matches
Alexis Claude-Maurice,Nice,fr FRA,MF,0,12,10,3,6,3,1,3,20.0,4,4,1,10,17,7,Matches
Antoine Mendy,Nice,fr FRA,DF,0,7,10,4,3,0,3,3,42.9,4,4,1,8,15,16,Matches
Sofiane Diop,Nice,fr FRA,FW,0,8,6,3,4,1,4,4,40.0,6,4,0,3,11,3,Matches
Romain Perraud,Nice,fr FRA,"DF,FW",1,7,7,5,1,1,4,4,36.4,7,4,0,6,13,15,Matches
Youcef Atal,Nice,dz ALG,DF,0,9,3,6,2,1,6,6,75.0,2,7,1,4,13,1,Matches
Badredine Bouanani,Nice,dz ALG,FW,0,3,2,1,1,1,3,5,75.0,1,5,0,3,6,0,Matches
Ayoub Amraoui,Nice,ma MAR,DF,,,2,,,,,,,,,,1,0,,Matches
Aliou Baldé,Nice,gn GUI,"FW,DF",0,4,1,0,3,1,1,1,100.0,0,2,1,4,7,0,Matches
Reda Belahyane,Nice,fr FRA,MF,0,1,1,0,1,0,1,0,100.0,0,0,0,1,1,0,Matches
Valentin Rosier,Nice,fr FRA,"DF,MF",0,1,0,1,0,0,0,1,,0,1,0,2,3,5,Matches
Robson Bambu,Nice,br BRA,DF,,,3,,,,,,,,,,1,0,,Matches
Daouda Traoré,Nice,fr FRA,MF,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
Bilal Brahimi,Nice,dz ALG,FW,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,Matches
Amidou Doumbouya,Nice,fr FRA,MF,,,0,,,,,,,,,,0,0,,Matches
Adam Marušić,Lazio,me MNE,DF,2,54,41,26,26,2,32,21,57.1,24,33,12,39,91,73,Matches
Felipe Anderson,Lazio,br BRA,FW,0,95,63,37,43,15,39,49,35.1,72,52,3,41,134,28,Matches
Ivan Provedel,Lazio,it ITA,GK,1,1,0,1,0,0,1,0,33.3,2,0,0,0,1,13,Matches
Alessio Romagnoli,Lazio,it ITA,DF,0,32,24,18,14,0,20,14,69.0,9,36,22,32,63,136,Matches
Mattéo Guendouzi,Lazio,fr FRA,MF,1,40,24,12,21,7,23,20,42.6,31,27,7,33,66,30,Matches
Luis Alberto,Lazio,es ESP,MF,0,39,24,17,14,8,16,39,25.4,47,47,8,14,53,16,Matches
