Player Name,Club Name,Standard,Expected,,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG
Lucas Michal,Monaco,fr FRA,FW,18,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
David Raum,RB Leipzig,de GER,DF,25,39.4,3,17,6,35.3,0.43,0.15,0.18,0.50,20.0,4,0,0,1.0,1.0,0.06,+2.0,+2.0,Matches
Xavi Simons,RB Leipzig,nl NED,"MF,FW",20,38.2,10,99,38,38.4,2.59,0.99,0.09,0.24,21.2,3,1,2,9.5,7.9,0.08,+0.5,+1.1,Matches
Loïs Openda,RB Leipzig,be BEL,FW,23,38.0,28,152,68,44.7,4.00,1.79,0.17,0.38,14.8,2,2,3,25.6,23.2,0.16,+2.4,+2.8,Matches
Xaver Schlager,RB Leipzig,at AUT,MF,25,36.5,1,25,4,16.0,0.68,0.11,0.04,0.25,26.1,0,0,0,1.1,1.1,0.05,-0.1,-0.1,Matches
Benjamin Henrichs,RB Leipzig,de GER,"DF,MF",26,36.5,1,43,12,27.9,1.18,0.33,0.02,0.08,19.5,4,0,0,2.7,2.7,0.07,-1.7,-1.7,Matches
Castello Lukeba,RB Leipzig,fr FRA,DF,20,33.0,1,8,4,50.0,0.24,0.12,0.13,0.25,10.4,0,0,0,0.8,0.8,0.11,+0.2,+0.2,Matches
Mohamed Simakan,RB Leipzig,fr FRA,DF,23,31.7,3,35,12,34.3,1.10,0.38,0.09,0.25,11.5,0,0,0,4.6,4.6,0.13,-1.6,-1.6,Matches
Janis Blaswich,RB Leipzig,de GER,GK,32,27.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Benjamin Šeško,RB Leipzig,si SVN,FW,20,22.9,18,68,37,54.4,2.98,1.62,0.26,0.49,13.6,0,0,0,10.5,10.5,0.17,+5.5,+5.5,Matches
Lukas Klostermann,RB Leipzig,de GER,DF,27,22.0,1,6,2,33.3,0.27,0.09,0.17,0.50,16.2,0,0,0,0.7,0.7,0.12,+0.3,+0.3,Matches
Amadou Haidara,RB Leipzig,ml MLI,"MF,DF",25,20.8,2,26,10,38.5,1.25,0.48,0.08,0.20,22.2,0,0,0,1.3,1.3,0.05,+0.7,+0.7,Matches
Willi Orban,RB Leipzig,hu HUN,DF,30,20.6,1,12,3,25.0,0.58,0.15,0.08,0.33,10.7,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches
Kevin Kampl,RB Leipzig,si SVN,MF,32,19.5,1,8,2,25.0,0.41,0.10,0.13,0.50,21.5,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches
Dani Olmo,RB Leipzig,es ESP,MF,25,19.0,8,57,19,33.3,3.01,1.00,0.12,0.37,18.4,4,1,1,4.2,4.2,0.08,+0.8,+0.8,Matches
Yussuf Poulsen,RB Leipzig,dk DEN,"FW,MF",29,18.9,5,38,21,55.3,2.01,1.11,0.13,0.24,10.8,0,0,0,6.3,6.3,0.18,-1.3,-1.3,Matches
Péter Gulácsi,RB Leipzig,hu HUN,GK,33,18.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Christoph Baumgartner,RB Leipzig,at AUT,MF,23,14.5,5,37,11,29.7,2.55,0.76,0.14,0.45,15.2,0,0,0,4.5,4.5,0.12,+0.5,+0.5,Matches
Nicolas Seiwald,RB Leipzig,at AUT,MF,22,12.7,0,1,0,0.0,0.08,0.00,0.00,,24.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Emil Forsberg,RB Leipzig,se SWE,"MF,FW",31,10.6,4,23,6,26.1,2.17,0.56,0.17,0.67,22.5,3,0,1,2.2,1.4,0.07,+0.8,+1.6,Matches
Timo Werner,RB Leipzig,de GER,"FW,MF",27,4.4,2,11,5,45.5,2.53,1.15,0.09,0.20,17.6,0,1,1,2.5,1.7,0.19,-0.5,-0.7,Matches
Fabio Carvalho,RB Leipzig,pt POR,MF,20,4.1,0,11,5,45.5,2.67,1.21,0.00,0.00,20.6,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Elif Elmas,RB Leipzig,mk MKD,MF,23,3.2,0,10,4,40.0,3.14,1.25,0.00,0.00,16.4,1,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
Christopher Lenz,RB Leipzig,de GER,DF,28,2.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
El Chadaille Bitshiabu,RB Leipzig,fr FRA,DF,18,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jonathan Norbye,RB Leipzig,no NOR,MF,16,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Nuha Jatta,RB Leipzig,gm GAM,MF,17,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Gleison Bremer,Juventus,br BRA,DF,26,39.9,3,20,4,20.0,0.50,0.10,0.15,0.75,13.4,0,0,0,1.4,1.4,0.08,+1.6,+1.6,Matches
Manuel Locatelli,Juventus,it ITA,MF,25,37.1,1,25,3,12.0,0.67,0.08,0.04,0.33,22.3,0,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches
Wojciech Szczęsny,Juventus,pl POL,GK,33,35.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Adrien Rabiot,Juventus,fr FRA,MF,28,33.5,5,41,17,41.5,1.23,0.51,0.12,0.29,16.9,0,0,0,3.5,3.4,0.09,+1.5,+1.6,Matches
Federico Gatti,Juventus,it ITA,DF,25,33.3,4,39,7,17.9,1.17,0.21,0.10,0.57,14.3,0,0,0,5.5,5.5,0.16,-1.5,-1.5,Matches
Weston McKennie,Juventus,us USA,"MF,DF",24,32.7,0,26,6,23.1,0.80,0.18,0.00,0.00,10.5,0,0,0,3.0,3.0,0.13,-3.0,-3.0,Matches
Danilo,Juventus,br BRA,DF,32,32.2,1,19,2,10.5,0.59,0.06,0.05,0.50,19.1,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
Andrea Cambiaso,Juventus,it ITA,"DF,FW",23,30.0,3,32,10,31.3,1.07,0.33,0.09,0.30,18.6,0,0,0,2.2,2.2,0.08,-0.2,-0.2,Matches
Dušan Vlahović,Juventus,rs SRB,FW,23,28.8,18,118,40,33.9,4.09,1.39,0.14,0.40,15.8,7,2,4,16.6,13.3,0.13,-0.6,+0.7,Matches
Federico Chiesa,Juventus,it ITA,FW,25,27.8,10,79,27,34.2,2.85,0.97,0.11,0.33,19.2,5,1,1,6.4,5.6,0.08,+2.6,+2.4,Matches
Filip Kostić,Juventus,rs SRB,DF,30,23.2,0,24,4,16.7,1.03,0.17,0.00,0.00,22.1,0,0,0,0.7,0.7,0.03,-0.7,-0.7,Matches
Timothy Weah,Juventus,us USA,"DF,FW",23,15.5,1,15,4,26.7,0.97,0.26,0.07,0.25,20.0,0,0,0,1.5,1.5,0.13,-1.5,-1.5,Matches
Daniele Rugani,Juventus,it ITA,DF,29,14.2,3,10,4,40.0,0.70,0.28,0.30,0.75,7.3,0,0,0,1.6,1.6,0.30,+0.4,+0.4,Matches
Fabio Miretti,Juventus,it ITA,MF,19,14.1,2,28,5,17.9,1.99,0.35,0.07,0.40,20.4,0,0,0,1.2,1.2,0.06,-0.2,-0.2,Matches
Kenan Yıldız,Juventus,tr TUR,"FW,MF",18,12.2,4,24,10,41.7,1.97,0.82,0.17,0.40,16.6,0,0,0,1.6,1.6,0.09,+0.4,+0.4,Matches
Arkadiusz Milik,Juventus,pl POL,FW,29,11.9,8,48,19,39.6,4.02,1.59,0.15,0.37,13.6,3,1,1,5.1,5.1,0.14,-1.1,-1.1,Matches
Samuel Iling-Junior,Juventus,eng ENG,"DF,MF",19,11.0,1,11,4,36.4,1.00,0.36,0.09,0.25,15.5,0,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches
Alex Sandro,Juventus,br BRA,DF,32,9.0,1,5,1,20.0,0.55,0.11,0.20,1.00,8.2,0,0,0,0.4,0.4,0.08,+0.6,+0.6,Matches
Mattia Perin,Juventus,it ITA,GK,30,7.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Moise Kean,Juventus,it ITA,FW,23,7.3,0,16,3,18.8,2.19,0.41,0.00,0.00,15.4,0,0,0,2.1,2.1,0.13,-2.1,-2.1,Matches
Nicolò Fagioli,Juventus,it ITA,MF,22,4.9,0,6,2,33.3,1.24,0.41,0.00,0.00,20.1,1,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Carlos Alcaraz,Juventus,ar ARG,MF,20,4.3,0,11,2,18.2,2.58,0.47,0.00,0.00,24.0,2,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
Hans Nicolussi Caviglia,Juventus,it ITA,MF,23,4.0,0,5,1,20.0,1.26,0.25,0.00,0.00,25.9,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Paul Pogba,Juventus,fr FRA,MF,30,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Joseph Nonge,Juventus,be BEL,MF,18,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mattia De Sciglio,Juventus,it ITA,DF,30,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Carlo Pinsoglio,Juventus,it ITA,GK,33,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Tiago Djaló,Juventus,pt POR,DF,23,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Dean Huijsen,Juventus,es ESP,DF,18,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Nikola Sekulov,Juventus,it ITA,FW,21,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Leonardo Cerri,Juventus,it ITA,DF,20,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Nico Schlotterbeck,Dortmund,de GER,DF,23,45.3,2,33,7,21.2,0.73,0.15,0.06,0.29,13.4,0,0,0,3.4,3.4,0.11,-1.4,-1.4,Matches
Gregor Kobel,Dortmund,ch SUI,GK,25,41.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Niclas Füllkrug,Dortmund,de GER,FW,30,36.8,15,86,34,39.5,2.33,0.92,0.14,0.35,13.0,0,3,3,17.8,15.4,0.18,-2.8,-3.4,Matches
Julian Brandt,Dortmund,de GER,"MF,FW",27,35.9,10,58,24,41.4,1.61,0.67,0.17,0.42,19.0,3,0,0,5.8,5.8,0.11,+3.2,+3.2,Matches
Emre Can,Dortmund,de GER,"MF,DF",29,33.8,2,21,2,9.5,0.62,0.06,0.00,0.00,27.7,1,2,2,2.3,0.7,0.04,-0.3,-0.7,Matches
Marcel Sabitzer,Dortmund,at AUT,MF,29,33.7,6,64,29,45.3,1.90,0.86,0.08,0.17,22.0,5,1,1,4.8,4.0,0.07,+0.2,0.0,Matches
Julian Ryerson,Dortmund,no NOR,DF,25,32.6,4,23,9,39.1,0.71,0.28,0.17,0.44,19.7,0,0,0,2.0,2.0,0.09,+2.0,+2.0,Matches
Mats Hummels,Dortmund,de GER,DF,34,32.6,4,28,8,28.6,0.86,0.25,0.14,0.50,12.3,0,0,0,4.2,4.2,0.18,-0.2,-0.2,Matches
Donyell Malen,Dortmund,nl NED,FW,24,26.4,15,98,49,50.0,3.72,1.86,0.15,0.31,16.7,2,0,0,11.6,11.6,0.13,+2.4,+2.4,Matches
Marco Reus,Dortmund,de GER,"MF,FW",34,25.3,9,65,29,44.6,2.57,1.15,0.12,0.28,15.2,9,1,1,8.5,7.7,0.15,-0.5,-0.7,Matches
Niklas Süle,Dortmund,de GER,DF,27,22.5,1,9,1,11.1,0.40,0.04,0.11,1.00,16.0,0,0,0,0.4,0.4,0.06,+0.6,+0.6,Matches
Ian Maatsen,Dortmund,nl NED,DF,21,21.0,3,15,7,46.7,0.71,0.33,0.20,0.43,19.3,0,0,0,1.1,1.1,0.07,+1.9,+1.9,Matches
Salih Özcan,Dortmund,tr TUR,MF,25,19.9,0,10,4,40.0,0.50,0.20,0.00,0.00,22.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Karim Adeyemi,Dortmund,de GER,FW,21,19.0,5,41,18,43.9,2.16,0.95,0.12,0.28,15.4,0,0,0,5.2,5.2,0.14,-0.2,-0.2,Matches
Marius Wolf,Dortmund,de GER,"DF,FW",28,17.5,0,13,3,23.1,0.74,0.17,0.00,0.00,15.9,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches
Ramy Bensebaini,Dortmund,dz ALG,DF,28,17.3,0,21,1,4.8,1.22,0.06,0.00,0.00,17.4,0,0,0,1.8,1.8,0.09,-1.8,-1.8,Matches
Jadon Sancho,Dortmund,eng ENG,FW,23,16.7,3,12,5,41.7,0.72,0.30,0.25,0.60,14.3,0,0,0,0.9,0.9,0.07,+2.1,+2.1,Matches
Jamie Gittens,Dortmund,eng ENG,FW,18,15.5,2,56,13,23.2,3.61,0.84,0.04,0.15,19.4,0,0,0,2.7,2.7,0.05,-0.7,-0.7,Matches
Felix Nmecha,Dortmund,de GER,MF,22,15.5,2,31,5,16.1,2.00,0.32,0.06,0.40,18.0,0,0,0,2.2,2.2,0.07,-0.2,-0.2,Matches
Alexander Meyer,Dortmund,de GER,GK,32,8.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Youssoufa Moukoko,Dortmund,de GER,FW,18,8.6,6,18,9,50.0,2.10,1.05,0.33,0.67,13.0,0,0,0,3.9,3.9,0.28,+1.1,+1.1,Matches
Thomas Meunier,Dortmund,be BEL,DF,31,6.5,0,8,1,12.5,1.23,0.15,0.00,0.00,18.7,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
Sébastien Haller,Dortmund,ci CIV,"FW,MF",29,5.9,3,11,5,45.5,1.85,0.84,0.27,0.60,11.0,0,0,0,1.2,1.2,0.16,-0.2,-0.2,Matches
Gio Reyna,Dortmund,us USA,"FW,MF",20,4.1,0,8,2,25.0,1.94,0.49,0.00,0.00,17.4,0,0,0,0.8,0.8,0.10,-0.8,-0.8,Matches
Antonios Papadopoulos,Dortmund,de GER,DF,23,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mateu Morey,Dortmund,es ESP,DF,23,1.2,0,1,1,100.0,0.82,0.82,0.00,0.00,26.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Kjell-Arik Wätjen,Dortmund,de GER,MF,17,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ole Pohlmann,Dortmund,de GER,MF,22,0.6,0,1,0,0.0,1.67,0.00,0.00,,17.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Samuel Bamba,Dortmund,de GER,FW,19,0.5,0,2,0,0.0,3.83,0.00,0.00,,12.6,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
Hendry Blank,Dortmund,de GER,DF,18,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Julien Duranville,Dortmund,be BEL,FW,17,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Thorgan Hazard,Dortmund,be BEL,DF,30,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Berat Djimsiti,Atalanta,al ALB,DF,30,48.1,1,18,3,16.7,0.37,0.06,0.06,0.33,10.2,0,0,0,1.2,1.2,0.07,-0.2,-0.2,Matches
Éderson,Atalanta,br BRA,MF,24,46.3,7,54,17,31.5,1.17,0.37,0.13,0.41,18.2,0,0,0,4.3,4.3,0.09,+2.7,+2.7,Matches
Marten de Roon,Atalanta,nl NED,"MF,DF",32,43.7,0,22,4,18.2,0.50,0.09,0.00,0.00,25.5,0,0,0,0.7,0.7,0.03,-0.7,-0.7,Matches
Teun Koopmeiners,Atalanta,nl NED,MF,25,43.5,15,81,29,35.8,1.86,0.67,0.15,0.41,18.8,4,3,3,8.2,6.6,0.09,+3.8,+3.4,Matches
Matteo Ruggeri,Atalanta,it ITA,DF,21,40.4,2,20,7,35.0,0.50,0.17,0.10,0.29,16.1,0,0,0,1.7,1.7,0.12,+0.3,+0.3,Matches
Giorgio Scalvini,Atalanta,it ITA,DF,19,35.7,2,23,9,39.1,0.64,0.25,0.09,0.22,14.0,0,0,0,2.1,2.1,0.10,-0.1,-0.1,Matches
Sead Kolašinac,Atalanta,ba BIH,DF,30,35.5,1,17,5,29.4,0.48,0.14,0.06,0.20,11.8,0,0,0,2.0,2.0,0.12,-1.0,-1.0,Matches
Charles De Ketelaere,Atalanta,be BEL,"FW,MF",22,32.4,14,71,35,49.3,2.19,1.08,0.18,0.37,13.3,0,1,1,9.5,8.7,0.14,+2.5,+2.3,Matches
Marco Carnesecchi,Atalanta,it ITA,GK,23,31.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Davide Zappacosta,Atalanta,it ITA,DF,31,31.4,2,47,12,25.5,1.49,0.38,0.04,0.17,18.1,0,0,0,2.6,2.6,0.06,-0.6,-0.6,Matches
Ademola Lookman,Atalanta,ng NGA,"FW,MF",25,31.1,17,100,35,35.0,3.22,1.13,0.17,0.49,14.5,0,0,0,11.9,11.9,0.13,+4.1,+4.1,Matches
Mario Pašalić,Atalanta,hr CRO,MF,28,30.5,8,51,22,43.1,1.67,0.72,0.12,0.27,13.8,0,2,2,10.1,8.5,0.19,-3.1,-3.5,Matches
Gianluca Scamacca,Atalanta,it ITA,FW,24,25.7,19,96,40,41.7,3.74,1.56,0.20,0.48,16.0,1,0,0,11.1,11.1,0.13,+6.9,+6.9,Matches
Juan Musso,Atalanta,ar ARG,GK,29,24.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Aleksei Miranchuk,Atalanta,ru RUS,"MF,FW",27,20.6,4,54,24,44.4,2.62,1.16,0.07,0.17,17.3,0,0,0,5.8,5.8,0.13,-2.8,-2.8,Matches
Isak Hien,Atalanta,se SWE,DF,24,18.6,0,6,3,50.0,0.32,0.16,0.00,0.00,9.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Emil Holm,Atalanta,se SWE,DF,23,16.9,1,37,11,29.7,2.19,0.65,0.03,0.09,12.4,0,0,0,3.2,3.2,0.10,-2.2,-2.2,Matches
Hans Hateboer,Atalanta,nl NED,DF,29,15.9,0,12,3,25.0,0.76,0.19,0.00,0.00,17.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Rafael Tolói,Atalanta,it ITA,DF,32,14.3,0,5,0,0.0,0.35,0.00,0.00,,17.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Luis Muriel,Atalanta,co COL,"FW,MF",32,7.8,6,37,16,43.2,4.76,2.06,0.14,0.31,20.7,4,1,1,4.5,3.7,0.11,+1.5,+1.3,Matches
Mitchel Bakker,Atalanta,nl NED,DF,23,6.3,1,6,1,16.7,0.96,0.16,0.17,1.00,14.8,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches
El Bilal Touré,Atalanta,ml MLI,FW,21,5.4,3,15,5,33.3,2.77,0.92,0.20,0.60,14.5,0,0,0,1.5,1.5,0.11,+1.5,+1.5,Matches
Nadir Zortea,Atalanta,it ITA,DF,24,2.7,1,2,1,50.0,0.74,0.37,0.50,1.00,22.2,0,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches
Michel Ndary Adopo,Atalanta,fr FRA,MF,23,2.2,0,1,1,100.0,0.45,0.45,0.00,0.00,9.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Giovanni Bonfanti,Atalanta,it ITA,DF,20,2.0,1,2,1,50.0,1.01,0.50,0.50,1.00,5.9,0,0,0,0.3,0.3,0.15,+0.7,+0.7,Matches
Duván Zapata,Atalanta,co COL,FW,32,1.2,1,5,2,40.0,4.02,1.61,0.20,0.50,12.3,0,0,0,0.4,0.4,0.08,+0.6,+0.6,Matches
Tommaso Del Lungo,Atalanta,it ITA,DF,19,1.0,0,1,0,0.0,1.00,0.00,0.00,,2.1,0,0,0,0.6,0.6,0.58,-0.6,-0.6,Matches
José Luis Palomino,Atalanta,ar ARG,DF,33,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Francesco Rossi,Atalanta,it ITA,GK,32,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Marco Palestra,Atalanta,it ITA,DF,18,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Leonardo Mendicino,Atalanta,it ITA,MF,17,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Tommaso De Nipoti,Atalanta,it ITA,FW,20,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Moustapha Cissé,Atalanta,gn GUI,FW,19,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Daniel Vivian,Athletic Club,es ESP,DF,24,38.8,0,14,2,14.3,0.36,0.05,0.00,0.00,13.5,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
Aitor Paredes,Athletic Club,es ESP,DF,23,36.7,1,14,3,21.4,0.38,0.08,0.07,0.33,9.7,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches
Unai Simón,Athletic Club,es ESP,GK,26,35.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Iñaki Williams,Athletic Club,gh GHA,FW,29,35.3,14,103,48,46.6,2.92,1.36,0.14,0.29,15.4,0,0,0,9.4,9.4,0.10,+2.6,+2.6,Matches
Nico Williams,Athletic Club,es ESP,FW,21,30.1,8,74,24,32.4,2.46,0.80,0.11,0.33,15.7,1,0,0,6.0,6.0,0.11,-1.0,-1.0,Matches
Óscar de Marcos,Athletic Club,es ESP,DF,34,29.7,1,8,3,37.5,0.27,0.10,0.13,0.33,15.7,0,0,0,0.6,0.6,0.13,+0.4,+0.4,Matches
Gorka Guruzeta,Athletic Club,es ESP,FW,26,28.0,16,77,33,42.9,2.75,1.18,0.21,0.48,13.5,3,0,1,11.6,10.8,0.17,+2.4,+3.2,Matches
Oihan Sancet,Athletic Club,es ESP,MF,23,27.5,6,56,17,30.4,2.04,0.62,0.11,0.35,15.6,0,0,1,6.3,5.5,0.13,-2.3,-1.5,Matches
Iñigo Lekue,Athletic Club,es ESP,DF,30,27.2,0,6,0,0.0,0.22,0.00,0.00,,22.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Yuri Berchiche,Athletic Club,es ESP,DF,33,27.2,3,22,7,31.8,0.81,0.26,0.14,0.43,19.1,0,0,0,0.9,0.7,0.04,+2.1,+2.3,Matches
Iñigo Ruiz de Galarreta,Athletic Club,es ESP,MF,29,26.7,1,16,3,18.8,0.60,0.11,0.06,0.33,25.4,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches
Beñat Prados,Athletic Club,es ESP,"MF,DF",22,22.2,0,8,4,50.0,0.36,0.18,0.00,0.00,18.5,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Álex Berenguer,Athletic Club,es ESP,FW,28,21.7,8,43,17,39.5,1.99,0.79,0.14,0.35,16.4,3,2,2,5.2,4.4,0.14,+1.8,+1.6,Matches
Mikel Vesga,Athletic Club,es ESP,MF,30,20.2,3,22,6,27.3,1.09,0.30,0.05,0.17,20.7,0,2,2,2.7,1.1,0.07,+0.3,-0.1,Matches
Ander Herrera,Athletic Club,es ESP,MF,33,13.8,0,18,2,11.1,1.30,0.14,0.00,0.00,21.2,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
Unai Gómez,Athletic Club,es ESP,MF,20,13.3,2,28,9,32.1,2.11,0.68,0.07,0.22,17.0,0,0,0,1.5,1.5,0.09,+0.5,+0.5,Matches
Yeray Álvarez,Athletic Club,es ESP,DF,28,12.9,0,7,2,28.6,0.54,0.16,0.00,0.00,14.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Julen Agirrezabala,Athletic Club,es ESP,GK,22,11.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Iker Muniain,Athletic Club,es ESP,"MF,FW",30,10.7,3,22,8,36.4,2.06,0.75,0.14,0.38,14.3,0,0,0,1.7,1.7,0.13,+0.3,+0.3,Matches
Asier Villalibre,Athletic Club,es ESP,FW,25,9.7,8,24,13,54.2,2.49,1.35,0.29,0.54,11.5,0,1,1,1.7,1.7,0.14,+0.3,+0.3,Matches
Dani García,Athletic Club,es ESP,MF,33,8.8,1,6,3,50.0,0.68,0.34,0.17,0.33,13.6,0,0,0,0.8,0.8,0.13,+0.2,+0.2,Matches
Raúl García,Athletic Club,es ESP,"FW,MF",37,6.8,1,22,8,36.4,3.22,1.17,0.05,0.13,14.3,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches
Imanol,Athletic Club,es ESP,DF,23,6.8,0,2,0,0.0,0.29,0.00,0.00,,23.7,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Adu Ares,Athletic Club,es ESP,FW,21,5.4,2,14,4,28.6,2.58,0.74,0.14,0.50,21.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Mikel Jauregizar,Athletic Club,es ESP,MF,19,2.2,0,4,2,50.0,1.81,0.90,0.00,0.00,28.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Peru Nolaskoain,Athletic Club,es ESP,"DF,MF",24,2.2,0,4,2,50.0,1.84,0.92,0.00,0.00,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Unai Eguíluz,Athletic Club,es ESP,DF,21,0.8,0,1,0,0.0,1.27,0.00,0.00,,,,0,0,,,,,,Matches
Aingeru Olabarrieta,Athletic Club,es ESP,FW,17,0.1,0,1,0,0.0,10.00,0.00,0.00,,25.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Łukasz Skorupski,Bologna,pl POL,GK,32,34.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Joshua Zirkzee,Bologna,nl NED,FW,22,32.5,12,89,31,34.8,2.73,0.95,0.11,0.32,17.8,3,2,2,9.0,7.4,0.09,+2.0,+1.6,Matches
Lewis Ferguson,Bologna,sct SCO,MF,23,32.5,6,63,21,33.3,1.94,0.65,0.10,0.29,16.0,0,0,0,5.4,5.4,0.09,+0.6,+0.6,Matches
Sam Beukema,Bologna,nl NED,DF,24,32.0,2,13,5,38.5,0.41,0.16,0.15,0.40,9.7,0,0,0,1.9,1.9,0.16,-0.9,-0.9,Matches
Remo Freuler,Bologna,ch SUI,MF,31,30.8,1,14,4,28.6,0.45,0.13,0.07,0.25,17.4,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
Stefan Posch,Bologna,at AUT,DF,26,29.9,1,19,4,21.1,0.64,0.13,0.05,0.25,19.3,0,0,0,1.2,1.2,0.07,-0.2,-0.2,Matches
