Player Name,Club Name,Standard,Expected,,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG
Yannick Carrasco,Atlético Madrid,be BEL,DF,29,2.5,0,2,1,50.0,0.81,0.41,0.00,0.00,21.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Çağlar Söyüncü,Atlético Madrid,tr TUR,DF,27,2.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Thomas Lemar,Atlético Madrid,fr FRA,MF,27,1.8,0,2,0,0.0,1.10,0.00,0.00,,23.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Arthur Vermeeren,Atlético Madrid,be BEL,MF,18,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Salim El Jebari,Atlético Madrid,ma MAR,MF,19,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Abdellah Raihani,Atlético Madrid,ma MAR,FW,19,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ilias Kostis,Atlético Madrid,gr GRE,FW,20,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Theo Hernández,Milan,fr FRA,DF,25,45.0,5,72,18,25.0,1.60,0.40,0.06,0.22,21.3,3,1,2,5.9,4.3,0.06,-0.9,-0.3,Matches
Tijjani Reijnders,Milan,nl NED,MF,25,42.9,4,60,16,26.7,1.40,0.37,0.07,0.25,20.7,0,0,0,3.9,3.9,0.07,+0.1,+0.1,Matches
Mike Maignan,Milan,fr FRA,GK,28,41.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Christian Pulisic,Milan,us USA,FW,24,39.9,15,87,41,47.1,2.18,1.03,0.17,0.37,15.7,1,0,0,11.1,11.1,0.13,+3.9,+3.9,Matches
Rafael Leão,Milan,pt POR,FW,24,39.2,15,105,39,37.1,2.68,0.99,0.14,0.38,16.5,0,0,0,14.0,14.0,0.14,-1.0,-1.0,Matches
Olivier Giroud,Milan,fr FRA,FW,36,37.0,17,96,40,41.7,2.59,1.08,0.14,0.33,12.7,2,4,6,18.5,13.8,0.14,-1.5,-0.8,Matches
Davide Calabria,Milan,it ITA,DF,26,32.9,1,22,8,36.4,0.67,0.24,0.05,0.13,17.7,0,0,0,1.5,1.5,0.07,-0.5,-0.5,Matches
Ruben Loftus-Cheek,Milan,eng ENG,MF,27,31.6,10,59,18,30.5,1.87,0.57,0.17,0.56,15.6,0,0,0,6.2,6.2,0.10,+3.8,+3.8,Matches
Fikayo Tomori,Milan,eng ENG,DF,25,31.6,4,24,8,33.3,0.76,0.25,0.17,0.50,11.8,2,0,0,4.3,4.3,0.18,-0.3,-0.3,Matches
Yunus Musah,Milan,us USA,MF,20,24.9,0,24,9,37.5,0.96,0.36,0.00,0.00,19.9,0,0,0,1.3,1.3,0.07,-1.3,-1.3,Matches
Malick Thiaw,Milan,de GER,DF,21,24.0,0,8,1,12.5,0.33,0.04,0.00,0.00,12.4,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches
Alessandro Florenzi,Milan,it ITA,DF,32,23.8,1,39,10,25.6,1.64,0.42,0.03,0.10,25.5,5,0,0,1.9,1.9,0.05,-0.9,-0.9,Matches
Yacine Adli,Milan,fr FRA,MF,23,20.7,1,8,2,25.0,0.39,0.10,0.13,0.50,22.4,1,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches
Matteo Gabbia,Milan,it ITA,DF,23,20.1,3,17,7,41.2,0.85,0.35,0.18,0.43,12.3,0,0,0,1.9,1.9,0.11,+1.1,+1.1,Matches
Simon Kjær,Milan,dk DEN,DF,34,16.3,0,7,1,14.3,0.43,0.06,0.00,0.00,10.0,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
Samuel Chukwueze,Milan,ng NGA,FW,24,15.4,3,40,14,35.0,2.59,0.91,0.08,0.21,17.0,0,0,0,2.7,2.7,0.07,+0.3,+0.3,Matches
Ismaël Bennacer,Milan,dz ALG,MF,25,14.8,2,15,1,6.7,1.01,0.07,0.07,1.00,22.1,2,1,1,1.9,1.1,0.07,+0.1,-0.1,Matches
Luka Jović,Milan,rs SRB,"FW,MF",25,13.9,9,35,18,51.4,2.51,1.29,0.26,0.50,11.9,0,0,0,6.1,6.1,0.20,+0.9,+0.9,Matches
Noah Okafor,Milan,ch SUI,FW,23,11.4,6,26,15,57.7,2.28,1.31,0.23,0.40,13.9,0,0,0,4.2,4.2,0.16,+1.8,+1.8,Matches
Rade Krunić,Milan,ba BIH,"MF,DF",29,10.0,0,3,1,33.3,0.30,0.10,0.00,0.00,17.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Marco Sportiello,Milan,it ITA,GK,31,7.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Pierre Kalulu,Milan,fr FRA,DF,23,5.7,0,2,0,0.0,0.35,0.00,0.00,,11.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Tommaso Pobega,Milan,it ITA,MF,24,5.2,0,13,5,38.5,2.50,0.96,0.00,0.00,15.6,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
Antonio Mirante,Milan,it ITA,GK,40,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jan-Carlo Simic,Milan,rs SRB,DF,18,3.0,1,3,1,33.3,1.02,0.34,0.33,1.00,6.2,0,0,0,0.6,0.6,0.31,+0.4,+0.4,Matches
Alejandro Jiménez,Milan,es ESP,DF,18,2.3,0,3,0,0.0,1.30,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Luka Romero,Milan,ar ARG,"FW,MF",18,1.8,0,2,0,0.0,1.14,0.00,0.00,,9.5,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
Filippo Terracciano,Milan,it ITA,"DF,FW",20,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Chaka Traorè,Milan,ci CIV,MF,18,1.1,2,4,2,50.0,3.50,1.75,0.50,1.00,17.3,0,0,0,0.1,0.1,0.08,+0.9,+0.9,Matches
Davide Bartesaghi,Milan,it ITA,FW,17,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Marco Pellegrino,Milan,,DF,,0.8,0,1,1,100.0,1.32,1.32,0.00,0.00,12.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Kevin Zeroli,Milan,it ITA,MF,18,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mattia Caldara,Milan,it ITA,DF,29,0.4,0,1,0,0.0,2.73,0.00,0.00,,5.4,0,0,0,0.2,0.2,0.21,-0.2,-0.2,Matches
Francesco Camarda,Milan,it ITA,FW,15,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lapo Nava,Milan,it ITA,GK,19,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Youssouf Fofana,Monaco,fr FRA,MF,24,33.3,4,54,14,25.9,1.62,0.42,0.07,0.29,19.6,0,0,0,5.0,5.0,0.10,-1.0,-1.0,Matches
Wissam Ben Yedder,Monaco,fr FRA,FW,32,28.1,20,68,34,50.0,2.42,1.21,0.26,0.53,11.5,0,2,2,12.4,11.6,0.18,+3.6,+3.4,Matches
Denis Zakaria,Monaco,ch SUI,"MF,DF",26,26.7,4,27,10,37.0,1.01,0.37,0.15,0.40,21.6,0,0,0,1.4,1.4,0.05,+2.6,+2.6,Matches
Aleksandr Golovin,Monaco,ru RUS,"MF,FW",27,25.8,6,49,21,42.9,1.90,0.81,0.12,0.29,21.5,6,0,0,3.4,3.4,0.08,+2.6,+2.6,Matches
Wilfried Singo,Monaco,ci CIV,DF,22,24.3,1,19,7,36.8,0.78,0.29,0.05,0.14,16.1,0,0,0,0.8,0.8,0.04,+0.2,+0.2,Matches
Takumi Minamino,Monaco,jp JPN,MF,28,24.2,9,60,28,46.7,2.48,1.16,0.15,0.32,17.1,0,0,0,5.9,5.9,0.10,+3.1,+3.1,Matches
Philipp Köhn,Monaco,ch SUI,GK,25,22.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Guillermo Maripán,Monaco,cl CHI,DF,29,22.0,1,11,5,45.5,0.50,0.23,0.09,0.20,16.6,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
Vanderson,Monaco,br BRA,DF,22,21.6,3,35,10,28.6,1.62,0.46,0.09,0.30,21.6,0,0,0,2.1,2.1,0.07,+0.9,+0.9,Matches
Folarin Balogun,Monaco,us USA,FW,22,21.5,8,72,29,40.3,3.34,1.35,0.10,0.24,14.0,0,1,4,11.0,8.5,0.14,-4.0,-1.5,Matches
Maghnes Akliouche,Monaco,fr FRA,"MF,FW",21,19.5,8,37,23,62.2,1.90,1.18,0.22,0.35,15.7,1,0,0,5.4,5.4,0.15,+1.6,+1.6,Matches
Thilo Kehrer,Monaco,de GER,DF,26,18.0,1,12,4,33.3,0.67,0.22,0.08,0.25,11.1,0,0,0,0.7,0.7,0.06,+0.3,+0.3,Matches
Ismail Jakobs,Monaco,sn SEN,DF,23,16.9,1,21,7,33.3,1.24,0.41,0.05,0.14,15.8,1,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches
Soungoutou Magassa,Monaco,fr FRA,"DF,MF",19,16.3,0,8,2,25.0,0.49,0.12,0.00,0.00,19.0,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
Radosław Majecki,Monaco,pl POL,GK,23,15.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Krépin Diatta,Monaco,sn SEN,"DF,FW",24,13.4,0,9,0,0.0,0.67,0.00,0.00,,23.5,1,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
Mohammed Salisu,Monaco,gh GHA,DF,24,12.5,0,4,1,25.0,0.32,0.08,0.00,0.00,14.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
