Scaled_FoulsDrawnLeadingToShotAttempt,Scaled_DribblesWinningPerc,Scaled_CarriesThatReachesCloseToOpponentGoal(DistTravelled>10Yards),Scaled_TouchesInAtt1/3rd,Scaled_ShotCreatingActionsPer90Min,Scaled_NonPenaltyExpectedGoals,Scaled_SetPiecesPasses,Scaled_TacklesWon,Scaled_TouchesInDefensive1/3rd,Scaled_NonPenaltyGoals-NonPenaltyXG,Scaled_FoulsDrawn,Scaled_SucessfulTakeOns%,Scaled_TimesTackledByADefDuringTakeOn%,Scaled_Interceptions,Scaled_ShortPassesCompleted%,Scaled_InswingingCorners,Scaled_Clearances,Scaled_ThroughBalls,Scaled_TotalPassingDistance,Scaled_PassesIntoPenaltyArea,Scaled_TackleWon,Scaled_Shots,Scaled_ShortPassesCompleted,Scaled_TouchesInMid1/3rd,Scaled_ShotsAttemptLeadingToGoal,Scaled_TouchesInDefensivePenaltyArea,Scaled_SuccessfulTakeOnsLeadingToShotAttempt,Scaled_GoalCreationAccuracy,Scaled_Goals/Shot,Scaled_DistanceTravelledInCarries(Yards),Scaled_Goals,Scaled_TacklesinAtt3rd,Scaled_InGamePasses,Scaled_Switches,Scaled_PassesBlocked,Scaled_CarriesInFinalThird,Scaled_Goals-XG,Scaled_ShotsOnTarget%,Scaled_DistanceTravelledInCarries(Yards)TowardsOpponentGoal,Scaled_TacklesinMid3rd,Scaled_FoulsCommited,Scaled_Goals/ShotOnTarget,Scaled_AverageShotDistance,Scaled_Crosses,Scaled_TacklesAttempted,Scaled_CarriesInPenaltyArea,Scaled_MediumPassesCompleted,Scaled_AerialDuelWinningPercentage,Scaled_SetpiecesLeadingToGoal,Scaled_InPlayPassesThatLeadToShotAttempt,Scaled_AerialDuelWon,Scaled_OutswingingCorners,Scaled_Tackles+Interception,Scaled_LongPassesAttempted,Scaled_LongPassesCompleted%,Scaled_PassesCompleted,Scaled_SetpiecesLeadingToShotAttempt,Scaled_InPlayPassesLeadingToGoal,Scaled_CornersTaken,Scaled_TouchesInAttackingPenaltyArea,Scaled_TacklesinDef3rd,Scaled_NumberOfCarries,Scaled_BallsRecovered,Player,Club,Position,Cluster,Sum
0.105263158,0.522,0.3046875,0.57278481,0.037222222,0.083870968,0.611111111,0.461538462,0.241912799,0.468085106,0.136690647,0.468,0.489,0.588888889,0.846,0,0.323809524,0.142857143,0.372072889,0.454545455,0.461538462,0.176470588,0.352638954,0.364288153,0,0.062458026,0.029411765,0.004555556,0.14,0.552721761,0.113636364,0.32,0.372662511,0.057471264,0.588888889,0.457317073,0.470899471,0.278,0.406774159,0.385714286,0.247524752,0.5,0.413654618,0.61928934,0.447368421,0.057142857,0.370217775,0.447,0.3,0.4,0.082125604,0.939759036,0.595959596,0.26182708,0.474,0.374051233,0.363636364,0.458333333,0.472222222,0.166666667,0.379310345,0.49744898,0.546623794,Jonathan Clauss,Marseille,DF,1,22.23994998
0.052631579,0.727,0.09765625,0.051265823,0.010666667,0.029032258,0.141025641,0.868131868,0.565400844,0.39893617,0.26618705,0.545,0.364,0.888888889,0.925,0,0.657142857,0,0.49558872,0.027972028,0.868131868,0.073529412,0.323213452,0.478320246,0,0.19274681,0.029411765,0.000888889,0.13,0.697970212,0.045454545,0.08,0.470614426,0.252873563,0.888888889,0.152439024,0.402116402,0.267,0.590736933,0.414285714,0.514851485,0.5,0.313253012,0.007614213,0.776315789,0.005714286,0.547380812,0.619,0,0.158974359,0.376811594,0,0.97979798,0.300163132,0.609,0.449478178,0.025974026,0.083333333,0.005555556,0.062893082,1,0.605867347,0.749196141,Leonardo Balerdi,Marseille,DF,1,22.16132312
0.263157895,0.429,0.99609375,0.749367089,0.070888889,0.238709677,0.178062678,0.285714286,0.046413502,0.212765957,0.352517986,0.454,0.479,0.133333333,0.824,0.127118644,0.023809524,0.357142857,0.27457124,0.566433566,0.285714286,0.431372549,0.272769734,0.248548993,0.285714286,0.005372733,0.470588235,0.010555556,0.07,0.807829181,0.136363636,0.6,0.332591273,0.057471264,0.133333333,1,0.216931217,0.318,0.720376583,0.2,0.207920792,0.21,0.315261044,0.52284264,0.223684211,0.531428571,0.282519129,0.333,0.2,0.651282051,0.028985507,0.409638554,0.227272727,0.146003263,0.525,0.283444023,0.207792208,0.791666667,0.538888889,0.547169811,0.057471264,0.528061224,0.29903537,Ousmane Dembélé,Paris S-G,"FW,MF",1,21.73400168
0.631578947,0.542,0.8046875,0.601265823,0.050777778,0.451612903,0.082621083,0.153846154,0.052977028,0.287234043,0.503597122,0.491,0.398,0.144444444,0.814,0,0.1,0.166666667,0.217389512,0.545454545,0.153846154,0.514705882,0.237272303,0.257425743,0.428571429,0.015446608,0.852941176,0.009666667,0.14,0.659483327,0.340909091,0.32,0.280276046,0.103448276,0.144444444,0.774390244,0.291005291,0.371,0.5791581,0.128571429,0.316831683,0.38,0.305220884,0.355329949,0.177631579,0.594285714,0.218952325,0.574,0,0.615384615,0.169082126,0,0.202020202,0.109298532,0.567,0.232685009,0.064935065,0.875,0.077777778,0.761006289,0.114942529,0.405612245,0.331189711,Rafael Leão,Milan,FW,1,21.08990199
0.842105263,0.364,0.58203125,0.517088608,0.046333333,0.322580645,0.12962963,0.505494505,0.083919362,0.340425532,0.661870504,0.384,0.417,0.111111111,0.864,0.152542373,0.042857143,0.214285714,0.184490435,0.314685315,0.505494505,0.455882353,0.245679589,0.214407648,0.571428571,0.01208865,0.382352941,0.009,0.12,0.57064716,0.272727273,0.56,0.239536955,0.16091954,0.111111111,0.506097561,0.354497354,0.376,0.439671031,0.428571429,0.465346535,0.31,0.319277108,0.314720812,0.427631579,0.36,0.149499706,0.355,0.2,0.476923077,0.053140097,0.192771084,0.373737374,0.11908646,0.507,0.211574953,0.233766234,0.583333333,0.277777778,0.509433962,0.24137931,0.34375,0.446945338,Anthony Gordon,Newcastle Utd,FW,1,21.08865913
0,0.703,0.1875,0.220253165,0.014222222,0.067741935,0.12962963,0.362637363,0.594936709,0.228723404,0.158273381,0.333,0.667,0.488888889,0.966,0,0.461904762,0.047619048,0.796833773,0.090909091,0.362637363,0.142156863,0.667445119,0.771252987,0.285714286,0.19677636,0,0.001777778,0,0.971003032,0,0.2,0.773152271,0.091954023,0.488888889,0.536585366,0.232804233,0.379,1,0.385714286,0.386138614,0,0.25502008,0.035532995,0.328947368,0.005714286,1,0.555,0,0.194871795,0.31884058,0,0.449494949,0.2137031,0.74,0.79743833,0,0.125,0,0.125786164,0.206896552,0.837053571,0.475884244,Rúben Dias,Manchester City,DF,1,21.05725885
0.157894737,0.521,0.1171875,0.301265823,0.037555556,0.032258065,0.304843305,0.637362637,0.252695734,0.287234043,0.287769784,0.462,0.385,0.566666667,0.857,0.186440678,0.338095238,0.119047619,0.418851693,0.265734266,0.637362637,0.147058824,0.334423167,0.498463639,0,0.078576226,0.029411765,0.002444444,0,0.353697113,0.181818182,0.24,0.424087266,0.32183908,0.566666667,0.18902439,0.328042328,0.2,0.28449302,0.514285714,0.514851485,0,0.652610442,0.416243655,0.513157895,0.017142857,0.405532666,0.576,0,0.405128205,0.275362319,0.481927711,0.641414141,0.305872757,0.568,0.396347249,0.441558442,0.333333333,0.6,0.044025157,0.413793103,0.382015306,0.784565916,José Luis García Vayá,Valencia,MF,1,21.03648045
0.105263158,0.442,0.26171875,0.403164557,0.033444444,0.177419355,0.153846154,0.483516484,0.148616971,0.526595745,0.683453237,0.527,0.313,0.288888889,0.888,0.288135593,0.10952381,0.452380952,0.317433487,0.426573427,0.483516484,0.269607843,0.263428305,0.350973028,0.142857143,0.034922767,0.205882353,0.005444444,0.16,0.409779887,0.204545455,0.32,0.323686554,0.16091954,0.288888889,0.335365854,0.529100529,0.364,0.299534682,0.585714286,0.514851485,0.45,0.357429719,0.248730964,0.460526316,0.068571429,0.299587993,0.297,0.2,0.538461538,0.053140097,0,0.47979798,0.217781403,0.622,0.298387097,0.155844156,0.583333333,0.238888889,0.232704403,0.24137931,0.392538265,0.63022508,John McGinn,Aston Villa,"MF,FW",1,20.34932251
0.157894737,0.38,0.19921875,0.232911392,0.033333333,0.077419355,0.076923077,0.78021978,0.284106892,0.425531915,0.410071942,0.659,0.318,0.511111111,0.889,0,0.304761905,0.142857143,0.393167326,0.153846154,0.78021978,0.269607843,0.242410089,0.395356777,0,0.083948959,0.147058824,0.002,0.07,0.594701463,0.090909091,0.16,0.360195904,0.367816092,0.511111111,0.341463415,0.428571429,0.255,0.43166324,0.585714286,0.495049505,0.29,0.431726908,0.081218274,0.631578947,0.074285714,0.36433196,0.625,0,0.307692308,0.096618357,0,0.702020202,0.266721044,0.752,0.337998102,0,0.125,0.005555556,0.135220126,0.586206897,0.487563776,0.868167203,Pierre Lees-Melou,Brest,MF,1,20.21107799
0.368421053,0.579,0.64453125,0.621518987,0.037111111,0.358064516,0.092592593,0.384615385,0.072198781,0.54787234,0.438848921,0.391,0.462,0.111111111,0.87,0.050847458,0.076190476,0.071428571,0.225442502,0.356643357,0.384615385,0.426470588,0.292853807,0.264595425,0,0.012760242,0.294117647,0.005444444,0.17,0.664887307,0.340909091,0.52,0.306099733,0.034482759,0.111111111,0.530487805,0.55026455,0.471,0.560978249,0.285714286,0.267326733,0.37,0.289156627,0.373096447,0.328947368,0.308571429,0.228369629,0.345,0,0.441025641,0.09178744,0.325301205,0.303030303,0.084828711,0.519,0.265654649,0.181818182,0.625,0.222222222,0.531446541,0.195402299,0.430165816,0.424437299,Christian Pulisic,Milan,FW,1,20.13781938
