Player Name,Club Name,Country,Position,PostShotExpectedGoals/90min,90s,GoalsAgainst,PKAgainst,FKGoalsAgainst,CornerKickGoalsAgainst,OwnGoalsScoredAgainst,PostShotExpectedGoals,PostShotExpectedGoals/ShotOnTarget,PostShotExpectedGoals/90min,90s,LongPassesCompleted,LongPassesAttempted,LongPassesCompleted%,ShortPassesAttempted,ThrowsAttempted,Launch%,AveragePassLength,GKAttempted,/90,Cmp,CrossesStopped,CrossesStopped%,DefenseOutsidePenalyArea,DefenseOutsidePenalyArea/90min,AvgDistanceofDefenseOutsidePenalyArea,MatchesPlayed,MatchesStarted,Minutes,90s(MinutesPlayed/90s),GoalsAgainst,GoalsAgainst/90,ShotsOnTargetAgainst,Saves,Save%,Wins,Draws,Losses,CleanSheats,CleanSheats%,PKAttempted,PKAllowed,PKSaved,PKMissed,PKSave%
Nick Pope,Newcastle Utd,ENG,GK,31,20.9,21,1,1,2,0,26.4,0.3,5.4,0.27,63,178,35.4,388,116,23.5,29.4,140,62.1,46.4,15,6.9,34,1.7,17.5,21,21,"1,885",20.9,21,1,90,69,77.8,11,4,6,7,33.3,1,1,0,0,0
Loris Karius,Newcastle Utd,GER,GK,30,1,4,0,0,1,1,2,0.29,-1,-0.99,3,18,16.7,27,5,48.1,36.3,9,55.6,41.8,1,10,3,3,19.5,1,1,90,1,4,4,7,4,42.9,0,0,1,0,0,0,0,0,0,
Pietro Terracciano,Fiorentina,ITA,GK,33,45.7,52,7,3,7,0,48.2,0.28,3.2,0.08,199,456,43.6,1308,157,28,31.6,221,40.7,37.4,14,3.8,27,0.64,14.7,45,45,"4,110",45.7,52,1.14,162,109,72.2,20,12,13,12,26.7,8,7,1,0,12.5
Oliver Christensen,Fiorentina,DEN,GK,24,10.7,15,2,0,1,0,8.8,0.23,-4.2,-0.52,44,124,35.5,281,26,35.6,33.3,45,53.3,41.6,6,7.7,16,2,16.8,10,10,960,10.7,15,1.41,43,28,69.8,3,5,2,2,20,2,2,0,0,0
Tommaso Martinelli,Fiorentina,ITA,GK,17,1,2,0,,,,,,,,,,,,,,,,,,,,,,,1,1,90,1,2,2,3,1,33.3,1,0,0,0,0,0,0,0,0,
Álex Remiro,Real Sociedad,ESP,GK,28,48.7,44,5,0,6,1,45.8,0.27,4.8,0.11,237,584,40.6,1319,119,34,33.5,193,69.9,53,20,4.3,60,1.35,16.8,49,49,"4,385",48.7,44,0.9,159,115,75.5,21,17,11,21,42.9,6,5,1,0,16.7
Unai Marrero,Real Sociedad,ESP,GK,21,4.6,3,1,0,0,0,2.9,0.37,-0.1,-0.09,10,25,40,37,5,45.9,37,8,100,63.4,1,3.7,4,2.54,20.1,5,4,412,4.6,3,0.66,8,5,75,3,0,1,3,75,1,1,0,0,0
André Onana,Manchester Utd,CMR,GK,27,51.7,83,10,3,12,1,72.1,0.27,0.1,0,188,607,31,1561,166,32,31.7,181,59.1,44.9,44,6.5,39,0.89,12.4,51,51,"4,650",51.7,83,1.61,271,189,73.1,24,8,19,13,25.5,12,10,1,1,9.1
Altay Bayındır,Manchester Utd,TUR,GK,25,1,2,0,,,,,,,,,,,,,,,,,,,,,,,1,1,90,1,2,2,7,5,71.4,1,0,0,0,0,0,0,0,0,
Anthony Lopes,Lyon,POR,GK,32,33,50,4,1,7,1,43.5,0.25,-4.5,-0.15,132,362,36.5,839,156,34.1,32.4,196,38.8,34.1,36,8.2,28,0.9,12.4,33,33,"2,966",33,50,1.52,159,109,71.1,18,4,11,10,30.3,6,4,1,1,20
Lucas Perri,Lyon,BRA,GK,25,4.3,3,0,,,,,,,,,,,,,,,,,,,,,,,4,4,390,4.3,3,0.69,16,13,81.3,2,1,1,2,50,0,0,0,0,
Rémy Riou,Lyon,FRA,GK,35,3,6,0,1,0,0,4.7,0.33,-1.3,-0.44,5,24,20.8,81,13,16,26.1,23,47.8,39,3,9.4,3,1,13.4,4,3,274,3,6,1.97,14,8,57.1,0,1,2,2,66.7,0,0,0,0,
Brice Samba,Lens,FRA,GK,29,42.7,51,8,0,7,1,55.9,0.27,7.9,0.19,211,476,44.3,1194,188,32.2,32.1,209,44,35.6,42,8.2,46,1.12,14.4,42,42,"3,840",42.7,51,1.2,180,131,76.1,16,12,14,15,35.7,13,8,4,1,33.3
Jean-Louis Leca,Lens,FRA,GK,37,1,2,0,0,0,0,1,0.49,-1,-1.03,1,10,10,22,5,31.8,29,4,75,60.5,0,0,0,0,9.8,1,1,90,1,2,2,2,0,0,0,1,0,0,0,0,0,0,0,
Rui Silva,Betis,POR,GK,29,36.5,46,8,2,4,2,43.1,0.27,2.1,0.06,147,433,33.9,912,137,34.5,33,230,51.3,41.1,35,8.3,43,1.28,15.3,37,37,"3,285",36.5,46,1.26,139,93,72.7,14,10,13,10,27,9,8,1,0,11.1
Claudio Bravo,Betis,CHI,GK,40,9,7,0,0,1,1,8.3,0.31,2.3,0.26,50,108,46.3,221,35,31.2,30.6,71,54.9,42.8,7,5.6,10,1.11,13.3,9,9,810,9,7,0.78,29,23,75.9,4,4,1,2,22.2,0,0,0,0,
Fran Vieites,Betis,ESP,GK,24,3.5,4,0,1,0,0,4.5,0.25,0.5,0.15,13,50,26,82,18,37.8,36.5,35,54.3,46.4,3,4.6,2,0.57,10.5,4,3,315,3.5,4,1.14,18,14,77.8,1,2,0,2,66.7,0,0,0,0,
Pau López,Marseille,ESP,GK,28,47,61,5,1,8,1,53.6,0.26,-5.4,-0.12,159,537,29.6,1506,159,28.1,30.9,215,53,42.4,26,4.7,34,0.74,13.4,47,47,"4,229",47,61,1.3,191,132,70.7,18,16,13,10,21.3,6,5,1,0,16.7
Rubén Blanco,Marseille,ESP,GK,28,3.3,3,0,0,0,0,2.3,0.29,-0.7,-0.3,8,22,36.4,74,8,24.3,26.7,14,28.6,35.3,4,13.3,3,1.27,17,4,3,301,3.3,3,0.9,8,5,62.5,2,0,1,1,33.3,0,0,0,0,
Alex Meret,Napoli,ITA,GK,26,38.8,53,2,1,5,1,49,0.31,-3,-0.08,78,220,35.5,973,158,17.3,27.6,202,25.7,30.3,12,2.6,38,0.98,15.3,39,39,"3,493",38.8,53,1.37,149,95,65.8,13,15,11,7,17.9,4,2,2,0,50
Pierluigi Gollini,Napoli,ITA,GK,28,10,13,1,0,1,0,8.2,0.34,0.2,0.02,27,68,39.7,213,28,22.1,29.5,53,39.6,36.3,5,6.1,9,1.29,16.2,10,10,900,10,13,1.3,38,26,68.4,4,1,5,2,20,2,1,0,1,0
Nikita Contini Baranovsky,Napoli,ITA,GK,27,0.2,0,0,0,0,0,0,,0,0,0,0,,3,1,0,17,1,0,15,0,0,3,15.88,37,1,0,17,0.2,0,0,0,0,,0,0,0,1,,0,0,0,0,
Filip Jørgensen,Villarreal,DEN,GK,21,37,64,6,1,9,1,61,0.28,-2,-0.05,146,362,40.3,1074,183,24.2,29.5,253,40.3,37.3,34,5.2,39,1.05,13.8,37,37,"3,330",37,64,1.73,207,144,72,14,10,13,6,16.2,6,6,0,0,0
Pepe Reina,Villarreal,ESP,GK,40,12.7,15,2,0,0,1,12.3,0.31,0.3,0.03,27,85,31.8,291,46,23.7,29.2,47,34,34.2,5,3.9,3,0.33,12.6,12,12,"1,140",12.7,15,1.18,40,26,67.5,7,3,2,3,25,4,2,1,1,33.3
Vanja Milinković-Savić,Torino,SRB,GK,26,37,32,6,0,4,0,33.8,0.21,2.8,0.08,264,783,33.7,1288,171,44.8,38.3,239,86.2,66.6,38,9.3,37,1.03,13.6,37,37,"3,330",37,32,0.86,135,103,80.7,14,14,9,18,48.6,6,6,0,0,0
Luca Gemello,Torino,ITA,GK,23,3.3,7,1,0,0,0,3.6,0.31,-1.4,-0.72,10,29,34.5,104,8,26.9,31.1,12,8.3,19.7,3,12.5,3,1.5,12,3,3,300,3.3,7,2.1,13,6,53.8,0,0,3,0,0,1,1,0,0,0
Kevin Trapp,Eint Frankfurt,GER,GK,33,40.5,60,9,1,6,0,57,0.3,-1,-0.03,113,414,27.3,1112,154,28.2,29.5,244,41,36.2,18,3.5,34,0.88,15.1,41,41,"3,644",40.5,60,1.48,164,102,68.9,13,14,14,9,22,11,9,2,0,18.2
Jens Grahl,Eint Frankfurt,GER,GK,34,4.5,3,0,0,0,0,2.9,0.18,-0.1,-0.04,4,34,11.8,115,23,25.2,30.9,20,25,34.8,5,10.2,5,1.43,14.8,5,4,405,4.5,3,0.67,19,16,84.2,3,1,0,1,25,0,0,0,0,
Yehvann Diouf,Reims,FRA,GK,23,34,47,6,1,4,1,42.7,0.27,-3.3,-0.1,124,353,35.1,1135,179,25.2,30.1,157,42.7,36.9,38,7.3,46,1.35,14.2,34,34,"3,060",34,47,1.38,137,90,70.1,13,8,13,8,23.5,7,6,1,0,14.3
Alexandre Olliero,Reims,FRA,GK,27,2,2,1,,,,,,,,,,,,,,,,,,,,,,,2,2,180,2,2,1,5,4,80,1,1,0,1,50,1,1,0,0,0
Alphonse Areola,West Ham,FRA,GK,30,32,60,5,0,3,3,53,0.24,1,0.03,163,436,37.4,661,150,43.1,36.4,230,65.7,46.2,27,5.6,8,0.26,9,33,33,"2,879",32,60,1.88,204,145,73,11,9,13,4,12.1,7,5,2,0,28.6
Łukasz Fabiański,West Ham,POL,GK,38,21,30,3,0,5,1,27.7,0.29,1.7,0.1,96,224,42.9,365,80,46.8,37.6,109,48.6,40.5,15,6.7,5,0.29,9.9,23,20,"1,891",21,30,1.43,107,78,74.8,11,3,6,6,30,3,3,0,0,0
Steve Mandanda,Rennes,FRA,GK,38,42,57,5,0,6,3,49.6,0.26,-3.4,-0.08,154,467,33,1210,181,28.3,31,228,54.4,41.9,41,7.9,40,0.98,14.7,42,42,"3,780",42,57,1.36,178,125,70.8,16,10,16,9,21.4,6,5,1,0,16.7
Gauthier Gallon,Rennes,FRA,GK,30,5,4,2,0,0,0,0.9,0.01,-0.1,-0.06,8,22,36.4,33,0,36.4,35,12,83.3,59.8,0,0,3,3,28,5,5,450,5,4,0.8,10,7,80,4,1,0,1,20,2,2,0,0,0
Oliver Baumann,Hoffenheim,GER,GK,33,36,68,3,3,9,1,68.6,0.31,3.6,0.11,208,529,39.3,1159,165,33.7,32.7,249,55.4,44.9,31,5.7,73,2.15,16.7,36,36,"3,240",36,68,1.89,220,151,70.5,14,7,15,2,5.6,6,3,3,0,50
Josep Martinez,Genoa,ESP,GK,25,36,43,3,1,4,1,38.9,0.28,-3.1,-0.09,227,583,38.9,1253,107,37.4,35.9,171,66.7,49.4,45,7.8,40,1.11,12.2,36,36,"3,239",36,43,1.19,130,87,69.2,11,13,12,8,22.2,4,3,1,0,25
Nicola Leali,Genoa,ITA,GK,30,5.3,7,0,0,0,0,2.8,0.31,0.8,0.4,18,48,37.5,62,3,69.4,44.7,10,50,40.6,2,7.4,1,0.51,15.2,6,5,476,5.3,7,1.32,21,14,66.7,3,0,2,0,0,0,0,0,0,
Daniele Sommariva,Genoa,ITA,GK,26,0.1,0,0,0,0,0,0,,0,0,0,3,0,2,0,100,54.5,1,100,76,1,50,0,0,15,1,0,5,0.1,0,0,0,0,,0,0,0,1,,0,0,0,0,
Sam Johnstone,Crystal Palace,ENG,GK,30,22.8,33,2,0,4,1,20,0.27,-6,-0.3,117,355,33,453,63,55,41.2,141,75.2,52.8,24,7.1,12,0.6,11.2,23,22,"2,048",22.8,33,1.45,82,50,62.2,6,6,10,6,27.3,2,2,0,0,0
Dean Henderson,Crystal Palace,ENG,GK,26,19.2,30,1,0,3,1,27.4,0.31,-1.6,-0.09,59,245,24.1,377,52,46.7,38.6,105,65.7,47,5,2,17,0.94,13.8,20,20,"1,728",19.2,30,1.56,89,60,67.4,8,5,7,5,25,1,1,0,0,0
Remi Matthews,Crystal Palace,ENG,GK,29,0,1,0,0,0,0,0.1,0.15,-0.9,-19.2,0,5,0,4,0,100,53.8,1,100,63,1,100,0,0,3.5,1,0,4,0,1,22.5,1,0,0,0,0,0,0,,0,0,0,0,
Giorgi Mamardashvili,Valencia,GEO,GK,22,36.5,41,3,0,4,2,49.2,0.31,10.2,0.28,185,671,27.6,864,142,57.3,41.4,245,71.8,53.4,45,8.5,31,0.85,12.3,37,37,"3,284",36.5,41,1.12,145,103,73.8,13,10,14,13,35.1,6,3,3,0,50
Jaume Doménech,Valencia,ESP,GK,32,5.2,7,1,1,2,0,1.7,0.14,-1.3,-1.52,4,20,20,24,2,62.5,40.5,7,71.4,51.4,1,5.3,1,1.14,11.4,6,5,469,5.2,7,1.34,26,20,76.9,3,0,2,2,40,1,1,0,0,0
Cristian,Valencia,ESP,GK,25,0.6,1,0,0,1,0,0.5,0.17,-0.5,-0.75,2,5,40,15,4,26.7,29.1,3,33.3,32.7,0,0,0,0,8.3,1,0,57,0.6,1,1.58,3,2,66.7,0,0,0,0,,0,0,0,0,
Guillaume Restes,Toulouse,FRA,GK,18,43,59,6,2,7,1,55,0.29,-1,-0.02,131,398,32.9,901,121,29,30.1,262,52.3,41.2,10,1.6,18,0.43,11.1,43,43,"3,870",43,59,1.37,174,116,69.5,14,13,16,9,20.9,6,6,0,0,0
Álex Domínguez,Toulouse,ESP,GK,25,2,3,1,,,,,,,,,,,,,,,,,,,,,,,2,2,180,2,3,1.5,9,8,77.8,1,1,0,1,50,2,1,1,0,50
Bart Verbruggen,Brighton,NED,GK,20,27,33,4,0,3,0,26.3,0.23,-1.7,-0.07,65,166,39.2,884,132,17.8,24.7,85,10.6,17.2,20,7.2,33,1.38,15.7,27,27,"2,430",27,33,1.22,112,80,74.1,12,8,7,7,25.9,4,4,0,0,0
Jason Steele,Brighton,ENG,GK,32,23,44,3,1,8,2,33.2,0.35,-7.8,-0.36,56,154,36.4,773,84,18.6,26.2,66,15.2,18.8,7,3.3,56,2.55,21,23,23,"2,070",23,44,1.91,94,52,56.4,7,5,11,4,17.4,3,3,0,0,0
Neto,Bournemouth,BRA,GK,34,32,55,5,1,3,1,55.2,0.31,1.2,0.04,172,494,34.8,833,154,44.1,36.9,223,57,44.2,26,6.3,34,1.06,13.7,32,32,"2,880",32,55,1.72,165,110,69.7,10,9,13,7,21.9,6,5,1,0,16.7
Mark Travers,Bournemouth,IRL,GK,24,7.3,8,1,0,0,0,5,0.23,0,0.01,22,72,30.6,92,13,55.4,41.7,26,80.8,55.6,3,5,3,0.75,14.8,7,7,660,7.3,8,1.09,30,22,76.7,4,0,3,3,42.9,1,1,0,0,0
Ionuț Radu,Bournemouth,ROU,GK,26,5,11,1,0,3,0,2.9,0.27,-4.1,-2.04,5,15,33.3,57,10,19.3,26.9,11,36.4,29.2,2,10.5,0,0,9.6,5,5,450,5,11,2.2,19,9,47.4,3,0,2,1,20,1,1,0,0,0
Kevin Müller,Heidenheim,GER,GK,32,35,55,7,0,7,3,53.6,0.27,1.6,0.05,249,595,41.8,1164,167,35.2,35.9,316,58.5,46.1,24,4.8,17,0.5,13.2,35,35,"3,150",35,55,1.57,174,121,72.4,11,12,12,7,20,10,7,1,2,12.5
Vitus Eicher,Heidenheim,GER,GK,32,1,3,0,,,,,,,,,,,,,,,,,,,,,,,1,1,90,1,3,3,4,1,25,0,0,1,0,0,0,0,0,0,
Bernd Leno,Fulham,GER,GK,31,41.3,65,8,2,3,4,55.7,0.26,-1.3,-0.03,144,439,32.8,1372,167,23.7,28.5,201,56.7,44.7,19,4,40,1.05,14.2,41,41,"3,720",41.3,65,1.57,204,143,72.1,13,10,18,10,24.4,8,8,0,0,0
Marek Rodák,Fulham,SVK,GK,26,5.3,5,0,,,,,,,,,,,,,,,,,,,,,,,5,5,480,5.3,5,0.94,14,9,64.3,3,1,1,1,20,0,0,0,0,
Michael Zetterer,Werder Bremen,GER,GK,28,27,37,4,0,4,1,41,0.3,5,0.18,145,330,43.9,977,161,28.5,32.7,144,36.1,38.1,34,8.4,30,1.11,14.6,27,27,"2,430",27,37,1.37,128,92,74.2,9,9,9,6,22.2,4,4,0,0,0
Jiří Pavlenka,Werder Bremen,CZE,GK,31,8,20,2,0,1,0,13.1,0.3,-3.9,-0.56,31,85,36.5,177,37,37.9,34.2,69,26.1,32.5,7,6.4,9,1.29,14.4,8,8,720,8,20,2.5,48,28,62.5,2,0,6,1,12.5,2,2,0,0,0
Noah Atubolu,Freiburg,GER,GK,21,45.3,72,3,1,7,1,63.6,0.31,-7.4,-0.17,252,737,34.2,1592,202,33.8,33.7,304,65.5,50.1,37,6.2,35,0.8,13.2,45,45,"4,080",45.3,72,1.59,197,124,65,18,10,17,15,33.3,5,3,2,0,40
Florian Müller,Freiburg,GER,GK,25,1,3,0,,,,,,,,,,,,,,,,,,,,,,,1,1,90,1,3,3,3,0,0,0,0,1,0,0,0,0,0,0,
Benjamin Lecomte,Montpellier,FRA,GK,32,33,42,5,2,3,3,36.8,0.24,2.8,0.09,150,436,34.4,781,137,44.2,36.6,221,41.2,36.4,29,6.2,13,0.43,9.5,33,33,"2,970",33,42,1.27,150,111,75.3,11,11,11,11,33.3,6,5,1,0,16.7
Dimitry Bertaud,Montpellier,COD,GK,25,4,11,0,0,1,0,10.9,0.32,-0.1,-0.02,18,61,29.5,118,26,42.4,38,23,47.8,42.5,3,5.4,0,0,9.6,4,4,360,4,11,2.75,34,23,67.6,1,1,2,0,0,0,0,0,0,
Antonio Sivera,Alavés,ESP,GK,26,35,40,8,0,3,2,38.4,0.25,2.4,0.07,279,701,39.8,807,116,62.3,44.6,295,67.1,47.8,25,5,29,0.85,13.1,35,35,"3,150",35,40,1.14,129,91,75.2,11,8,16,10,28.6,8,8,0,0,0
Jesús Owono,Alavés,EQG,GK,22,7,8,0,0,1,0,6.4,0.27,-1.6,-0.4,36,77,46.8,88,9,54.5,41.7,31,93.5,66.8,4,13.8,8,2,15.2,7,7,630,7,8,1.14,33,25,75.8,4,2,1,4,57.1,0,0,0,0,
José Sá,Wolves,POR,GK,30,39.1,64,8,1,7,1,65.9,0.31,8.9,0.26,87,424,20.5,841,190,33.3,33,253,56.9,42.6,45,8.6,28,0.83,12.6,40,40,"3,517",39.1,64,1.64,206,146,72.8,15,8,17,5,12.5,8,8,0,0,0
Daniel Bentley,Wolves,ENG,GK,30,6.3,10,0,0,0,0,5.8,0.39,-1.2,-0.28,13,56,23.2,111,9,36,33.8,33,48.5,36.9,0,0,3,0.7,13.3,7,5,563,6.3,10,1.6,21,11,52.4,2,0,3,2,40,0,0,0,0,
Sergio Herrera,Osasuna,ESP,GK,30,32.9,49,0,0,6,0,45.6,0.34,-1.4,-0.04,282,658,42.9,961,100,52,40.4,222,71.2,51.2,29,6.2,43,1.35,16.4,33,33,"2,959",32.9,49,1.49,139,89,64.7,12,7,14,9,27.3,1,0,1,0,100
Aitor Fernández,Osasuna,ESP,GK,32,8.5,11,2,0,2,0,6.1,0.26,-2.9,-0.47,47,113,41.6,174,19,56.3,42.5,22,68.2,49.7,1,1.4,15,2.45,24.8,9,8,761,8.5,11,1.3,25,16,64,1,2,5,2,25,3,2,1,0,33.3
Michele Di Gregorio,Monza,ITA,GK,26,32.9,37,4,1,5,0,45.4,0.26,10.4,0.33,179,430,41.6,1126,201,27.8,30.6,223,52.5,44.2,19,4.1,18,0.56,11.5,34,34,"2,962",32.9,37,1.12,165,127,80,11,11,12,12,35.3,6,4,2,0,33.3
Alessandro Sorrentino,Monza,ITA,GK,21,6.1,16,4,0,1,0,14.4,0.34,-1.6,-0.27,18,56,32.1,151,29,26.5,30.6,42,38.1,36.1,3,4.8,3,0.49,16.8,7,5,548,6.1,16,2.63,32,16,62.5,0,1,4,0,0,4,4,0,0,0
Finn Dahmen,Augsburg,GER,GK,25,32,54,7,0,10,2,49.3,0.26,-0.7,-0.02,169,450,37.6,1151,92,30.8,32.4,187,51.3,44.3,28,5.8,50,1.61,15,32,32,"2,880",32,54,1.69,161,107,70.8,10,9,13,3,9.4,10,7,2,1,22.2
Tomáš Koubek,Augsburg,CZE,GK,30,3,8,0,0,2,0,6.7,0.29,-1.3,-0.43,16,40,40,74,6,36.5,34.5,24,54.2,46.5,2,5.6,2,0.67,11.6,3,3,270,3,8,2.67,25,17,68,0,0,3,0,0,0,0,0,0,
Alaa Bellaarouch,Strasbourg,MAR,GK,21,19.3,28,3,0,1,1,19.8,0.25,-5.2,-0.35,56,183,30.6,440,57,36.4,34.4,61,37.7,36,19,9.4,21,1.4,13.4,19,19,"1,740",19.3,28,1.45,74,47,66.2,7,3,9,3,15.8,6,3,2,1,40
Matz Sels,Strasbourg,BEL,GK,31,19,24,1,0,2,2,20,0.31,-2,-0.11,88,226,38.9,505,68,37.4,34.5,113,32.7,33.7,6,2.3,19,1,13.9,19,19,"1,710",19,24,1.26,62,40,62.9,6,7,6,3,15.8,1,1,0,0,0
David Soria,Getafe,ESP,GK,30,39.9,55,5,0,6,0,53.9,0.29,1.9,0.05,339,908,37.3,979,123,66.2,45.8,310,83.9,57.3,17,3.7,62,1.63,17.3,40,40,"3,593",39.9,55,1.38,179,123,72.1,11,13,16,11,27.5,7,5,1,1,16.7
Daniel Fuzato,Getafe,BRA,GK,26,2.1,3,0,0,1,0,1.3,0.63,-0.7,-9.63,2,7,28.6,6,1,50,39.2,4,100,71.8,1,20,0,0,10.7,3,2,187,2.1,3,1.44,7,4,57.1,2,0,0,1,50,0,0,0,0,
Jordan Pickford,Everton,ENG,GK,29,42.3,54,8,0,9,3,52.4,0.28,4.4,0.12,360,901,40,1297,141,56.7,41.6,273,60.8,48.3,30,5.3,54,1.42,15.9,42,42,"3,810",42.3,54,1.28,176,125,73.9,16,10,16,14,33.3,8,8,0,0,0
João Virgínia,Everton,POR,GK,23,3,2,0,,,,,,,,,,,,,,,,,,,,,,,3,3,270,3,2,0.67,12,10,83.3,1,1,1,2,66.7,0,0,0,0,
Koen Casteels,Wolfsburg,BEL,GK,31,27.3,40,2,0,2,2,36.4,0.3,-0.6,-0.03,161,390,41.3,786,118,36.3,35,161,65.2,48.4,25,7.5,38,1.52,15.7,27,27,"2,460",27.3,40,1.46,118,80,67.8,9,6,12,5,18.5,3,2,0,1,0
Pavao Pervan,Wolfsburg,AUT,GK,35,10,17,0,2,2,1,11.5,0.32,-4.5,-0.51,40,104,38.5,263,39,33.5,32.8,37,43.2,39.6,1,0.8,3,0.33,12.1,10,10,900,10,17,1.7,37,21,54.1,3,1,6,3,30,0,0,0,0,
Ørjan Nyland,Sevilla,NOR,GK,32,28,32,4,1,1,1,34.1,0.26,4.1,0.16,182,483,37.7,647,118,48.5,38.9,220,76.8,55.1,20,5.2,17,0.65,13.3,28,28,"2,520",28,32,1.14,124,93,77.4,9,10,9,7,25,5,4,0,1,0
Marko Dmitrović,Sevilla,SRB,GK,31,19,34,3,1,3,2,29,0.32,-2,-0.11,77,224,34.4,423,80,36.2,33.8,117,60.7,47.1,17,8.3,17,1,13.6,19,19,"1,710",19,34,1.79,87,55,64.4,4,3,12,3,15.8,3,3,0,0,0
Yassine Bounou,Sevilla,MAR,GK,32,2,3,0,0,0,0,1.1,0.37,-0.9,-0.88,6,16,37.5,24,4,41.7,36.1,7,85.7,57.4,0,0,0,0,,2,2,180,2,3,1.5,10,7,70,0,1,1,0,0,0,0,0,0,
Alberto López,Sevilla,ESP,GK,19,1,1,0,,,,,,,,,,,,,,,,,,,,,,,1,1,90,1,1,1,3,2,66.7,1,0,0,0,0,0,0,0,0,
Vicente Guaita,Celta Vigo,ESP,GK,36,26.7,39,4,0,5,2,39.7,0.31,2.7,0.1,137,356,38.5,589,134,39.4,35.5,213,58.2,45.3,23,5.5,27,1.01,13.3,27,26,"2,403",26.7,39,1.46,120,83,70.8,8,7,11,6,23.1,5,4,0,1,0
Iván Villar,Celta Vigo,ESP,GK,26,15.3,23,3,0,2,1,16.3,0.31,-0.7,-0.07,39,138,28.3,223,48,35.4,34.4,98,60.2,45.7,5,3.7,9,0.8,13.2,16,16,"1,374",15.3,23,1.51,57,35,64.9,5,4,7,1,6.3,4,3,1,0,25
Agustín Marchesín,Celta Vigo,ARG,GK,35,1,1,0,,,,,,,,,,,,,,,,,,,,,,,1,1,90,1,1,1,3,2,66.7,1,0,0,0,0,0,0,0,0,
Predrag Rajković,Mallorca,SRB,GK,27,36,43,4,1,4,1,41.8,0.27,-0.2,-0.01,322,795,40.5,946,117,60.9,44.7,300,73,54.3,33,6.6,28,0.78,13.7,36,36,"3,240",36,43,1.19,138,95,71.7,7,15,14,9,25,5,4,1,0,20
Dominik Greif,Mallorca,SVK,GK,26,9,4,1,0,0,0,0.7,0.16,0.7,0.66,10,18,55.6,23,3,52.2,42,9,66.7,54.2,0,0,1,1,23,8,8,810,9,4,0.44,32,30,90.6,4,4,0,5,62.5,2,1,1,0,50
Iván Cuéllar,Mallorca,ESP,GK,39,2,1,0,0,0,0,1.2,0.19,0.2,0.17,1,11,9.1,32,8,31.3,33,3,33.3,35.7,1,16.7,0,0,7,2,2,180,2,1,0.5,9,8,88.9,2,0,0,1,50,0,0,0,0,
Álvaro Vallés,Las Palmas,ESP,GK,26,36.3,44,5,0,5,3,48.7,0.28,7.7,0.21,137,447,30.6,1762,194,21.7,27.3,151,42.4,39.1,29,5.6,96,2.65,17.8,37,37,"3,263",36.3,44,1.21,152,108,74.3,10,10,17,8,21.6,9,5,3,1,37.5
Aarón Escandell,Las Palmas,ESP,GK,27,5,6,1,0,0,0,2.5,0.62,-0.5,-0.3,9,26,34.6,73,10,27.4,30.4,12,50,41.3,1,4.2,4,2.35,18,5,4,453,5,6,1.19,16,11,68.8,2,0,2,1,25,1,1,0,0,0
Mark Flekken,Brentford,NED,GK,30,37.5,64,2,0,6,0,55.4,0.31,-7.6,-0.21,242,647,37.4,1288,131,36.6,34.5,289,60.9,46.7,44,7.7,37,1.01,12.6,38,38,"3,375",37.5,64,1.71,179,115,65.4,10,9,19,7,18.4,2,2,0,0,0
Thomas Strakosha,Brentford,ALB,GK,28,3.8,6,1,0,0,0,1.5,0.2,-0.5,-0.3,12,30,40,56,5,41.1,35.8,15,46.7,39.9,2,5.4,1,0.67,10,4,3,345,3.8,6,1.57,8,6,75,0,1,2,0,0,1,1,0,0,0
Ellery Balcombe,Brentford,ENG,GK,23,1.3,1,0,,,,,,,,,,,,,,,,,,,,,,,1,1,120,1.3,1,0.75,2,1,50,0,1,0,0,0,0,0,0,0,
Robin Zentner,Mainz 05,GER,GK,28,32,51,5,1,2,1,49.2,0.37,2.2,0.07,180,512,35.2,862,146,47.3,38.5,177,58.8,46.4,42,10.7,48,1.6,16,32,32,"2,880",32,51,1.59,133,85,65.4,8,12,12,8,25,6,5,0,1,0
Daniel Batz,Mainz 05,GER,GK,32,4,3,0,1,0,0,2.4,0.15,-0.6,-0.15,18,58,31,132,14,38.6,34.7,21,33.3,34.8,4,10.5,2,0.5,11.3,4,4,360,4,3,0.75,17,14,82.4,0,2,2,1,25,0,0,0,0,
Moritz Nicolas,Gladbach,GER,GK,25,30.3,52,4,0,6,0,45.1,0.26,-3.9,-0.14,112,315,35.6,888,140,26,29.7,161,52.2,42.5,21,4.6,22,0.81,13.2,30,30,"2,730",30.3,52,1.71,166,114,71.1,8,11,11,5,16.7,4,4,0,0,0
Jonas Omlin,Gladbach,SUI,GK,29,8,18,2,0,1,0,13.3,0.24,-4.7,-0.67,32,90,35.6,242,37,30.2,32.3,34,50,41.8,7,9,12,1.71,15.3,8,8,720,8,18,2.25,49,31,67.3,2,2,4,1,12.5,2,2,0,0,0
Lorenzo Montipò,Hellas Verona,ITA,GK,27,38,50,3,0,6,1,40.7,0.26,-7.3,-0.2,323,763,42.3,960,109,54.5,41.1,305,78.7,56.4,22,4.5,43,1.16,15.3,38,38,"3,420",38,50,1.32,156,108,69.9,10,10,18,8,21.1,3,3,0,0,0
