Scaled_FoulsDrawnLeadingToShotAttempt,Scaled_DribblesWinningPerc,Scaled_CarriesThatReachesCloseToOpponentGoal(DistTravelled>10Yards),Scaled_TouchesInAtt1/3rd,Scaled_ShotCreatingActionsPer90Min,Scaled_NonPenaltyExpectedGoals,Scaled_SetPiecesPasses,Scaled_TacklesWon,Scaled_TouchesInDefensive1/3rd,Scaled_NonPenaltyGoals-NonPenaltyXG,Scaled_FoulsDrawn,Scaled_SucessfulTakeOns%,Scaled_TimesTackledByADefDuringTakeOn%,Scaled_Interceptions,Scaled_ShortPassesCompleted%,Scaled_InswingingCorners,Scaled_Clearances,Scaled_ThroughBalls,Scaled_TotalPassingDistance,Scaled_PassesIntoPenaltyArea,Scaled_TackleWon,Scaled_Shots,Scaled_ShortPassesCompleted,Scaled_TouchesInMid1/3rd,Scaled_ShotsAttemptLeadingToGoal,Scaled_TouchesInDefensivePenaltyArea,Scaled_SuccessfulTakeOnsLeadingToShotAttempt,Scaled_GoalCreationAccuracy,Scaled_Goals/Shot,Scaled_DistanceTravelledInCarries(Yards),Scaled_Goals,Scaled_TacklesinAtt3rd,Scaled_InGamePasses,Scaled_Switches,Scaled_PassesBlocked,Scaled_CarriesInFinalThird,Scaled_Goals-XG,Scaled_ShotsOnTarget%,Scaled_DistanceTravelledInCarries(Yards)TowardsOpponentGoal,Scaled_TacklesinMid3rd,Scaled_FoulsCommited,Scaled_Goals/ShotOnTarget,Scaled_AverageShotDistance,Scaled_Crosses,Scaled_TacklesAttempted,Scaled_CarriesInPenaltyArea,Scaled_MediumPassesCompleted,Scaled_AerialDuelWinningPercentage,Scaled_SetpiecesLeadingToGoal,Scaled_InPlayPassesThatLeadToShotAttempt,Scaled_AerialDuelWon,Scaled_OutswingingCorners,Scaled_Tackles+Interception,Scaled_LongPassesAttempted,Scaled_LongPassesCompleted%,Scaled_PassesCompleted,Scaled_SetpiecesLeadingToShotAttempt,Scaled_InPlayPassesLeadingToGoal,Scaled_CornersTaken,Scaled_TouchesInAttackingPenaltyArea,Scaled_TacklesinDef3rd,Scaled_NumberOfCarries,Scaled_BallsRecovered,Player,Club,Position,Cluster,Sum
0.210526316,0.32,0.34375,0.692405063,0.054,0.216129032,0.484330484,0.32967033,0.217065166,0.196808511,0.424460432,0.55,0.325,0.311111111,0.922,0.644067797,0.1,0.523809524,0.613401495,0.461538462,0.32967033,0.299019608,0.621672116,0.640491635,0.142857143,0.0402955,0.176470588,0.005222222,0.07,0.717740873,0.113636364,0.2,0.614203028,0.252873563,0.311111111,0.62804878,0.174603175,0.344,0.574504924,0.242857143,0.237623762,0.19,0.351405622,0.545685279,0.243421053,0.062857143,0.620364921,0.323,0.4,0.707692308,0.048309179,0.759036145,0.323232323,0.320554649,0.598,0.636622391,0.727272727,0.583333333,1,0.311320755,0.172413793,0.651466837,0.742765273,İlkay Gündoğan,Barcelona,MF,1,24.99572932
0.263157895,0.476,0.296875,0.496835443,0.039333333,0.148387097,0.433048433,0.483516484,0.309892171,0.361702128,0.431654676,0.516,0.359,0.311111111,0.939,0.669491525,0.128571429,0.404761905,0.572779244,0.328671329,0.483516484,0.279411765,0.486221392,0.562990782,0,0.069173942,0.205882353,0.003888889,0.09,0.6526954,0.204545455,0.52,0.541184328,0.195402299,0.311111111,0.365853659,0.37037037,0.298,0.503949789,0.428571429,0.693069307,0.29,0.455823293,0.426395939,0.473684211,0.022857143,0.599764567,0.574,0.7,0.430769231,0.149758454,0.156626506,0.48989899,0.315660685,0.62,0.558111954,0.571428571,0.291666667,0.744444444,0.128930818,0.333333333,0.585140306,0.710610932,Douglas Luiz,Aston Villa,MF,1,24.864534
0.157894737,0.686,0.265625,0.117088608,0.015666667,0.109677419,0.253561254,0.758241758,0.826066573,0.265957447,0.316546763,0.435,0.435,0.633333333,0.945,0,0.661904762,0.119047619,0.797355981,0.153846154,0.758241758,0.161764706,0.48248482,0.650051212,0,0.314304903,0.088235294,0.002111111,0.06,0.843284566,0.045454545,0.28,0.705253785,0.643678161,0.633333333,0.329268293,0.26984127,0.212,0.869494643,0.514285714,0.287128713,0.29,0.242971888,0.032994924,0.631578947,0.017142857,0.899941142,0.576,0,0.241025641,0.328502415,0,0.767676768,0.425774878,0.68,0.699478178,0,0.291666667,0,0.150943396,0.609195402,0.767857143,1,Nico Schlotterbeck,Dortmund,DF,3,24.75578115
0.473684211,0.354,0.47265625,0.641772152,0.044888889,0.429032258,0.078347578,0.549450549,0.121894046,0.803191489,0.73381295,0.535,0.357,0.333333333,0.923,0.008474576,0.114285714,0.476190476,0.372581354,0.384615385,0.549450549,0.465686275,0.551144325,0.468419256,0.285714286,0.02014775,0.382352941,0.006111111,0.23,0.643666798,0.522727273,0.6,0.45903829,0.195402299,0.333333333,0.652439024,0.814814815,0.484,0.513688995,0.357142857,0.455445545,0.48,0.275100402,0.091370558,0.407894737,0.217142857,0.319011183,0.493,0,0.594871795,0.169082126,0,0.454545455,0.101141925,0.815,0.445920304,0,0.625,0.005555556,0.559748428,0.252873563,0.564413265,0.485530547,Jude Bellingham,Real Madrid,"MF,FW",4,24.55513963
0.157894737,0.39,0.32421875,0.665189873,0.046111111,0.074193548,0.138176638,0.395604396,0.304735115,0.377659574,0.467625899,0.486,0.4,0.277777778,0.948,0.008474576,0.247619048,0.404761905,0.84005332,0.517482517,0.395604396,0.303921569,1,0.998292933,0,0.082605776,0.058823529,0.004888889,0.06,0.863582444,0.090909091,0.2,0.925422974,0.252873563,0.277777778,0.579268293,0.380952381,0.29,0.742452116,0.314285714,0.405940594,0.22,0.489959839,0.043147208,0.296052632,0.022857143,0.819305474,0.55,0,0.8,0.15942029,0,0.343434343,0.274877651,0.789,0.92386148,0.025974026,0.75,0.011111111,0.062893082,0.206896552,0.923469388,0.903536977,Granit Xhaka,Leverkusen,MF,0,24.31497802
0,0.581,0.2109375,0.428481013,0.042444444,0.083870968,0.367521368,0.450549451,0.361931552,0.361702128,0.215827338,0.471,0.471,0.344444444,0.944,0.474576271,0.123809524,0.142857143,0.607794635,0.335664336,0.450549451,0.338235294,0.491826249,0.562990782,0,0.068502351,0,0.003333333,0.04,0.600962172,0.340909091,0.36,0.553205699,0.482758621,0.344444444,0.445121951,0.486772487,0.261,0.499945893,0.442857143,0.534653465,0.17,0.564257028,0.472081218,0.5,0.005714286,0.599175986,0.592,0.3,0.384615385,0.140096618,0.626506024,0.535353535,0.347471452,0.7,0.574240987,0.61038961,0.291666667,0.7,0.088050314,0.413793103,0.595344388,0.655948553,Hakan Çalhanoğlu,Inter,MF,2,24.19418569
0.421052632,0.394,0.453125,0.974683544,0.051888889,0.438709677,0.12962963,0.285714286,0.090951711,0.893617021,0.553956835,0.492,0.432,0.2,0.941,0.237288136,0.1,0.5,0.353534521,0.559440559,0.285714286,0.754901961,0.584306399,0.333219529,0,0.015446608,0.382352941,0.008888889,0.17,0.553248979,0.590909091,0.44,0.473508459,0.08045977,0.2,0.56097561,0.894179894,0.429,0.452007359,0.142857143,0.198019802,0.39,0.345381526,0.340101523,0.210526316,0.36,0.295467922,0.344,0.1,0.728205128,0.053140097,0.204819277,0.237373737,0.13132137,0.503,0.452798861,0.116883117,1,0.305555556,0.745283019,0.126436782,0.564094388,0.491961415,Phil Foden,Manchester City,"FW,MF",4,24.09893919
0.315789474,0.304,0.4296875,0.862658228,0.063777778,0.232258065,0.185185185,0.252747253,0.142522269,0.382978723,0.352517986,0.505,0.433,0.244444444,0.914,0.194915254,0.023809524,1,0.428127748,1,0.252747253,0.475490196,0.504437179,0.391942643,0.428571429,0.017461383,0.235294118,0.006777778,0.09,0.661328588,0.25,0.48,0.501780944,0.08045977,0.244444444,0.567073171,0.412698413,0.299,0.458716589,0.4,0.356435644,0.31,0.373493976,0.241116751,0.394736842,0.268571429,0.450853443,0.267,0.2,1,0.019323671,0.048192771,0.414141414,0.140293638,0.657,0.482447818,0.272727273,0.833333333,0.172222222,0.606918239,0.229885057,0.608737245,0.604501608,Martin Ødegaard,Arsenal,MF,1,23.9775757
0.052631579,0.548,0.51171875,0.563291139,0.039333333,0.151612903,0.056980057,0.56043956,0.251758087,0.25,0.136690647,0.533,0.433,0.666666667,0.948,0,0.276190476,0.357142857,0.517631376,0.356643357,0.56043956,0.416666667,0.666510976,0.613861386,0.571428571,0.071188717,0.117647059,0.004333333,0.04,0.790496903,0.068181818,0.6,0.598619768,0.528735632,0.666666667,0.743902439,0.253968254,0.271,0.676550157,0.271428571,0.336633663,0.13,0.441767068,0.109137056,0.447368421,0.097142857,0.464390818,0.559,0,0.728205128,0.15942029,0,0.626262626,0.198205546,0.691,0.58183112,0,0.541666667,0,0.270440252,0.390804598,0.675382653,0.691318328,Federico Valverde,Real Madrid,"MF,FW",3,23.88233436
0.473684211,0.279,0.7265625,1,0.073222222,0.351612903,0.170940171,0.285714286,0.086732302,0.505319149,0.294964029,0.475,0.465,0.166666667,0.889,0.076271186,0.019047619,0.619047619,0.360007146,0.783216783,0.285714286,0.5,0.58477347,0.39364971,0,0.005372733,0.470588235,0.009444444,0.16,0.705417161,0.409090909,0.36,0.499554764,0.114942529,0.166666667,0.87195122,0.523809524,0.48,0.606103236,0.228571429,0.316831683,0.33,0.343373494,0.19035533,0.217105263,0.337142857,0.304885227,0.333,0.3,0.933333333,0.053140097,0.036144578,0.237373737,0.112561175,0.609,0.466081594,0.142857143,0.916666667,0.2,0.688679245,0.091954023,0.588010204,0.591639871,Florian Wirtz,Leverkusen,"MF,FW",4,23.81679463
