Player Name,Club Name,Minutes%,Position,GoalsAllowedByTeamInHisPresence,GoalsScoredByTeamInHisPresence-GoalsScoredByTeamInHisAbsence,MinutesPlayed,MinutesPlayed/Match,Player,GamesStarted,MinutesStarted/Match,MatchesCompleted,SubstitueAppearances,Minutes/Substitution,GameAsUnusedSub,TeamPointsPerMatch,GoalsScoredByTeamInHisPresence,GoalsScored-GoalsAllowed,GoalsScored-GoalsAllowed/90,xGOfTeamScoring,xGOfTeamConceding,xGOfTeamScoring-xGOfTeamConceding,xGOfTeamScoring-xGOfTeamConceding/90,xGOfTeamScoringWithHim-xGOfTeamScoringWithoutHim/90,+/-,+/-90
Yuri Berchiche,Athletic Club,58.2,DF,19,+0.29,"2,445",74,27.2,27,85,20,6,27,0,2.00,45,+26,+0.96,30.4,18.5,+11.9,+0.55,+0.58,Matches,
Iñigo Ruiz de Galarreta,Athletic Club,57.3,MF,21,+0.58,"2,406",69,26.7,28,79,10,7,27,0,1.94,50,+29,+1.08,36.3,22.9,+13.4,+0.58,+0.71,Matches,
Beñat Prados,Athletic Club,47.6,"MF,DF",19,+0.12,"1,999",61,22.2,23,79,8,10,19,13,1.87,39,+20,+0.90,21.5,19.2,+2.3,+0.14,-0.28,Matches,
Álex Berenguer,Athletic Club,46.4,FW,20,-1.04,"1,949",48,21.7,19,79,9,22,20,2,1.88,26,+6,+0.28,19.2,17.1,+2.1,+0.12,-0.34,Matches,
Mikel Vesga,Athletic Club,43.3,MF,20,-0.34,"1,817",57,20.2,21,74,9,11,23,8,1.91,33,+13,+0.64,25.0,21.5,+3.6,+0.21,-0.16,Matches,
Ander Herrera,Athletic Club,29.6,MF,10,+0.25,"1,243",46,13.8,12,75,4,15,23,7,1.96,24,+14,+1.01,13.7,11.2,+2.5,+0.22,-0.11,Matches,
Unai Gómez,Athletic Club,28.4,MF,11,-0.01,"1,194",36,13.3,11,64,1,22,22,12,2.12,22,+11,+0.83,12.2,9.4,+2.8,+0.28,-0.02,Matches,
Yeray Álvarez,Athletic Club,27.6,DF,12,-0.40,"1,160",55,12.9,14,72,8,7,23,4,1.95,19,+7,+0.54,13.8,12.5,+1.2,+0.10,-0.31,Matches,
Julen Agirrezabala,Athletic Club,24.2,GK,8,+0.53,"1,018",85,11.3,10,96,10,2,29,34,2.33,22,+14,+1.24,2.6,2.8,-0.2,-0.08,-0.41,Matches,
Iker Muniain,Athletic Club,22.8,"MF,FW",15,+0.01,959,38,10.7,9,71,2,16,20,17,1.97,24,+9,+0.84,10.7,8.7,+2.0,+0.31,+0.01,Matches,
Asier Villalibre,Athletic Club,20.7,FW,8,+0.38,869,36,9.7,7,69,2,17,23,22,2.04,19,+11,+1.14,7.6,6.7,+1.0,+0.17,-0.15,Matches,
Dani García,Athletic Club,18.8,MF,12,-1.73,791,42,8.8,7,81,3,12,19,13,1.85,7,-5,-0.57,8.0,13.1,-5.1,-0.62,-1.18,Matches,
Raúl García,Athletic Club,14.6,"FW,MF",3,+0.56,615,25,6.8,3,78,0,22,17,20,1.96,12,+9,+1.32,7.0,6.7,+0.3,+0.06,-0.27,Matches,
Imanol,Athletic Club,14.6,DF,7,+0.05,615,62,6.8,6,85,4,4,27,31,1.70,13,+6,+0.88,7.5,7.6,-0.1,-0.02,-0.38,Matches,
Adu Ares,Athletic Club,11.6,FW,5,-0.11,488,29,5.4,5,65,0,12,14,26,1.71,9,+4,+0.74,1.9,3.2,-1.3,-0.44,-0.80,Matches,
Mikel Jauregizar,Athletic Club,4.7,MF,0,+1.50,199,20,2.2,1,45,0,9,17,9,2.80,5,+5,+2.26,1.0,4.1,-3.1,-1.86,-2.26,Matches,
Peru Nolaskoain,Athletic Club,4.7,"DF,MF",1,+1.05,196,39,2.2,2,90,2,3,5,14,2.60,5,+4,+1.84,0.0,0.1,-0.1,-0.98,-1.28,Matches,
Unai Eguíluz,Athletic Club,1.7,DF,0,+0.88,71,71,0.8,1,71,0,0,,9,3.00,2,+2,+2.54,,,,,,Matches,
Aingeru Olabarrieta,Athletic Club,0.3,FW,0,-0.63,9,9,0.1,0,,0,1,9,3,3.00,0,0,0.00,0.1,0.2,-0.1,-1.33,-1.64,Matches,
Hugo Rincón,Athletic Club,,DF,,,,,,0,,0,0,,13,,,,,,,,,,Matches,
Alex Padilla,Athletic Club,,GK,,,,,,0,,0,0,,2,,,,,,,,,,Matches,
Javi Martón,Athletic Club,,FW,,,,,,0,,0,0,,3,,,,,,,,,,Matches,
Łukasz Skorupski,Bologna,80.5,GK,29,-0.70,"3,090",91,34.3,34,91,34,0,,8,1.74,46,+17,+0.50,40.0,31.8,+8.2,+0.26,-0.19,Matches,
Joshua Zirkzee,Bologna,76.3,FW,26,+0.05,"2,929",79,32.5,33,85,16,4,28,1,1.92,47,+21,+0.65,37.6,29.8,+7.8,+0.25,-0.16,Matches,
Lewis Ferguson,Bologna,76.1,MF,24,-0.20,"2,922",89,32.5,33,89,27,0,,2,1.88,43,+19,+0.59,37.6,28.9,+8.8,+0.29,+0.02,Matches,
Sam Beukema,Bologna,74.9,DF,28,-0.53,"2,877",87,32.0,32,89,29,1,16,5,1.94,44,+16,+0.50,35.5,29.7,+5.7,+0.20,-0.33,Matches,
Remo Freuler,Bologna,72.2,MF,22,+0.53,"2,771",82,30.8,31,86,21,3,32,3,1.89,46,+24,+0.78,37.8,27.7,+10.1,+0.35,+0.26,Matches,
Stefan Posch,Bologna,70.1,DF,24,-0.33,"2,691",79,29.9,32,82,19,2,38,2,1.86,40,+16,+0.54,31.5,23.0,+8.5,+0.32,+0.10,Matches,
Michel Aebischer,Bologna,67.4,MF,21,-0.45,"2,589",65,28.8,30,81,15,10,17,1,1.88,35,+14,+0.49,27.6,23.8,+3.7,+0.15,-0.39,Matches,
Victor Bernth Kristiansen,Bologna,65.5,DF,20,-0.07,"2,517",74,28.0,28,85,18,6,23,3,1.89,37,+17,+0.61,32.9,26.4,+6.5,+0.25,-0.10,Matches,
Riccardo Calafiori,Bologna,64.6,DF,20,+0.98,"2,480",75,27.6,27,88,23,6,17,6,2.00,47,+27,+0.98,33.9,25.8,+8.1,+0.31,+0.08,Matches,
Jhon Lucumí,Bologna,62.5,DF,19,-0.49,"2,401",77,26.7,25,89,22,6,29,5,1.64,31,+12,+0.45,31.9,21.7,+10.3,+0.42,+0.37,Matches,
Alexis Saelemaekers,Bologna,54.5,"FW,MF",18,-0.16,"2,091",65,23.2,23,79,8,9,32,2,1.88,31,+13,+0.56,24.3,22.8,+1.5,+0.07,-0.48,Matches,
Riccardo Orsolini,Bologna,49.8,"FW,MF",17,+0.05,"1,912",56,21.2,20,77,7,14,27,2,1.65,31,+14,+0.66,27.0,15.3,+11.7,+0.59,+0.63,Matches,
Dan Ndoye,Bologna,49.4,"FW,MF",14,+0.62,"1,897",56,21.1,21,76,5,13,22,1,2.03,34,+20,+0.95,26.5,16.1,+10.4,+0.53,+0.50,Matches,
Giovanni Fabbian,Bologna,33.0,"MF,FW",13,-0.10,"1,267",44,14.1,13,78,4,16,16,12,2.07,21,+8,+0.57,16.7,12.5,+4.2,+0.36,+0.10,Matches,
Nikola Moro,Bologna,28.9,MF,12,-0.43,"1,108",41,12.3,13,66,2,14,18,15,1.74,16,+4,+0.32,11.9,9.9,+2.0,+0.21,-0.10,Matches,
Kacper Urbanski,Bologna,28.3,"MF,FW",11,-0.07,"1,087",43,12.1,10,77,3,15,21,17,2.04,18,+7,+0.58,14.6,11.4,+3.2,+0.31,+0.04,Matches,
Charalambos Lykogiannis,Bologna,27.4,DF,12,-0.05,"1,054",42,11.7,11,78,4,14,14,16,1.88,19,+7,+0.60,13.1,9.5,+3.6,+0.35,+0.09,Matches,
Federico Ravaglia,Bologna,19.4,GK,4,+0.71,745,93,8.3,8,93,7,0,,34,2.38,14,+10,+1.21,7.7,4.7,+3.0,+0.51,+0.26,Matches,
Lorenzo De Silvestri,Bologna,18.8,DF,8,-0.01,723,43,8.0,7,70,0,10,23,21,2.00,13,+5,+0.62,8.1,9.7,-1.6,-0.22,-0.63,Matches,
Oussama El Azzouzi,Bologna,16.4,MF,9,-0.41,629,31,7.0,5,75,2,15,17,11,1.90,11,+2,+0.29,7.1,7.9,-0.8,-0.13,-0.49,Matches,
Jens Odgaard,Bologna,12.6,"FW,MF",1,+1.25,431,43,4.8,5,67,0,5,19,3,2.00,9,+8,+1.67,6.1,4.0,+2.0,+0.43,+0.16,Matches,
Jesper Karlsson,Bologna,10.6,FW,2,-0.46,407,51,4.5,5,69,0,3,20,19,1.63,3,+1,+0.22,2.8,4.3,-1.5,-0.40,-0.76,Matches,
Sydney van Hooijdonk,Bologna,10.1,FW,2,-0.19,386,35,4.3,4,77,1,7,11,12,1.36,4,+2,+0.47,2.3,2.5,-0.2,-0.07,-0.37,Matches,
Tommaso Corazza,Bologna,9.3,DF,1,+0.41,359,30,4.0,3,72,0,9,16,27,1.83,5,+4,+1.00,4.6,3.1,+1.5,+0.69,+0.43,Matches,
Kevin Bonifazi,Bologna,7.0,DF,1,+0.75,270,90,3.0,3,90,3,0,,14,2.33,5,+4,+1.33,1.0,0.9,+0.1,+0.13,-0.16,Matches,
Santiago Castro,Bologna,7.1,FW,2,+0.18,242,30,2.7,2,76,1,6,15,4,1.50,4,+2,+0.74,5.2,2.5,+2.7,+1.00,+0.76,Matches,
Nicolás Domínguez,Bologna,5.0,MF,3,-1.16,192,64,2.1,2,81,1,1,31,0,1.33,2,-1,-0.47,1.0,0.9,+0.1,+0.07,-0.22,Matches,
Marko Arnautović,Bologna,18.1,FW,0,+0.14,76,76,0.8,1,76,0,0,,0,3.00,1,+1,+1.18,,,,,,Matches,
Niklas Pyyhtiä,Bologna,14.3,FW,0,+0.50,60,60,0.7,1,60,0,0,,0,3.00,1,+1,+1.50,,,,,,Matches,
Nicola Bagnolini,Bologna,0.1,GK,0,-0.58,5,5,0.1,0,,0,1,5,33,0.00,0,0,0.00,0.2,0.5,-0.3,-5.86,-6.16,Matches,
Mihajlo Ilić,Bologna,,DF,,,,,,0,,0,0,,18,,,,,,,,,,Matches,
Tito Gasperini,Bologna,,GK,,,,,,0,,0,0,,7,,,,,,,,,,Matches,
Jerdy Schouten,Bologna,,"FW,MF",,,,,,0,,0,0,,1,,,,,,,,,,Matches,
Riccardo Stivanello,Bologna,,DF,,,,,,0,,0,0,,1,,,,,,,,,,Matches,
Tommaso Ravaglioli,Bologna,,FW,,,,,,0,,0,0,,1,,,,,,,,,,Matches,
Joaquin Sosa,Bologna,,DF,,,,,,0,,0,0,,3,,,,,,,,,,Matches,
Adama Soumaoro,Bologna,,DF,,,,,,0,,0,0,,2,,,,,,,,,,Matches,
Kenny Lala,Brest,97.3,DF,34,+1.56,"3,240",90,36.0,36,90,36,0,,0,1.86,54,+20,+0.56,46.5,37.1,+9.5,+0.29,+0.70,Matches,
Bradley Locko,Brest,94.3,DF,37,-1.45,"3,139",90,34.9,35,90,33,0,,1,1.75,52,+15,+0.43,46.6,38.2,+8.4,+0.26,-0.36,Matches,
Brendan Chardonnet,Brest,93.8,DF,35,+1.02,"3,125",87,34.7,34,90,34,2,33,1,1.84,55,+20,+0.58,47.2,37.7,+9.5,+0.29,+0.69,Matches,
Marco Bizot,Brest,86.4,GK,34,-1.49,"2,876",90,32.0,32,90,31,0,,3,1.72,49,+15,+0.47,44.2,38.5,+5.8,+0.18,-1.45,Matches,
Lilian Brassier,Brest,85.1,DF,32,+0.82,"2,835",89,31.5,32,89,29,0,,0,1.88,52,+20,+0.63,43.5,33.7,+9.8,+0.33,+0.50,Matches,
Romain Del Castillo,Brest,79.0,FW,33,+0.32,"2,631",73,29.2,31,81,3,5,24,0,1.84,50,+17,+0.58,41.1,32.2,+8.9,+0.32,+0.30,Matches,
Pierre Lees-Melou,Brest,78.9,MF,30,+0.65,"2,629",85,29.2,30,87,26,1,22,0,1.91,49,+19,+0.65,42.8,31.8,+11.0,+0.39,+0.72,Matches,
Hugo Magnetti,Brest,75.2,MF,31,-1.20,"2,504",70,27.8,32,76,9,4,21,0,1.78,37,+6,+0.22,33.7,31.2,+2.5,+0.10,-0.72,Matches,
Mahdi Camara,Brest,65.1,MF,27,-0.76,"2,169",62,24.1,28,72,1,7,24,0,1.83,33,+6,+0.25,31.0,26.8,+4.2,+0.19,-0.24,Matches,
Martin Satriano,Brest,63.0,FW,22,+0.70,"2,098",58,23.3,24,77,5,12,20,0,1.84,40,+18,+0.77,29.8,22.3,+7.4,+0.36,+0.23,Matches,
Steve Mounié,Brest,56.3,FW,26,-0.08,"1,876",54,20.8,21,76,5,14,20,0,1.74,36,+10,+0.48,28.3,22.5,+5.8,+0.29,+0.06,Matches,
Jérémy Le Douaron,Brest,53.3,FW,20,-0.56,"1,775",51,19.7,21,73,2,14,18,0,1.89,25,+5,+0.25,23.5,23.1,+0.4,+0.02,-0.52,Matches,
Jonas Martin,Brest,43.1,MF,13,+0.42,"1,434",42,15.9,12,79,4,22,22,0,1.88,25,+12,+0.75,18.6,15.6,+3.0,+0.22,-0.07,Matches,
Mathias Pereira Lage,Brest,39.5,"FW,MF",11,+0.06,"1,315",40,14.6,13,73,0,20,18,1,1.79,19,+8,+0.55,18.9,14.4,+4.5,+0.34,+0.12,Matches,
Kamory Doumbia,Brest,28.7,MF,9,+1.13,955,37,10.6,8,70,1,18,22,0,1.73,23,+14,+1.32,15.4,8.2,+7.2,+0.74,+0.66,Matches,
Julien Le Cardinal,Brest,21.0,DF,11,-0.65,698,47,7.8,8,83,6,7,5,13,1.86,11,0,0.00,6.9,6.3,+0.6,+0.11,-0.19,Matches,
Grégoire Coudert,Brest,13.5,GK,4,+0.33,451,75,5.0,5,90,5,1,1,31,2.17,8,+4,+0.80,4.0,0.7,+3.3,+1.65,+1.47,Matches,
Bilal Brahimi,Brest,9.1,"FW,MF",1,-0.24,303,15,3.4,2,64,0,18,10,8,1.55,2,+1,+0.30,2.8,1.4,+1.4,+0.55,+0.31,Matches,
Achraf Dari,Brest,3.6,"DF,FW",2,-2.13,121,30,1.3,1,90,1,3,10,12,1.00,0,-2,-1.49,0.9,2.6,-1.7,-1.23,-1.56,Matches,
Luc Zogbé,Brest,3.0,DF,2,-0.53,101,51,1.1,1,90,1,1,11,15,1.50,2,0,0.00,0.1,1.6,-1.5,-12.31,-12.62,Matches,
Axel Camblan,Brest,2.9,FW,1,-1.48,97,12,1.1,0,,0,8,12,16,1.75,0,-1,-0.93,1.1,0.5,+0.6,+0.63,+0.37,Matches,
Jordan Amavi,Brest,3.0,DF,0,+2.48,91,46,1.0,1,90,1,1,1,12,2.00,3,+3,+2.97,1.7,0.9,+0.8,+0.80,+0.55,Matches,
Adrien Lebeau,Brest,2.3,"MF,FW",1,-0.53,77,9,0.9,0,,0,9,9,20,2.22,1,0,0.00,0.8,0.5,+0.2,+0.40,+0.13,Matches,
Karamoko Dembélé,Brest,0.5,"MF,FW",0,-0.56,16,16,0.2,0,,0,1,16,2,0.00,0,0,0.00,0.3,1.3,-1.0,-5.07,-5.37,Matches,
Hianga Mananga Mbock,Brest,0.3,"MF,FW",0,-0.56,9,5,0.1,0,,0,2,5,1,1.50,0,0,0.00,0.3,0.8,-0.5,-5.23,-5.51,Matches,
Antonin Cartillier,Brest,,DF,,,,,,0,,0,0,,11,,,,,,,,,,Matches,
Christophe Hérelle,Brest,,DF,,,,,,0,,0,0,,3,,,,,,,,,,Matches,
Djibrili Konté,Brest,,FW,,,,,,0,,0,0,,1,,,,,,,,,,Matches,
Yan Marillat,Brest,,GK,,,,,,0,,0,0,,2,,,,,,,,,,Matches,
Tommy Le Verge,Brest,,DF,,,,,,0,,0,0,,1,,,,,,,,,,Matches,
Ezri Konsa,Aston Villa,86.8,DF,71,-0.74,"4,244",88,47.2,48,88,41,0,,1,1.72,82,+11,+0.23,66.8,62.9,+3.9,+0.09,-0.27,Matches,
Ollie Watkins,Aston Villa,86.2,FW,70,+0.38,"4,216",83,46.8,47,87,34,4,35,1,1.77,88,+18,+0.38,70.4,62.7,+7.7,+0.18,+0.39,Matches,
Douglas Luiz,Aston Villa,85.6,MF,74,-0.51,"4,185",82,46.5,47,87,35,4,28,0,1.68,86,+12,+0.26,68.6,61.5,+7.1,+0.16,+0.27,Matches,
John McGinn,Aston Villa,85.2,"MF,FW",72,+0.10,"4,164",82,46.3,49,84,31,2,31,0,1.77,88,+16,+0.35,68.0,58.8,+9.2,+0.21,+0.62,Matches,
Emiliano Martínez,Aston Villa,84.4,GK,61,+1.97,"4,125",90,45.8,46,90,45,0,,3,1.87,90,+29,+0.63,69.3,58.3,+11.0,+0.26,+0.86,Matches,
Matty Cash,Aston Villa,66.6,DF,51,+0.41,"3,257",74,36.2,34,86,24,10,33,2,1.76,68,+17,+0.47,52.1,42.2,+10.0,+0.31,+0.51,Matches,
Lucas Digne,Aston Villa,70.5,DF,56,-0.04,"3,256",72,36.2,36,85,23,9,23,1,1.70,69,+13,+0.36,53.9,52.4,+1.4,+0.04,-0.28,Matches,
Pau Torres,Aston Villa,62.5,DF,44,+0.82,"3,058",83,34.0,34,87,30,3,30,11,1.98,66,+22,+0.65,52.0,44.9,+7.2,+0.22,+0.27,Matches,
Moussa Diaby,Aston Villa,62.1,"FW,MF",52,-0.72,"3,039",57,33.8,35,76,6,18,22,0,1.71,54,+2,+0.06,43.5,41.9,+1.6,+0.05,-0.20,Matches,
Leon Bailey,Aston Villa,61.8,"MF,FW",47,+0.85,"3,024",60,33.6,33,77,5,17,29,1,1.74,69,+22,+0.65,54.4,44.0,+10.4,+0.33,+0.55,Matches,
Youri Tielemans,Aston Villa,53.1,"MF,FW",40,+0.48,"2,599",59,28.9,28,80,11,16,23,0,1.88,56,+16,+0.55,43.3,37.6,+5.7,+0.22,+0.20,Matches,
Diego Carlos,Aston Villa,49.6,DF,44,-0.57,"2,424",67,26.9,27,85,21,9,15,11,1.67,46,+2,+0.07,38.4,39.2,-0.8,-0.03,-0.32,Matches,
Boubacar Kamara,Aston Villa,46.8,MF,32,+0.56,"2,288",82,25.4,27,83,14,1,45,1,1.96,48,+16,+0.63,35.9,27.4,+8.4,+0.38,+0.46,Matches,
Clément Lenglet,Aston Villa,43.1,DF,40,-0.70,"2,070",83,23.0,24,86,21,1,17,22,1.52,39,-1,-0.04,29.7,29.5,+0.2,+0.01,-0.19,Matches,
Álex Moreno,Aston Villa,32.5,DF,25,+0.07,"1,560",54,17.3,17,81,9,12,16,6,1.73,32,+7,+0.40,23.2,19.2,+4.0,+0.28,+0.22,Matches,
Nicolò Zaniolo,Aston Villa,26.7,"FW,MF",20,+0.02,"1,305",33,14.5,13,63,2,26,19,5,1.56,25,+5,+0.34,17.5,19.3,-1.8,-0.13,-0.35,Matches,
Jacob Ramsey,Aston Villa,22.2,"FW,MF",12,+0.85,"1,064",51,11.8,10,79,6,11,25,0,2.00,24,+12,+1.02,20.2,13.3,+7.0,+0.66,+0.68,Matches,
Jhon Durán,Aston Villa,21.2,"FW,MF",20,+0.02,"1,037",30,11.5,9,67,3,26,17,6,1.75,24,+4,+0.35,15.5,16.0,-0.4,-0.04,-0.21,Matches,
Morgan Rogers,Aston Villa,21.5,"MF,FW",18,-0.51,976,61,10.8,12,69,4,4,39,3,1.75,18,0,0.00,11.0,18.6,-7.6,-0.73,-1.08,Matches,
Robin Olsen,Aston Villa,13.8,GK,20,-2.15,675,84,7.5,7,90,7,1,45,37,1.06,9,-11,-1.47,7.4,12.0,-4.6,-0.71,-0.96,Matches,
Leander Dendoncker,Aston Villa,7.6,MF,5,-0.62,374,27,4.2,5,67,1,9,4,12,2.24,4,-1,-0.24,4.1,3.3,+0.8,+0.26,+0.15,Matches,
Tim Iroegbunam,Aston Villa,6.2,MF,9,-1.66,299,20,3.3,2,68,0,13,13,19,1.33,5,-4,-1.20,2.7,6.7,-4.0,-1.22,-1.44,Matches,
Calum Chambers,Aston Villa,5.0,"MF,DF",10,-2.40,240,34,2.7,2,67,0,5,21,32,0.95,5,-5,-1.87,3.9,7.6,-3.8,-1.43,-1.64,Matches,
Filip Marshall,Aston Villa,1.8,GK,1,-0.44,90,90,1.0,1,90,1,0,,17,1.00,1,0,0.00,1.1,1.2,-0.1,-0.07,-0.33,Matches,
Omari Kellyman,Aston Villa,1.3,FW,1,-0.38,63,13,0.7,0,,0,5,13,16,0.80,1,0,0.00,0.2,0.9,-0.8,-1.44,-1.58,Matches,
Tyrone Mings,Aston Villa,0.9,DF,2,-3.42,30,30,0.3,1,30,0,0,,0,0.00,1,-1,-3.00,0.3,1.1,-0.8,-2.43,-2.54,Matches,
Bertrand Traoré,Aston Villa,0.6,"DF,FW",0,+3.08,26,5,0.3,0,,0,5,5,7,3.00,1,+1,+3.46,0.3,0.8,-0.5,-1.76,-1.89,Matches,
Philippe Coutinho,Aston Villa,0.7,"MF,FW",1,-0.40,25,13,0.3,0,,0,2,13,0,1.50,1,0,0.00,0.9,0.6,+0.3,+1.16,+1.08,Matches,
Tommi O'Reilly,Aston Villa,0.3,MF,1,-7.99,12,12,0.1,0,,0,1,12,2,1.00,0,-1,-7.50,0.0,1.0,-1.0,-7.37,-7.68,Matches,
Kaine Kesler-Hayden,Aston Villa,0.2,"MF,DF",0,-0.40,11,3,0.1,0,,0,4,3,19,1.50,0,0,0.00,0.0,0.1,-0.1,-0.79,-0.92,Matches,
Finley Munroe,Aston Villa,0.2,MF,0,-0.40,9,5,0.1,0,,0,2,5,5,0.00,0,0,0.00,0.0,0.0,0.0,+0.13,+0.01,Matches,
Cameron Archer,Aston Villa,0.2,MF,0,-0.40,6,6,0.1,0,,0,1,6,1,3.00,0,0,0.00,0.0,0.0,0.0,0.00,-0.09,Matches,
Jaden Philogene Bidace,Aston Villa,0.1,FW,1,-22.92,4,4,0.0,0,,0,1,4,0,0.00,0,-1,-22.50,0.3,0.6,-0.3,-5.72,-5.81,Matches,
Lander Emery,Aston Villa,,GK,,,,,,0,,0,0,,1,,,,,,,,,,Matches,
Sam Proctor,Aston Villa,,GK,,,,,,0,,0,0,,4,,,,,,,,,,Matches,
Kadan Young,Aston Villa,,MF,,,,,,0,,0,0,,3,,,,,,,,,,Matches,
James Wright,Aston Villa,,GK,,,,,,0,,0,0,,6,,,,,,,,,,Matches,
Oliwier Zych,Aston Villa,,GK,,,,,,0,,0,0,,1,,,,,,,,,,Matches,
Joe Gauci,Aston Villa,,GK,,,,,,0,,0,0,,11,,,,,,,,,,Matches,
Travis Patterson,Aston Villa,,MF,,,,,,0,,0,0,,1,,,,,,,,,,Matches,
Lucas Chevalier,Lille,89.4,GK,39,+0.08,"3,809",91,42.3,42,91,41,0,,3,1.82,76,+37,+0.87,61.6,42.2,+19.4,+0.49,-0.44,Matches,
Benjamin André,Lille,84.6,MF,31,-0.44,"3,606",84,40.1,40,87,31,3,42,0,1.86,63,+32,+0.80,56.4,32.1,+24.4,+0.66,+0.79,Matches,
Leny Yoro,Lille,82.7,DF,36,+0.02,"3,521",84,39.1,39,89,37,3,15,4,1.75,70,+34,+0.87,51.8,37.3,+14.6,+0.41,-0.63,Matches,
Jonathan David,Lille,79.6,FW,38,+0.05,"3,390",75,37.7,38,86,18,7,19,1,1.79,71,+33,+0.88,57.5,34.8,+22.7,+0.65,+0.57,Matches,
Tiago Santos,Lille,78.0,DF,35,0.00,"3,323",81,36.9,37,88,33,4,15,4,1.87,67,+32,+0.87,58.6,37.5,+21.1,+0.61,+0.37,Matches,
Angel Gomes,Lille,75.9,MF,32,+0.22,"3,235",75,35.9,35,86,17,8,30,1,1.76,65,+33,+0.92,52.8,34.6,+18.2,+0.54,+0.06,Matches,
Ismaily,Lille,72.4,DF,36,-0.28,"3,085",81,34.3,35,87,28,3,16,5,1.72,63,+27,+0.79,45.6,31.2,+14.4,+0.46,-0.21,Matches,
Edon Zhegrova,Lille,69.7,FW,25,+1.14,"2,968",66,33.0,34,78,8,11,28,1,1.82,65,+40,+1.21,46.7,29.2,+17.5,+0.58,+0.16,Matches,
Alexsandro Ribeiro,Lille,67.5,DF,23,+1.09,"2,875",72,31.9,30,89,28,10,20,5,1.92,62,+39,+1.22,48.8,32.3,+16.6,+0.55,+0.08,Matches,
Nabil Bentaleb,Lille,59.6,MF,31,-0.83,"2,540",75,28.2,30,83,22,4,10,0,1.73,46,+15,+0.53,39.9,32.6,+7.3,+0.27,-0.66,Matches,
Gabriel Gudmundsson,Lille,49.8,"DF,FW",19,-0.37,"2,122",57,23.6,23,83,14,14,15,10,1.83,35,+16,+0.68,33.7,23.3,+10.5,+0.47,-0.13,Matches,
Bafodé Diakité,Lille,53.1,DF,27,-0.76,"2,117",81,23.5,24,88,19,2,6,7,1.81,34,+7,+0.30,31.7,25.6,+6.1,+0.26,-0.56,Matches,
Yusuf Yazıcı,Lille,49.1,"MF,FW",17,+0.67,"2,091",52,23.2,24,74,4,16,20,3,1.77,45,+28,+1.21,30.2,23.2,+7.0,+0.32,-0.41,Matches,
Rémy Cabella,Lille,47.3,"FW,MF",19,+0.48,"2,015",52,22.4,19,85,10,20,20,3,1.89,39,+20,+0.89,39.2,25.5,+13.7,+0.62,+0.19,Matches,
Hákon Arnar Haraldsson,Lille,46.2,"FW,MF",24,-0.67,"1,968",55,21.9,24,74,2,12,17,9,1.88,35,+11,+0.50,28.1,19.8,+8.3,+0.41,-0.22,Matches,
Ivan Cavaleiro,Lille,22.1,FW,4,+0.60,882,42,9.8,10,74,0,11,13,9,2.01,15,+11,+1.12,14.4,8.6,+5.8,+0.61,+0.10,Matches,
Samuel Umtiti,Lille,16.6,DF,7,-0.27,706,59,7.8,8,82,6,4,13,11,2.14,12,+5,+0.64,15.0,5.3,+9.6,+1.40,+1.04,Matches,
Ayyoub Bouaddi,Lille,16.5,MF,2,+0.96,702,39,7.8,7,83,6,11,11,18,2.11,15,+13,+1.67,13.0,5.5,+7.5,+1.16,+0.74,Matches,
Adam Ounas,Lille,15.5,FW,10,-0.70,661,31,7.3,6,73,2,15,15,2,1.78,12,+2,+0.27,14.0,9.2,+4.8,+0.75,+0.26,Matches,
Vito Mannone,Lille,10.6,GK,3,-0.08,451,75,5.0,5,90,5,1,1,35,2.00,7,+4,+0.80,7.2,3.1,+4.0,+1.00,+0.52,Matches,
Akim Zedadka,Lille,4.2,DF,0,+0.34,179,60,2.0,2,78,1,1,23,13,2.67,4,+4,+2.01,0.7,0.1,+0.7,+0.65,-0.49,Matches,
Alan Virginius,Lille,3.9,FW,1,+0.52,156,31,1.7,2,72,0,3,4,8,2.20,3,+2,+1.15,3.5,1.3,+2.2,+1.28,+0.78,Matches,
Ignacio Miramon,Lille,2.1,MF,2,+0.16,88,22,1.0,1,38,0,3,17,23,1.75,3,+1,+1.02,0.4,1.0,-0.6,-0.87,-1.42,Matches,
Amine Messoussa,Lille,1.7,FW,0,-0.54,74,37,0.8,1,64,0,1,10,4,2.00,1,+1,+1.22,0.6,0.0,+0.6,+0.79,-0.32,Matches,
Tiago Fonseca Morais,Lille,1.5,FW,0,-0.83,66,17,0.7,0,,0,4,17,9,2.25,0,0,0.00,0.6,0.1,+0.4,+0.87,+0.52,Matches,
Carlos Baleba,Lille,2.0,MF,1,-0.54,61,31,0.7,1,60,0,1,1,1,2.00,1,0,0.00,1.2,1.6,-0.4,-0.55,-0.93,Matches,
Aaron Malouda,Lille,0.8,FW,0,+1.65,36,12,0.4,0,,0,3,12,10,2.33,1,+1,+2.50,0.1,0.0,+0.1,+0.31,-0.22,Matches,
Trévis Dago,Lille,0.8,"FW,MF",0,+7.35,23,6,0.3,0,,0,4,6,4,1.75,2,+2,+7.83,1.5,0.0,+1.4,+5.66,+5.34,Matches,
Andrej Ilic,Lille,0.5,FW,0,-0.81,16,5,0.2,0,,0,3,5,1,2.00,0,0,0.00,0.1,0.2,0.0,-0.49,-0.85,Matches,
