Player Name,Club Name,Country,Position,Age,90s,Goals,Shots,ShotsOnTarget,ShotsOnTarget%,Shots/90min,ShotsOnTarget/90min,Goals/Shot,Goals/ShotOnTarget,AverageShotDistance,ShotsfromFreeKicks,PKMade,TotalPK,ExpectedGoal,NonPenaltyExpectedGoals,NonPenaltyExpectedGoals/shot,Goals-XG,NonPenaltyGoals-NonPenaltyXG,npxG
Valentin Rosier,Nice,FRA,"DF,MF",26,0.6,0,1,0,0.0,1.70,0.00,0.00,,23.3,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Robson Bambu,Nice,BRA,DF,25,0.5,0,0,0,,0.00,0.00,,,,,0,0,,,,,,Matches
Daouda Traoré,Nice,FRA,MF,17,0.3,0,2,0,0.0,6.00,0.00,0.00,,18.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Bilal Brahimi,Nice,ALG,FW,23,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Amidou Doumbouya,Nice,FRA,MF,15,0.0,0,0,0,,0.00,0.00,,,,,0,0,,,,,,Matches
Adam Marušić,Lazio,MNE,DF,30,44.2,1,11,4,36.4,0.25,0.09,0.09,0.25,20.9,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
Felipe Anderson,Lazio,BRA,FW,30,41.2,5,61,13,21.3,1.48,0.32,0.08,0.38,17.1,1,0,0,5.0,5.0,0.10,0.0,0.0,Matches
Ivan Provedel,Lazio,ITA,GK,29,40.0,1,1,1,100.0,0.03,0.03,1.00,1.00,5.5,0,0,0,0.5,0.5,0.47,+0.5,+0.5,Matches
Alessio Romagnoli,Lazio,ITA,DF,28,36.8,0,16,6,37.5,0.43,0.16,0.00,0.00,10.6,0,0,0,1.3,1.3,0.08,-1.3,-1.3,Matches
Mattéo Guendouzi,Lazio,FRA,MF,24,36.3,3,34,8,23.5,0.94,0.22,0.09,0.38,18.8,0,0,0,2.2,2.2,0.07,-0.2,-0.2,Matches
Luis Alberto,Lazio,ESP,MF,30,35.0,5,73,19,26.0,2.08,0.54,0.07,0.26,22.7,5,0,0,5.6,5.6,0.08,-0.6,-0.6,Matches
Mattia Zaccagni,Lazio,ITA,FW,28,27.7,7,51,17,33.3,1.84,0.61,0.12,0.35,18.3,5,1,1,5.0,5.0,0.10,+1.0,+1.0,Matches
Mario Gila,Lazio,ESP,DF,22,27.4,0,11,4,36.4,0.40,0.15,0.00,0.00,14.9,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
Ciro Immobile,Lazio,ITA,FW,33,26.1,11,58,24,41.4,2.22,0.92,0.10,0.25,13.2,0,5,5,12.8,8.9,0.16,-1.8,-2.9,Matches
Manuel Lazzari,Lazio,ITA,DF,29,24.9,0,9,2,22.2,0.36,0.08,0.00,0.00,22.1,0,0,0,1.0,1.0,0.13,-1.0,-1.0,Matches
Patric,Lazio,ESP,DF,30,24.7,2,8,2,25.0,0.32,0.08,0.25,1.00,19.7,0,0,0,1.4,1.4,0.20,+0.6,+0.6,Matches
Valentín Castellanos,Lazio,ARG,FW,24,23.8,6,69,23,33.3,2.90,0.97,0.09,0.26,13.4,1,0,0,8.7,8.7,0.14,-4.7,-4.7,Matches
Matías Vecino,Lazio,URU,MF,31,21.4,7,44,14,31.8,2.06,0.66,0.16,0.50,16.8,0,0,0,4.3,4.3,0.11,+2.7,+2.7,Matches
Daichi Kamada,Lazio,JPN,MF,26,21.1,2,34,10,29.4,1.61,0.47,0.06,0.20,21.2,0,0,0,1.9,1.9,0.06,+0.1,+0.1,Matches
Nicolò Casale,Lazio,ITA,DF,25,20.8,0,7,1,14.3,0.34,0.05,0.00,0.00,16.4,0,0,0,0.9,0.9,0.12,-0.9,-0.9,Matches
Elseid Hysaj,Lazio,ALB,DF,29,19.3,0,3,1,33.3,0.16,0.05,0.00,0.00,18.1,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
Danilo Cataldi,Lazio,ITA,MF,28,19.1,1,14,4,28.6,0.73,0.21,0.07,0.25,28.4,0,0,0,0.4,0.4,0.03,+0.6,+0.6,Matches
Nicolò Rovella,Lazio,ITA,MF,21,18.0,0,7,1,14.3,0.39,0.06,0.00,0.00,28.6,1,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
Gustav Isaksen,Lazio,DEN,FW,22,16.2,3,34,12,35.3,2.09,0.74,0.09,0.25,19.1,3,0,0,2.3,2.3,0.08,+0.7,+0.7,Matches
Pedro,Lazio,ESP,FW,36,13.2,3,17,8,47.1,1.28,0.60,0.12,0.25,19.9,1,1,1,2.5,1.7,0.12,+0.5,+0.3,Matches
Luca Pellegrini,Lazio,ITA,DF,24,12.1,1,9,1,11.1,0.75,0.08,0.11,1.00,25.6,1,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches
Christos Mandas,Lazio,GRE,GK,21,11.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Toma Bašić,Lazio,CRO,MF,26,0.1,0,1,1,100.0,9.00,9.00,0.00,0.00,,,0,0,,,,,,Matches
Bruno Guimarães,Newcastle Utd,BRA,MF,25,48.7,7,58,20,34.5,1.19,0.41,0.12,0.35,17.6,0,0,0,5.1,5.1,0.10,+1.9,+1.9,Matches
Fabian Schär,Newcastle Utd,SUI,DF,31,44.3,5,42,13,31.0,0.95,0.29,0.12,0.38,20.2,4,0,0,2.8,2.8,0.07,+2.2,+2.2,Matches
Anthony Gordon,Newcastle Utd,ENG,FW,22,42.7,12,93,35,37.6,2.18,0.82,0.12,0.31,17.2,1,1,1,10.8,10.0,0.12,+0.2,0.0,Matches
Sean Longstaff,Newcastle Utd,ENG,MF,25,40.8,8,52,21,40.4,1.27,0.51,0.15,0.38,14.7,0,0,0,6.7,6.7,0.16,+0.3,+0.3,Matches
Dan Burn,Newcastle Utd,ENG,DF,31,38.4,4,28,7,25.0,0.73,0.18,0.14,0.57,8.8,0,0,0,3.3,3.3,0.14,-0.3,-0.3,Matches
Kieran Trippier,Newcastle Utd,ENG,DF,32,34.5,1,12,3,25.0,0.35,0.09,0.08,0.33,25.7,7,0,0,0.8,0.8,0.07,+0.2,+0.2,Matches
Alexander Isak,Newcastle Utd,SWE,FW,23,32.9,25,84,44,52.4,2.55,1.34,0.23,0.43,14.5,1,6,7,21.7,17.0,0.22,+0.3,0.0,Matches
Miguel Almirón,Newcastle Utd,PAR,FW,29,30.7,5,57,17,29.8,1.86,0.55,0.09,0.29,16.6,0,0,0,5.9,5.9,0.11,-1.9,-1.9,Matches
Martin Dúbravka,Newcastle Utd,SVK,GK,34,29.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jamaal Lascelles,Newcastle Utd,ENG,DF,29,21.7,1,9,2,22.2,0.42,0.09,0.11,0.50,9.7,0,0,0,0.8,0.8,0.11,+0.2,+0.2,Matches
Valentino Livramento,Newcastle Utd,ENG,"DF,FW",20,21.5,1,5,3,60.0,0.23,0.14,0.20,0.33,13.3,0,0,0,0.4,0.4,0.08,+0.6,+0.6,Matches
Nick Pope,Newcastle Utd,ENG,GK,31,20.9,0,1,0,0.0,0.05,0.00,0.00,,14.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Joelinton,Newcastle Utd,BRA,"MF,FW",26,20.4,3,28,11,39.3,1.37,0.54,0.11,0.27,15.8,0,0,0,3.6,3.6,0.14,-0.6,-0.6,Matches
Sven Botman,Newcastle Utd,NED,DF,23,19.7,2,12,3,25.0,0.61,0.15,0.17,0.67,10.5,0,0,0,0.6,0.6,0.06,+1.4,+1.4,Matches
Lewis Miley,Newcastle Utd,ENG,MF,17,19.5,1,14,3,21.4,0.72,0.15,0.07,0.33,15.4,0,0,0,1.2,1.2,0.10,-0.2,-0.2,Matches
Jacob Murphy,Newcastle Utd,ENG,FW,28,17.7,3,36,12,33.3,2.04,0.68,0.08,0.25,20.1,0,0,0,2.2,2.2,0.07,+0.8,+0.8,Matches
Callum Wilson,Newcastle Utd,ENG,FW,31,15.3,10,41,22,53.7,2.68,1.44,0.20,0.36,12.3,0,2,2,9.6,8.0,0.21,-0.6,-1.0,Matches
Elliot Anderson,Newcastle Utd,SCO,MF,20,12.3,0,19,4,21.1,1.54,0.33,0.00,0.00,14.5,0,0,0,1.5,1.5,0.08,-1.5,-1.5,Matches
Emil Krafth,Newcastle Utd,SWE,DF,28,11.8,0,5,1,20.0,0.42,0.08,0.00,0.00,17.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Lewis Hall,Newcastle Utd,ENG,DF,18,10.8,2,12,5,41.7,1.11,0.46,0.17,0.40,20.8,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches
Harvey Barnes,Newcastle Utd,ENG,FW,25,9.6,5,31,13,41.9,3.24,1.36,0.16,0.38,16.0,0,0,0,3.6,3.6,0.13,+1.4,+1.4,Matches
Joe Willock,Newcastle Utd,ENG,MF,23,7.8,2,11,6,54.5,1.40,0.77,0.18,0.33,12.1,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches
Sandro Tonali,Newcastle Utd,ITA,MF,23,7.6,1,6,2,33.3,0.78,0.26,0.17,0.50,17.8,0,0,0,0.8,0.8,0.15,+0.2,+0.2,Matches
Matt Ritchie,Newcastle Utd,SCO,"FW,MF",33,3.0,1,7,4,57.1,2.31,1.32,0.14,0.25,12.0,0,0,0,1.0,1.0,0.16,0.0,0.0,Matches
Paul Dummett,Newcastle Utd,WAL,DF,31,2.2,0,1,0,0.0,0.45,0.00,0.00,,16.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Matt Targett,Newcastle Utd,ENG,DF,27,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Loris Karius,Newcastle Utd,GER,GK,30,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ben Parkinson,Newcastle Utd,ENG,FW,18,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Joe White,Newcastle Utd,ENG,MF,20,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Alex Murphy,Newcastle Utd,IRL,"DF,FW",19,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Michael Ndiweni,Newcastle Utd,ENG,MF,19,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Amadou Diallo,Newcastle Utd,ENG,MF,20,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Pietro Terracciano,Fiorentina,ITA,GK,33,45.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Nikola Milenković,Fiorentina,SRB,DF,25,42.3,0,24,4,16.7,0.57,0.09,0.00,0.00,15.6,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
Cristiano Biraghi,Fiorentina,ITA,DF,30,39.7,3,28,7,25.0,0.70,0.18,0.11,0.43,26.0,13,0,1,2.6,1.8,0.07,+0.4,+1.2,Matches
Luca Ranieri,Fiorentina,ITA,DF,24,36.6,5,22,7,31.8,0.60,0.19,0.23,0.71,11.4,0,0,0,1.8,1.8,0.09,+3.2,+3.2,Matches
Lucas Martínez Quarta,Fiorentina,ARG,DF,27,36.2,8,47,14,29.8,1.30,0.39,0.17,0.57,13.6,0,0,0,4.4,4.4,0.10,+2.6,+2.6,Matches
Giacomo Bonaventura,Fiorentina,ITA,MF,33,33.7,8,77,19,24.7,2.28,0.56,0.10,0.42,20.6,1,0,1,6.4,5.2,0.08,+1.6,+2.8,Matches
Nicolás González,Fiorentina,ARG,FW,25,33.1,14,128,46,35.9,3.86,1.39,0.09,0.26,16.3,2,2,4,14.5,11.4,0.09,-0.5,+0.6,Matches
Michael Kayode,Fiorentina,ITA,DF,19,32.2,1,10,3,30.0,0.31,0.09,0.10,0.33,20.3,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches
Lucas Beltrán,Fiorentina,ARG,"FW,MF",22,31.2,10,50,15,30.0,1.60,0.48,0.16,0.53,16.3,0,2,2,5.4,3.8,0.09,+4.6,+4.2,Matches
Arthur Melo,Fiorentina,BRA,MF,26,30.3,2,18,5,27.8,0.59,0.17,0.06,0.20,27.2,1,1,1,1.3,0.5,0.03,+0.7,+0.5,Matches
Rolando Mandragora,Fiorentina,ITA,MF,26,30.1,5,57,17,29.8,1.89,0.56,0.09,0.29,20.2,1,0,0,5.3,5.3,0.10,-1.3,-1.3,Matches
Alfred Duncan,Fiorentina,GHA,MF,30,26.9,2,34,7,20.6,1.26,0.26,0.06,0.29,24.0,0,0,0,1.8,1.8,0.06,+0.2,+0.2,Matches
Jonathan Ikone,Fiorentina,FRA,FW,25,25.4,5,63,20,31.7,2.48,0.79,0.08,0.25,16.4,0,0,1,6.2,6.2,0.11,-1.2,-1.2,Matches
M'Bala Nzola,Fiorentina,ANG,FW,26,23.3,7,43,16,37.2,1.84,0.69,0.12,0.31,12.3,0,2,2,7.2,5.6,0.14,-1.2,-1.6,Matches
Fabiano Parisi,Fiorentina,ITA,DF,22,21.8,0,13,2,15.4,0.60,0.09,0.00,0.00,19.7,0,0,0,1.0,1.0,0.07,-1.0,-1.0,Matches
Christian Kouamé,Fiorentina,CIV,FW,25,21.4,2,49,11,22.4,2.29,0.51,0.04,0.18,16.6,0,0,0,3.4,3.4,0.07,-1.4,-1.4,Matches
Riccardo Sottil,Fiorentina,ITA,FW,24,19.1,5,54,19,35.2,2.82,0.99,0.07,0.21,18.2,3,1,1,3.2,3.2,0.07,+0.8,+0.8,Matches
Maxime Lopez,Fiorentina,FRA,MF,25,17.6,1,7,3,42.9,0.40,0.17,0.14,0.33,23.1,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches
Andrea Belotti,Fiorentina,ITA,FW,29,17.4,4,61,15,24.6,3.51,0.86,0.07,0.27,13.2,0,0,0,6.2,6.2,0.11,-2.2,-2.2,Matches
Antonín Barák,Fiorentina,CZE,"MF,FW",28,15.4,5,42,16,38.1,2.73,1.04,0.12,0.31,14.4,1,0,0,3.3,3.3,0.08,+1.7,+1.7,Matches
Dodô,Fiorentina,BRA,DF,24,12.2,0,4,2,50.0,0.33,0.16,0.00,0.00,22.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Oliver Christensen,Fiorentina,DEN,GK,24,10.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Josip Brekalo,Fiorentina,CRO,FW,25,9.8,1,15,5,33.3,1.54,0.51,0.07,0.20,19.1,0,0,0,0.9,0.9,0.07,+0.1,+0.1,Matches
Davide Faraoni,Fiorentina,ITA,DF,31,5.5,0,7,2,28.6,1.27,0.36,0.00,0.00,22.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Gaetano Castrovilli,Fiorentina,ITA,"FW,MF",26,4.1,1,5,2,40.0,1.23,0.49,0.20,0.50,14.9,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Matches
Gino Infantino,Fiorentina,ARG,MF,20,2.2,0,8,2,25.0,3.69,0.92,0.00,0.00,19.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Yerry Mina,Fiorentina,COL,"DF,MF",28,2.1,0,4,1,25.0,1.89,0.47,0.00,0.00,19.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Niccolò Pierozzi,Fiorentina,ITA,DF,21,1.5,0,2,0,0.0,1.33,0.00,0.00,,23.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Pietro Comuzzo,Fiorentina,ITA,"DF,FW",18,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Tommaso Martinelli,Fiorentina,ITA,GK,17,1.0,0,0,0,,0.00,0.00,,,,,0,0,,,,,,Matches
Lorenzo Amatucci,Fiorentina,ITA,MF,19,0.2,0,1,0,0.0,4.09,0.00,0.00,,29.5,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Álex Remiro,Real Sociedad,ESP,GK,28,48.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Martín Zubimendi,Real Sociedad,ESP,MF,24,41.5,4,32,12,37.5,0.77,0.29,0.13,0.33,15.4,0,0,0,3.3,3.3,0.11,+0.7,+0.7,Matches
Igor Zubeldia,Real Sociedad,ESP,DF,26,41.0,0,19,0,0.0,0.46,0.00,0.00,,14.4,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
Robin Le Normand,Real Sociedad,ESP,DF,26,40.2,2,16,7,43.8,0.40,0.17,0.13,0.29,12.6,0,0,0,1.7,1.7,0.12,+0.3,+0.3,Matches
Mikel Merino,Real Sociedad,ESP,MF,27,40.0,8,54,20,37.0,1.35,0.50,0.15,0.40,13.3,0,0,0,5.4,5.4,0.12,+1.6,+1.6,Matches
Brais Méndez,Real Sociedad,ESP,MF,26,36.7,8,87,26,29.9,2.37,0.71,0.09,0.31,20.8,11,0,3,6.1,5.3,0.07,+1.9,+2.7,Matches
Mikel Oyarzabal,Real Sociedad,ESP,"FW,MF",26,33.9,14,59,30,50.8,1.74,0.89,0.19,0.37,14.5,3,3,3,11.3,9.8,0.20,-0.3,-0.8,Matches
Hamari Traoré,Real Sociedad,MLI,DF,31,33.7,0,22,3,13.6,0.65,0.09,0.00,0.00,25.2,0,0,0,0.6,0.6,0.03,-0.6,-0.6,Matches
Takefusa Kubo,Real Sociedad,JPN,"FW,MF",22,32.5,7,61,25,41.0,1.88,0.77,0.11,0.28,17.9,3,0,0,3.9,3.9,0.07,+3.1,+3.1,Matches
Beñat Turrientes,Real Sociedad,ESP,MF,21,24.2,0,36,13,36.1,1.49,0.54,0.00,0.00,23.0,1,0,0,1.7,1.7,0.06,-1.7,-1.7,Matches
Ander Barrenetxea,Real Sociedad,ESP,"FW,MF",21,22.7,5,51,14,27.5,2.25,0.62,0.10,0.36,17.5,1,0,0,4.0,4.0,0.09,+1.0,+1.0,Matches
Arsen Zakharyan,Real Sociedad,RUS,"FW,MF",20,20.7,1,47,13,27.7,2.27,0.63,0.02,0.08,21.0,6,0,0,2.7,2.7,0.07,-1.7,-1.7,Matches
Jon Pacheco,Real Sociedad,ESP,DF,22,20.5,1,7,3,42.9,0.34,0.15,0.14,0.33,8.3,0,0,0,1.1,1.1,0.16,-0.1,-0.1,Matches
Aihen Muñoz,Real Sociedad,ESP,DF,25,19.7,0,13,2,15.4,0.66,0.10,0.00,0.00,24.6,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Kieran Tierney,Real Sociedad,SCO,DF,26,16.4,0,5,1,20.0,0.31,0.06,0.00,0.00,17.0,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Javi Galán,Real Sociedad,ESP,DF,28,15.9,0,7,1,14.3,0.44,0.06,0.00,0.00,20.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Umar Sadiq,Real Sociedad,NGA,FW,26,15.2,3,41,13,31.7,2.69,0.85,0.07,0.23,14.8,0,0,0,3.7,3.7,0.11,-0.7,-0.7,Matches
Aritz Elustondo,Real Sociedad,ESP,DF,29,13.7,0,12,2,16.7,0.88,0.15,0.00,0.00,11.7,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
André Silva,Real Sociedad,POR,FW,27,11.8,4,25,8,32.0,2.11,0.68,0.12,0.38,18.4,1,1,1,3.5,2.8,0.15,-0.5,-0.8,Matches
Sheraldo Becker,Real Sociedad,SUR,FW,28,10.9,3,27,12,44.4,2.47,1.10,0.11,0.25,17.1,0,0,0,1.4,1.4,0.07,+0.6,+0.6,Matches
Álvaro Odriozola,Real Sociedad,ESP,"DF,FW",27,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jon Aramburu,Real Sociedad,VEN,DF,21,7.4,0,5,0,0.0,0.68,0.00,0.00,,23.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Carlos Fernández,Real Sociedad,ESP,FW,27,6.3,3,11,4,36.4,1.75,0.64,0.18,0.50,15.3,0,1,1,1.6,0.8,0.09,+0.4,+0.2,Matches
Olasagasti,Real Sociedad,ESP,MF,22,6.1,0,14,1,7.1,2.29,0.16,0.00,0.00,17.0,0,0,0,1.0,1.0,0.10,-1.0,-1.0,Matches
Mohamed Ali Cho,Real Sociedad,FRA,"FW,MF",19,5.2,0,6,2,33.3,1.15,0.38,0.00,0.00,18.4,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches
Unai Marrero,Real Sociedad,ESP,GK,21,4.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Urko González,Real Sociedad,ESP,DF,22,4.0,0,4,1,25.0,0.99,0.25,0.00,0.00,17.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Jon Magunacelaya,Real Sociedad,ESP,MF,23,2.4,0,7,2,28.6,2.88,0.82,0.00,0.00,16.1,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
Alberto Dadie,Real Sociedad,ESP,FW,21,1.6,0,5,2,40.0,3.19,1.28,0.00,0.00,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Alex Sola,Real Sociedad,ESP,"DF,MF",24,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jon Martin,Real Sociedad,ESP,DF,17,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
André Onana,Manchester Utd,CMR,GK,27,51.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Diogo Dalot,Manchester Utd,POR,DF,24,48.5,3,40,10,25.0,0.82,0.21,0.08,0.30,20.4,0,0,0,1.8,1.8,0.06,+0.2,+0.2,Matches
Bruno Fernandes,Manchester Utd,POR,"MF,FW",28,47.6,15,134,48,35.8,2.82,1.01,0.07,0.19,22.8,13,6,7,11.6,6.9,0.07,+0.4,+0.1,Matches
Alejandro Garnacho,Manchester Utd,ARG,"FW,MF",19,39.6,10,133,39,29.3,3.36,0.99,0.08,0.26,15.7,0,0,0,9.7,9.6,0.09,-1.7,-1.6,Matches
Rasmus Højlund,Manchester Utd,DEN,FW,20,34.1,16,57,29,50.9,1.67,0.85,0.28,0.55,11.2,0,0,0,11.2,11.2,0.23,+3.8,+3.8,Matches
Marcus Rashford,Manchester Utd,ENG,FW,25,33.8,8,83,27,32.5,2.45,0.80,0.07,0.22,17.0,1,2,2,7.4,5.9,0.09,-0.4,-0.9,Matches
Scott McTominay,Manchester Utd,SCO,MF,26,30.9,10,70,27,38.6,2.26,0.87,0.14,0.37,14.6,0,0,0,7.1,7.1,0.14,+0.9,+0.9,Matches
Casemiro,Manchester Utd,BRA,MF,31,28.6,5,49,14,28.6,1.71,0.49,0.10,0.36,16.6,1,0,0,4.5,4.5,0.10,-1.5,-1.5,Matches
Aaron Wan-Bissaka,Manchester Utd,ENG,DF,25,26.7,0,4,2,50.0,0.15,0.07,0.00,0.00,20.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Kobbie Mainoo,Manchester Utd,ENG,MF,18,26.5,5,14,8,57.1,0.53,0.30,0.36,0.63,21.1,0,0,0,0.9,0.9,0.08,+2.1,+2.1,Matches
Harry Maguire,Manchester Utd,ENG,DF,30,25.7,4,26,8,30.8,1.01,0.31,0.15,0.50,11.2,0,0,0,2.3,2.3,0.11,+0.7,+0.7,Matches
Raphaël Varane,Manchester Utd,FRA,DF,30,24.6,1,12,3,25.0,0.49,0.12,0.08,0.33,9.2,0,0,0,1.3,1.3,0.16,-0.3,-0.3,Matches
Victor Lindelöf,Manchester Utd,SWE,DF,29,21.7,1,8,5,62.5,0.37,0.23,0.13,0.20,10.4,0,0,0,0.8,0.8,0.13,+0.2,+0.2,Matches
Antony,Manchester Utd,BRA,FW,23,21.2,3,63,20,31.7,2.97,0.94,0.05,0.15,19.1,0,0,0,3.4,3.4,0.08,-2.4,-2.4,Matches
Jonny Evans,Manchester Utd,NIR,DF,35,17.8,0,2,1,50.0,0.11,0.06,0.00,0.00,5.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Sofyan Amrabat,Manchester Utd,MAR,"MF,DF",26,17.2,0,6,1,16.7,0.35,0.06,0.00,0.00,24.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Christian Eriksen,Manchester Utd,DEN,MF,31,15.9,1,16,6,37.5,1.00,0.38,0.06,0.17,20.6,2,0,0,1.3,1.3,0.09,-0.3,-0.3,Matches
Luke Shaw,Manchester Utd,ENG,DF,28,13.1,0,6,1,16.7,0.46,0.08,0.00,0.00,21.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Lisandro Martínez,Manchester Utd,ARG,DF,25,10.0,0,1,0,0.0,0.10,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mason Mount,Manchester Utd,ENG,"MF,FW",24,8.4,1,13,3,23.1,1.54,0.36,0.08,0.33,14.5,0,0,0,0.9,0.9,0.10,+0.1,+0.1,Matches
Sergio Reguilón,Manchester Utd,ESP,DF,26,7.3,0,7,1,14.3,0.96,0.14,0.00,0.00,18.4,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Anthony Martial,Manchester Utd,FRA,"FW,DF",27,7.1,2,8,5,62.5,1.13,0.71,0.25,0.40,12.9,0,0,0,1.2,1.2,0.20,-0.2,-0.2,Matches
Amad Diallo,Manchester Utd,CIV,"FW,MF",21,5.3,2,13,5,38.5,2.47,0.95,0.15,0.40,19.3,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
Facundo Pellistri,Manchester Utd,URU,FW,21,4.2,0,11,3,27.3,2.64,0.72,0.00,0.00,12.8,0,0,0,1.1,1.1,0.15,-1.1,-1.1,Matches
Willy Kambwala,Manchester Utd,FRA,DF,18,3.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Hannibal Mejbri,Manchester Utd,TUN,"MF,FW",20,3.7,1,1,1,100.0,0.27,0.27,1.00,1.00,28.7,0,0,0,0.0,0.0,0.03,+1.0,+1.0,Matches
Omari Forson,Manchester Utd,ENG,MF,19,1.0,0,4,2,50.0,3.91,1.96,0.00,0.00,21.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Altay Bayındır,Manchester Utd,TUR,GK,25,1.0,0,0,0,,0.00,0.00,,,,,0,0,,,,,,Matches
Jadon Sancho,Manchester Utd,ENG,"FW,MF",23,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Daniel Gore,Manchester Utd,ENG,MF,18,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Donny van de Beek,Manchester Utd,NED,DF,26,0.3,0,1,0,0.0,3.91,0.00,0.00,,16.1,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Ethan Wheatley,Manchester Utd,ENG,FW,17,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Maxence Caqueret,Lyon,FRA,MF,23,39.7,2,34,11,32.4,0.86,0.28,0.06,0.18,20.9,0,0,0,2.1,2.1,0.09,-1.1,-1.1,Matches
Anthony Lopes,Lyon,POR,GK,32,33.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
