Player Name,Club Name,Country,Position,Age,90s,Goals,Shots,ShotsOnTarget,ShotsOnTarget%,Shots/90min,ShotsOnTarget/90min,Goals/Shot,Goals/ShotOnTarget,AverageShotDistance,ShotsfromFreeKicks,PKMade,TotalPK,ExpectedGoal,NonPenaltyExpectedGoals,NonPenaltyExpectedGoals/shot,Goals-XG,NonPenaltyGoals-NonPenaltyXG,npxG
Harry Kane,Bayern Munich,ENG,FW,30,43.6,44,174,74,42.5,3.99,1.70,0.21,0.49,15.1,6,8,8,37.3,31.0,0.18,+6.7,+5.0,Matches
Joshua Kimmich,Bayern Munich,GER,"MF,DF",28,38.7,2,36,11,30.6,0.93,0.28,0.06,0.18,23.5,4,0,0,1.9,1.9,0.05,+0.1,+0.1,Matches
Leroy Sané,Bayern Munich,GER,FW,27,35.7,10,103,41,39.8,2.88,1.15,0.10,0.24,17.8,8,0,0,12.9,12.9,0.13,-2.9,-2.9,Matches
Leon Goretzka,Bayern Munich,GER,"MF,DF",28,34.5,6,68,15,22.1,1.97,0.43,0.09,0.40,17.2,0,0,0,5.8,5.8,0.09,+0.2,+0.2,Matches
Alphonso Davies,Bayern Munich,CAN,DF,22,33.5,3,18,5,27.8,0.54,0.15,0.17,0.60,20.4,0,0,0,1.2,1.2,0.07,+1.8,+1.8,Matches
Manuel Neuer,Bayern Munich,GER,GK,37,32.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jamal Musiala,Bayern Munich,GER,"MF,FW",20,31.6,12,89,30,33.7,2.82,0.95,0.13,0.40,15.9,0,0,0,10.0,10.0,0.12,+2.0,+2.0,Matches
Kim Min-jae,Bayern Munich,KOR,DF,26,30.7,1,12,3,25.0,0.39,0.10,0.08,0.33,10.1,0,0,0,0.9,0.9,0.08,+0.1,+0.1,Matches
Konrad Laimer,Bayern Munich,AUT,"MF,DF",26,30.2,1,20,6,30.0,0.66,0.20,0.05,0.17,17.1,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
Dayot Upamecano,Bayern Munich,FRA,DF,24,26.1,1,16,4,25.0,0.61,0.15,0.06,0.25,12.0,0,0,0,1.9,1.9,0.12,-0.9,-0.9,Matches
Thomas Müller,Bayern Munich,GER,MF,33,24.1,7,46,15,32.6,1.91,0.62,0.15,0.47,11.7,0,0,0,7.2,7.2,0.17,-1.2,-1.2,Matches
Noussair Mazraoui,Bayern Munich,MAR,DF,25,22.0,0,19,4,21.1,0.86,0.18,0.00,0.00,20.1,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Matches
Matthijs de Ligt,Bayern Munich,NED,DF,23,21.4,2,19,6,31.6,0.89,0.28,0.11,0.33,11.4,0,0,0,1.9,1.9,0.10,+0.1,+0.1,Matches
Kingsley Coman,Bayern Munich,FRA,FW,27,19.2,5,54,14,25.9,2.82,0.73,0.09,0.36,17.1,0,0,0,4.6,4.6,0.10,+0.4,+0.4,Matches
Eric Dier,Bayern Munich,ENG,DF,29,18.0,0,13,4,30.8,0.72,0.22,0.00,0.00,10.2,0,0,0,1.0,1.0,0.08,-1.0,-1.0,Matches
Raphaël Guerreiro,Bayern Munich,POR,"DF,FW",29,17.9,3,24,6,25.0,1.34,0.34,0.13,0.50,19.0,0,0,0,2.8,2.8,0.12,+0.2,+0.2,Matches
Mathys Tel,Bayern Munich,FRA,"FW,MF",18,16.0,10,60,24,40.0,3.76,1.50,0.17,0.42,15.4,0,0,0,4.5,4.5,0.09,+4.5,+4.5,Matches
Aleksandar Pavlovic,Bayern Munich,GER,MF,19,15.9,2,8,2,25.0,0.50,0.13,0.25,1.00,16.0,0,0,0,1.2,1.2,0.15,+0.8,+0.8,Matches
Sven Ulreich,Bayern Munich,GER,GK,34,15.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Eric Maxim Choupo-Moting,Bayern Munich,CMR,"FW,MF",34,10.4,3,36,15,41.7,3.47,1.45,0.08,0.20,12.4,0,0,0,5.0,5.0,0.17,-3.0,-3.0,Matches
Serge Gnabry,Bayern Munich,GER,FW,28,8.5,5,26,10,38.5,3.07,1.18,0.19,0.50,13.0,0,0,0,3.2,3.2,0.15,+1.8,+1.8,Matches
Bouna Sarr,Bayern Munich,SEN,DF,31,2.3,0,1,1,100.0,0.44,0.44,0.00,0.00,5.0,0,0,0,0.2,0.2,0.22,-0.2,-0.2,Matches
Frans Krätzig,Bayern Munich,GER,DF,20,2.2,1,4,3,75.0,1.80,1.35,0.25,0.33,19.4,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
Bryan Zaragoza,Bayern Munich,ESP,MF,22,2.0,0,7,4,57.1,3.44,1.97,0.00,0.00,15.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Lovro Zvonarek,Bayern Munich,CRO,"FW,MF",18,1.8,1,1,1,100.0,0.55,0.55,1.00,1.00,16.8,0,0,0,0.1,0.1,0.07,+0.9,+0.9,Matches
