Player Name,Club Name,Country,Position,ShortPassesCompleted%,TotalPassingDistance,PassesAttempted,ProgressivePassingDistance,ShortPassesCompleted,ShortPassesAttempted,ShortPassesCompleted%,MediumPassesCompleted,PassesIntoPenaltyArea,CrossesIntoPenaltyArea,ProgressivePasses,LongPassesAttempted,LongPassesCompleted%
Rafael Tolói,Atalanta,ITA,DF,32,11002,739,4006,259,280,92.5,295,5,1,70,102,46.1
Luis Muriel,Atalanta,COL,"FW,MF",32,4279,374,1310,137,176,77.8,94,17,7,39,49,46.9
Mitchel Bakker,Atalanta,NED,DF,23,3621,326,921,148,169,87.6,83,2,0,17,30,30
El Bilal Touré,Atalanta,MLI,FW,21,1365,141,219,63,82,76.8,29,6,0,13,5,40
Nadir Zortea,Atalanta,ITA,DF,24,1716,142,654,52,60,86.7,40,2,2,14,19,52.6
Michel Ndary Adopo,Atalanta,FRA,MF,23,1743,132,495,50,58,86.2,50,0,0,12,8,62.5
Giovanni Bonfanti,Atalanta,ITA,DF,20,1506,96,366,26,29,89.7,46,1,1,1,10,70
Duván Zapata,Atalanta,COL,FW,32,393,50,32,26,29,89.7,7,1,0,3,1,0
Tommaso Del Lungo,Atalanta,ITA,DF,19,820,56,322,25,27,92.6,17,1,0,5,8,50
José Luis Palomino,Atalanta,ARG,DF,33,625,38,225,9,11,81.8,17,0,0,2,7,57.1
Francesco Rossi,Atalanta,ITA,GK,32,145,7,115,1,1,100,1,0,0,0,5,40
Marco Palestra,Atalanta,ITA,DF,18,29,2,25,1,1,100,1,0,0,1,0,
Leonardo Mendicino,Atalanta,ITA,MF,17,23,1,23,0,0,,1,0,0,0,0,
Tommaso De Nipoti,Atalanta,ITA,FW,20,0,2,0,0,0,,0,0,0,0,0,
Moustapha Cissé,Atalanta,GUI,FW,19,13,2,3,1,1,100,0,1,0,1,0,
Daniel Vivian,Athletic Club,ESP,DF,24,28805,1719,10952,459,510,90,808,5,1,123,276,60.5
Aitor Paredes,Athletic Club,ESP,DF,23,26700,1556,10013,385,432,89.1,785,6,0,107,247,59.1
Unai Simón,Athletic Club,ESP,GK,26,23132,1227,18785,109,111,98.2,338,0,0,0,765,36.7
Iñaki Williams,Athletic Club,GHA,FW,29,8942,995,2406,444,557,79.7,191,53,17,78,55,32.7
Nico Williams,Athletic Club,ESP,FW,21,9035,828,2545,321,374,85.8,196,48,22,66,101,42.6
Óscar de Marcos,Athletic Club,ESP,DF,34,20379,1566,7935,634,708,89.5,477,37,26,143,183,56.3
Gorka Guruzeta,Athletic Club,ESP,FW,26,5920,618,1140,247,324,76.2,129,14,3,55,38,55.3
Oihan Sancet,Athletic Club,ESP,MF,23,9165,802,2212,370,432,85.6,219,34,4,121,37,70.3
Iñigo Lekue,Athletic Club,ESP,DF,30,17290,1273,6247,440,499,88.2,489,16,7,119,143,48.3
Yuri Berchiche,Athletic Club,ESP,DF,33,17241,1304,6651,559,622,89.9,438,16,9,132,111,51.4
Iñigo Ruiz de Galarreta,Athletic Club,ESP,MF,29,17537,1232,5134,460,527,87.3,410,23,4,147,171,60.2
Beñat Prados,Athletic Club,ESP,"MF,DF",22,10307,811,2698,351,394,89.1,273,10,2,87,46,56.5
Álex Berenguer,Athletic Club,ESP,FW,28,5881,596,1712,210,258,81.4,99,17,10,30,124,34.7
Mikel Vesga,Athletic Club,ESP,MF,30,10890,829,3554,321,377,85.1,245,13,2,88,108,59.3
Ander Herrera,Athletic Club,ESP,MF,33,10056,756,2855,337,369,91.3,234,17,3,94,71,62
Unai Gómez,Athletic Club,ESP,MF,20,3259,260,762,100,122,82,70,3,0,28,34,61.8
Yeray Álvarez,Athletic Club,ESP,DF,28,11772,710,4181,157,181,86.7,346,3,0,55,128,49.2
Julen Agirrezabala,Athletic Club,ESP,GK,22,1906,100,1648,19,19,100,27,0,0,0,53,39.6
Iker Muniain,Athletic Club,ESP,"MF,FW",30,5158,410,1364,196,216,90.7,113,10,0,43,42,52.4
Asier Villalibre,Athletic Club,ESP,FW,25,1078,124,184,61,79,77.2,17,5,0,10,4,75
Dani García,Athletic Club,ESP,MF,33,4585,331,1255,136,152,89.5,110,3,0,36,34,64.7
Raúl García,Athletic Club,ESP,"FW,MF",37,1102,138,313,45,66,68.2,19,3,0,19,11,54.5
Imanol,Athletic Club,ESP,DF,23,4413,343,1312,160,178,89.9,99,6,3,21,30,53.3
Adu Ares,Athletic Club,ESP,FW,21,1252,104,82,45,53,84.9,27,0,0,3,9,55.6
Mikel Jauregizar,Athletic Club,ESP,MF,19,841,79,232,29,37,78.4,23,1,0,5,10,30
Peru Nolaskoain,Athletic Club,ESP,"DF,MF",24,103,8,31,1,1,100,4,0,0,0,1,0
Unai Eguíluz,Athletic Club,ESP,DF,21,,,,,,,,,,,,
Aingeru Olabarrieta,Athletic Club,ESP,FW,17,23,5,6,2,2,100,0,0,0,0,0,
