Player Name,Club Name,Country,Position,ShortPassesCompleted%,TotalPassingDistance,PassesAttempted,ProgressivePassingDistance,ShortPassesCompleted,ShortPassesAttempted,ShortPassesCompleted%,MediumPassesCompleted,PassesIntoPenaltyArea,CrossesIntoPenaltyArea,ProgressivePasses,LongPassesAttempted,LongPassesCompleted%
Nicolas Jackson,Chelsea,SEN,FW,22,6528,666,1537,323,386,83.7,126,21,0,67,27,74.1
Enzo Fernández,Chelsea,ARG,MF,22,28776,1862,8415,674,742,90.8,661,43,4,210,273,71.8
Thiago Silva,Chelsea,BRA,DF,38,38542,2287,15513,887,918,96.6,1119,10,1,102,186,76.9
Đorđe Petrović,Chelsea,SRB,GK,23,14560,806,8862,188,188,100,321,0,0,1,289,42.6
Raheem Sterling,Chelsea,ENG,"FW,MF",28,7091,728,1775,363,428,84.8,135,35,7,78,33,54.5
Malo Gusto,Chelsea,FRA,DF,20,17534,1423,5080,761,829,91.8,394,29,13,86,73,65.8
Levi Colwill,Chelsea,ENG,DF,20,16310,1163,5939,444,495,89.7,456,6,0,73,117,43.6
Marc Cucurella,Chelsea,ESP,DF,25,15110,1196,4408,595,645,92.2,383,7,4,50,65,49.2
Mykhailo Mudryk,Chelsea,UKR,FW,22,5618,566,1853,237,300,79,96,22,4,45,66,45.5
Robert Sánchez,Chelsea,ESP,GK,25,11860,609,7720,135,136,99.3,250,0,0,1,211,53.1
Benoît Badiashile,Chelsea,FRA,DF,22,18737,1173,7087,442,463,95.5,543,4,0,46,106,67
Noni Madueke,Chelsea,ENG,FW,21,5511,486,1281,268,294,91.2,115,13,2,52,20,65
Trevoh Chalobah,Chelsea,ENG,DF,24,12088,783,3518,278,302,92.1,377,2,0,31,70,50
Ben Chilwell,Chelsea,ENG,DF,26,5230,495,1552,230,259,88.8,112,2,2,25,48,37.5
Armando Broja,Chelsea,ALB,FW,21,932,94,91,60,64,93.8,15,2,0,6,2,50
Lesley Ugochukwu,Chelsea,FRA,MF,19,2510,183,683,79,90,87.8,63,5,0,17,11,90.9
Christopher Nkunku,Chelsea,FRA,"FW,MF",25,2048,183,567,101,109,92.7,39,7,0,19,10,40
Reece James,Chelsea,ENG,DF,23,4433,341,1383,144,163,88.3,104,6,3,21,34,55.9
Alfie Gilchrist,Chelsea,ENG,DF,19,1893,141,468,63,73,86.3,55,1,0,7,6,50
Ian Maatsen,Chelsea,NED,"FW,MF",21,1316,138,400,60,73,82.2,26,2,1,8,8,50
Carney Chukwuemeka,Chelsea,ENG,"MF,FW",19,1476,134,266,82,88,93.2,26,6,0,12,5,80
Bashir Humphreys,Chelsea,ENG,DF,20,,,,,,,,,,,,
Cesare Casadei,Chelsea,ITA,"FW,MF",20,792,65,155,29,34,85.3,17,0,0,3,4,100
Mason Burstow,Chelsea,ENG,FW,19,29,4,1,3,3,100,0,0,0,0,0,
Diego Moreira,Chelsea,POR,MF,18,,,,,,,,,,,,
Roméo Lavia,Chelsea,BEL,MF,19,350,27,51,9,10,90,13,0,0,1,1,0
Deivid Washington,Chelsea,BRA,"DF,FW",18,25,1,0,0,0,,1,0,0,0,0,
Leo Castledine,Chelsea,ENG,MF,17,,,,,,,,,,,,
Joshua Acheampong,Chelsea,ENG,DF,17,18,2,7,0,0,,1,0,0,0,1,0
Alex Matos,Chelsea,ENG,MF,18,0,0,0,0,0,,0,0,0,0,0,
Michael Golding,Chelsea,ENG,MF,17,,,,,,,,,,,,
Jimi Tauriainen,Chelsea,ENG,FW,19,0,0,0,0,0,,0,0,0,0,0,
Marcin Bułka,Nice,POL,GK,23,21917,1235,13487,351,355,98.9,500,0,0,0,337,54.9
Dante,Nice,BRA,DF,39,43573,2803,17293,1157,1213,95.4,1141,7,1,185,303,60.4
Jean-Clair Todibo,Nice,FRA,DF,23,38405,2487,14380,982,1034,95,1068,7,1,150,265,54
Melvin Bard,Nice,FRA,DF,22,23609,1784,6956,719,805,89.3,607,26,14,111,192,44.8
Pablo Rosario,Nice,NED,"MF,DF",26,17440,1187,5722,478,524,91.2,496,14,3,93,80,65
Gaëtan Laborde,Nice,FRA,"FW,MF",29,5696,558,1386,188,253,74.3,132,26,12,46,66,36.4
Khéphren Thuram,Nice,FRA,MF,22,15397,1134,3692,507,561,90.4,391,24,6,104,75,65.3
Morgan Sanson,Nice,FRA,MF,28,10830,836,2818,289,331,87.3,240,20,5,75,147,48.3
Jordan Lotomba,Nice,SUI,DF,24,11866,994,3883,473,541,87.4,297,14,5,52,43,48.8
Terem Moffi,Nice,NGA,FW,24,3694,387,554,161,200,80.5,87,12,0,27,19,52.6
Jeremie Boga,Nice,CIV,FW,26,8887,753,2093,347,397,87.4,173,28,4,64,87,49.4
Youssouf Ndayishimiye,Nice,BDI,"MF,DF",24,19183,1361,5129,630,674,93.5,488,6,0,96,92,65.2
Evann Guessand,Nice,CIV,FW,22,2999,294,623,128,158,81,68,12,0,34,11,72.7
Hicham Boudaoui,Nice,ALG,MF,23,9088,717,2370,318,361,88.1,221,19,2,78,56,64.3
Mohamed Ali Cho,Nice,FRA,FW,19,3014,268,731,111,133,83.5,66,11,2,25,27,40.7
Tom Louchet,Nice,FRA,"MF,DF",20,2973,257,772,102,119,85.7,72,5,2,18,33,39.4
Alexis Claude-Maurice,Nice,FRA,MF,25,2857,253,570,120,132,90.9,56,6,3,21,22,54.5
Antoine Mendy,Nice,FRA,DF,19,4086,244,1001,69,77,89.6,116,2,2,12,31,67.7
Sofiane Diop,Nice,FRA,FW,23,2076,176,491,76,88,86.4,52,7,2,17,9,55.6
Romain Perraud,Nice,FRA,"DF,FW",25,2476,243,626,103,117,88,57,0,0,11,20,25
Youcef Atal,Nice,ALG,DF,27,3127,238,832,125,132,94.7,67,3,1,15,19,73.7
Badredine Bouanani,Nice,ALG,FW,18,959,70,207,24,31,77.4,20,3,3,2,13,69.2
Ayoub Amraoui,Nice,MAR,DF,19,,,,,,,,,,,,
Aliou Baldé,Nice,GUI,"FW,DF",20,183,30,33,12,17,70.6,2,0,0,2,1,0
Reda Belahyane,Nice,FRA,MF,19,183,15,17,9,10,90,4,1,0,1,0,
Valentin Rosier,Nice,FRA,"DF,MF",26,401,33,158,15,17,88.2,11,2,0,5,2,0
Robson Bambu,Nice,BRA,DF,25,,,,,,,,,,,,
Daouda Traoré,Nice,FRA,MF,17,130,9,26,5,5,100,4,0,0,1,0,
Bilal Brahimi,Nice,ALG,FW,23,120,13,50,8,8,100,2,0,0,0,0,
Amidou Doumbouya,Nice,FRA,MF,15,,,,,,,,,,,,
Adam Marušić,Lazio,MNE,DF,30,28359,2199,10976,984,1102,89.3,691,26,13,139,180,57.2
Felipe Anderson,Lazio,BRA,FW,30,17125,1578,4519,714,816,87.5,387,60,6,152,107,49.5
Ivan Provedel,Lazio,ITA,GK,29,27084,1267,18198,208,208,100,465,1,0,5,576,63.4
Alessio Romagnoli,Lazio,ITA,DF,28,33011,2124,12134,817,856,95.4,971,6,1,101,184,62
Mattéo Guendouzi,Lazio,FRA,MF,24,18363,1349,4433,549,602,91.2,456,35,9,149,133,63.9
Luis Alberto,Lazio,ESP,MF,30,27130,2176,8670,911,1019,89.4,597,60,5,283,308,44.8
Mattia Zaccagni,Lazio,ITA,FW,28,12260,1079,2449,524,582,90,248,31,7,66,93,50.5
Mario Gila,Lazio,ESP,DF,22,25269,1514,9079,529,562,94.1,649,10,3,101,210,74.3
Ciro Immobile,Lazio,ITA,FW,33,5728,579,848,270,336,80.4,116,13,0,46,28,64.3
Manuel Lazzari,Lazio,ITA,DF,29,15532,1245,4918,580,629,92.2,401,13,9,82,73,52.1
Patric,Lazio,ESP,DF,30,26211,1507,9469,453,477,95,641,6,1,91,309,65.7
Valentín Castellanos,Lazio,ARG,FW,24,4056,500,1063,179,264,67.8,84,17,1,52,26,65.4
Matías Vecino,Lazio,URU,MF,31,13496,997,3985,424,474,89.5,343,13,0,97,83,61.4
Daichi Kamada,Lazio,JPN,MF,26,14806,1046,2920,481,526,91.4,355,13,1,109,83,74.7
Nicolò Casale,Lazio,ITA,DF,25,19940,1178,6871,418,445,93.9,563,1,0,53,115,80.9
Elseid Hysaj,Lazio,ALB,DF,29,13443,1059,5299,507,554,91.5,307,10,5,70,96,50
Danilo Cataldi,Lazio,ITA,MF,28,13756,1025,3892,459,492,93.3,342,8,2,73,100,52
Nicolò Rovella,Lazio,ITA,MF,21,15581,1080,3705,461,489,94.3,384,5,0,63,116,63.8
Gustav Isaksen,Lazio,DEN,FW,22,4110,421,901,159,188,84.6,97,16,5,28,44,31.8
Pedro,Lazio,ESP,FW,36,6183,521,1180,267,292,91.4,129,15,4,40,38,57.9
Luca Pellegrini,Lazio,ITA,DF,24,7172,631,2705,252,288,87.5,172,10,1,56,76,34.2
Christos Mandas,Lazio,GRE,GK,21,5187,269,3842,33,33,100,82,0,0,0,151,43.7
Toma Bašić,Lazio,CRO,MF,26,,,,,,,,,,,,
Bruno Guimarães,Newcastle Utd,BRA,MF,25,37703,2606,10457,1022,1132,90.3,881,79,7,310,339,63.4
Fabian Schär,Newcastle Utd,SUI,DF,31,41444,2413,17020,662,727,91.1,1032,20,3,154,493,59.6
Anthony Gordon,Newcastle Utd,ENG,FW,22,13425,1169,3896,526,609,86.4,254,45,12,114,146,50.7
Sean Longstaff,Newcastle Utd,ENG,MF,25,17033,1384,5554,618,710,87,390,26,4,159,106,63.2
Dan Burn,Newcastle Utd,ENG,DF,31,23674,1782,8928,657,763,86.1,707,8,3,86,115,49.6
Kieran Trippier,Newcastle Utd,ENG,DF,32,35779,2529,13374,816,925,88.2,861,65,20,199,475,49.9
Alexander Isak,Newcastle Utd,SWE,FW,23,6321,560,1331,261,308,84.7,142,22,0,80,26,65.4
Miguel Almirón,Newcastle Utd,PAR,FW,29,10755,957,2368,480,541,88.7,248,26,3,101,49,53.1
Martin Dúbravka,Newcastle Utd,SVK,GK,34,12523,686,7363,138,140,98.6,290,0,0,1,244,46.7
Jamaal Lascelles,Newcastle Utd,ENG,DF,29,14841,977,4842,316,350,90.3,465,2,0,41,89,55.1
Valentino Livramento,Newcastle Utd,ENG,"DF,FW",20,11711,933,3639,477,521,91.6,273,18,4,77,61,50.8
Nick Pope,Newcastle Utd,ENG,GK,31,10553,529,6792,79,80,98.8,205,0,0,0,236,46.6
Joelinton,Newcastle Utd,BRA,"MF,FW",26,9127,779,2383,387,433,89.4,209,11,1,71,33,75.8
Sven Botman,Newcastle Utd,NED,DF,23,17916,1064,7054,366,391,93.6,483,1,0,38,140,75.7
Lewis Miley,Newcastle Utd,ENG,MF,17,7361,605,1786,288,333,86.5,162,13,3,58,45,55.6
Jacob Murphy,Newcastle Utd,ENG,FW,28,5443,543,2053,216,260,83.1,119,30,8,55,61,31.1
Callum Wilson,Newcastle Utd,ENG,FW,31,1521,185,211,74,94,78.7,32,3,0,10,7,42.9
Elliot Anderson,Newcastle Utd,SCO,MF,20,5177,475,1367,249,282,88.3,111,12,0,58,30,26.7
Emil Krafth,Newcastle Utd,SWE,DF,28,7498,580,2971,246,275,89.5,216,13,7,29,39,38.5
Lewis Hall,Newcastle Utd,ENG,DF,18,7816,576,3213,236,256,92.2,194,3,1,49,63,52.4
Harvey Barnes,Newcastle Utd,ENG,FW,25,2981,273,750,128,147,87.1,68,17,3,34,16,43.8
Joe Willock,Newcastle Utd,ENG,MF,23,2550,206,764,99,107,92.5,54,3,1,20,17,70.6
Sandro Tonali,Newcastle Utd,ITA,MF,23,4200,326,1043,143,161,88.8,102,5,2,25,26,53.8
Matt Ritchie,Newcastle Utd,SCO,"FW,MF",33,959,93,234,45,53,84.9,22,3,0,8,9,22.2
Paul Dummett,Newcastle Utd,WAL,DF,31,320,23,76,10,10,100,11,0,0,1,1,0
Matt Targett,Newcastle Utd,ENG,DF,27,1026,71,348,26,29,89.7,28,1,0,7,9,66.7
Loris Karius,Newcastle Utd,GER,GK,30,507,37,279,4,4,100,14,0,0,0,18,16.7
Ben Parkinson,Newcastle Utd,ENG,FW,18,15,3,0,0,1,0,1,0,0,0,0,
Joe White,Newcastle Utd,ENG,MF,20,172,12,48,7,8,87.5,3,0,0,3,1,100
Alex Murphy,Newcastle Utd,IRL,"DF,FW",19,275,17,81,10,10,100,5,0,0,1,2,100
Michael Ndiweni,Newcastle Utd,ENG,MF,19,16,2,15,0,0,,1,0,0,0,0,
Amadou Diallo,Newcastle Utd,ENG,MF,20,10,1,0,1,1,100,0,0,0,0,0,
Pietro Terracciano,Fiorentina,ITA,GK,33,33880,1535,22920,177,177,100,650,2,0,0,689,59.1
Nikola Milenković,Fiorentina,SRB,DF,25,38526,2161,12864,522,611,85.4,1044,2,0,121,362,72.1
Cristiano Biraghi,Fiorentina,ITA,DF,30,36823,2590,13168,813,886,91.8,915,52,32,184,478,47.9
Luca Ranieri,Fiorentina,ITA,DF,24,36007,2066,13532,529,586,90.3,930,16,2,159,409,65
Lucas Martínez Quarta,Fiorentina,ARG,DF,27,37672,2238,15871,610,655,93.1,909,27,3,233,493,56.8
Giacomo Bonaventura,Fiorentina,ITA,MF,33,19148,1374,4259,530,590,89.8,444,55,13,168,177,64.4
Nicolás González,Fiorentina,ARG,FW,25,15052,1177,4145,390,502,77.7,319,52,8,161,157,64.3
Michael Kayode,Fiorentina,ITA,DF,19,23271,1519,6414,492,536,91.8,589,30,20,93,233,58.8
Lucas Beltrán,Fiorentina,ARG,"FW,MF",22,8066,691,1612,295,361,81.7,190,25,0,73,44,72.7
Arthur Melo,Fiorentina,BRA,MF,26,33009,1842,7760,561,607,92.4,874,20,5,173,270,83
Rolando Mandragora,Fiorentina,ITA,MF,26,18248,1231,5008,388,450,86.2,444,39,9,151,196,61.7
Alfred Duncan,Fiorentina,GHA,MF,30,18014,1190,5317,364,426,85.4,411,32,12,154,231,60.2
Jonathan Ikone,Fiorentina,FRA,FW,25,8317,647,1499,275,332,82.8,216,29,2,75,36,72.2
M'Bala Nzola,Fiorentina,ANG,FW,26,4227,400,661,209,243,86,72,15,0,33,18,83.3
Fabiano Parisi,Fiorentina,ITA,DF,22,16627,1201,5184,479,534,89.7,417,22,6,92,117,63.2
Christian Kouamé,Fiorentina,CIV,FW,25,8104,729,1665,279,350,79.7,203,29,1,63,51,54.9
Riccardo Sottil,Fiorentina,ITA,FW,24,7818,611,1156,229,268,85.4,197,24,8,48,57,59.6
Maxime Lopez,Fiorentina,FRA,MF,25,20298,1251,5666,434,470,92.3,534,14,2,115,154,74.7
Andrea Belotti,Fiorentina,ITA,FW,29,2547,294,464,112,163,68.7,53,8,2,21,15,46.7
Antonín Barák,Fiorentina,CZE,"MF,FW",28,7937,602,1521,289,325,88.9,175,16,3,53,39,84.6
Dodô,Fiorentina,BRA,DF,24,10947,732,3350,213,257,82.9,290,26,9,73,97,66
Oliver Christensen,Fiorentina,DEN,GK,24,6233,326,4675,53,53,100,100,0,0,0,166,46.4
Josip Brekalo,Fiorentina,CRO,FW,25,4589,344,961,132,153,86.3,99,13,5,26,45,71.1
Davide Faraoni,Fiorentina,ITA,DF,31,4816,335,1384,100,112,89.3,128,10,6,25,47,61.7
Gaetano Castrovilli,Fiorentina,ITA,"FW,MF",26,1164,116,320,41,51,80.4,26,3,2,12,10,60
Gino Infantino,Fiorentina,ARG,MF,20,847,63,155,33,35,94.3,18,0,0,7,3,100
Yerry Mina,Fiorentina,COL,"DF,MF",28,1212,76,405,24,28,85.7,31,0,0,4,10,70
Niccolò Pierozzi,Fiorentina,ITA,DF,21,1326,94,233,38,44,86.4,36,2,1,4,6,83.3
Pietro Comuzzo,Fiorentina,ITA,"DF,FW",18,1352,95,470,26,33,78.8,37,1,0,7,9,77.8
Tommaso Martinelli,Fiorentina,ITA,GK,17,,,,,,,,,,,,
Lorenzo Amatucci,Fiorentina,ITA,MF,19,449,25,101,6,7,85.7,14,0,0,2,2,100
Álex Remiro,Real Sociedad,ESP,GK,28,32401,1521,23713,189,189,100,542,0,0,1,772,51.2
Martín Zubimendi,Real Sociedad,ESP,MF,24,28810,1986,7907,775,867,89.4,794,18,1,195,157,70.7
Igor Zubeldia,Real Sociedad,ESP,DF,26,38276,2175,11917,469,550,85.3,1153,5,0,162,331,64.4
Robin Le Normand,Real Sociedad,ESP,DF,26,36887,2085,9942,566,618,91.6,1059,0,0,121,287,73.2
Mikel Merino,Real Sociedad,ESP,MF,27,20982,1741,6074,732,880,83.2,453,37,4,211,160,65
Brais Méndez,Real Sociedad,ESP,MF,26,18119,1506,5047,632,747,84.6,367,32,5,149,210,48.1
Mikel Oyarzabal,Real Sociedad,ESP,"FW,MF",26,6826,655,1223,292,356,82,147,16,0,47,33,60.6
Hamari Traoré,Real Sociedad,MLI,DF,31,26725,1870,8841,626,719,87.1,691,34,11,161,249,59
Takefusa Kubo,Real Sociedad,JPN,"FW,MF",22,12215,1094,3803,450,531,84.7,226,44,7,112,148,50
Beñat Turrientes,Real Sociedad,ESP,MF,21,11233,801,2361,331,365,90.7,262,5,0,58,94,63.8
Ander Barrenetxea,Real Sociedad,ESP,"FW,MF",21,7840,736,1750,297,369,80.5,151,26,7,60,62,59.7
Arsen Zakharyan,Real Sociedad,RUS,"FW,MF",20,7444,665,2120,270,317,85.2,145,15,2,60,103,41.7
Jon Pacheco,Real Sociedad,ESP,DF,22,21419,1244,6141,332,364,91.2,636,1,1,61,186,59.1
Aihen Muñoz,Real Sociedad,ESP,DF,25,13335,1036,5842,331,367,90.2,361,11,10,79,146,43.2
Kieran Tierney,Real Sociedad,SCO,DF,26,12680,938,5269,300,334,89.8,344,13,4,82,156,41
Javi Galán,Real Sociedad,ESP,DF,28,9919,734,3164,279,311,89.7,254,16,11,50,82,50
Umar Sadiq,Real Sociedad,NGA,FW,26,2051,211,340,82,105,78.1,46,4,1,13,14,57.1
Aritz Elustondo,Real Sociedad,ESP,DF,29,9206,582,3296,186,211,88.2,269,2,0,38,59,62.7
André Silva,Real Sociedad,POR,FW,27,1920,192,194,100,109,91.7,43,1,0,9,3,66.7
Sheraldo Becker,Real Sociedad,SUR,FW,28,2366,261,403,99,126,78.6,48,10,3,13,24,41.7
Álvaro Odriozola,Real Sociedad,ESP,"DF,FW",27,4363,304,1143,122,133,91.7,119,3,3,10,20,80
Jon Aramburu,Real Sociedad,VEN,DF,21,4057,325,1247,128,144,88.9,115,2,1,26,27,40.7
Carlos Fernández,Real Sociedad,ESP,FW,27,790,109,116,38,59,64.4,18,1,0,4,5,20
Olasagasti,Real Sociedad,ESP,MF,22,1813,176,337,79,95,83.2,38,3,0,13,12,41.7
Mohamed Ali Cho,Real Sociedad,FRA,"FW,MF",19,803,97,175,35,46,76.1,19,1,1,5,10,20
Unai Marrero,Real Sociedad,ESP,GK,21,934,45,792,5,6,83.3,13,0,0,0,26,38.5
Urko González,Real Sociedad,ESP,DF,22,1127,89,293,39,46,84.8,30,1,0,6,9,22.2
Jon Magunacelaya,Real Sociedad,ESP,MF,23,407,47,61,17,24,70.8,11,0,0,2,0,
Alberto Dadie,Real Sociedad,ESP,FW,21,47,7,33,2,4,50,1,0,0,0,0,
Alex Sola,Real Sociedad,ESP,"DF,MF",24,196,16,75,5,5,100,7,0,0,1,0,
Jon Martin,Real Sociedad,ESP,DF,17,125,7,44,1,2,50,3,0,0,0,2,50
André Onana,Manchester Utd,CMR,GK,27,31956,1750,21983,313,314,99.7,619,3,0,6,780,41.9
Diogo Dalot,Manchester Utd,POR,DF,24,28361,2110,9189,841,947,88.8,660,34,18,132,236,63.6
Bruno Fernandes,Manchester Utd,POR,"MF,FW",28,32212,2482,11617,870,998,87.2,609,97,10,331,493,51.5
Alejandro Garnacho,Manchester Utd,ARG,"FW,MF",19,10233,979,1407,452,544,83.1,211,23,4,64,68,57.4
Rasmus Højlund,Manchester Utd,DEN,FW,20,4263,476,967,226,284,79.6,74,15,1,35,16,81.3
Marcus Rashford,Manchester Utd,ENG,FW,25,8970,861,2417,404,481,84,168,38,3,83,70,52.9
Scott McTominay,Manchester Utd,SCO,MF,26,9544,786,2407,370,425,87.1,217,10,0,78,45,73.3
Casemiro,Manchester Utd,BRA,MF,31,21522,1520,8285,567,631,89.9,519,22,3,123,206,55.8
Aaron Wan-Bissaka,Manchester Utd,ENG,DF,25,12154,1101,3998,603,669,90.1,269,17,3,87,46,50
Kobbie Mainoo,Manchester Utd,ENG,MF,18,10835,889,2764,450,498,90.4,243,9,1,66,53,62.3
Harry Maguire,Manchester Utd,ENG,DF,30,20790,1324,7734,440,487,90.3,515,6,0,84,219,58
Raphaël Varane,Manchester Utd,FRA,DF,30,15714,1014,5037,359,386,93,466,4,0,74,88,62.5
Victor Lindelöf,Manchester Utd,SWE,DF,29,15320,1087,4498,470,512,91.8,408,3,0,51,83,67.5
Antony,Manchester Utd,BRA,FW,23,7046,677,1899,331,391,84.7,153,34,3,78,32,53.1
Jonny Evans,Manchester Utd,NIR,DF,35,12594,879,3991,344,374,92,360,3,0,40,77,54.5
Sofyan Amrabat,Manchester Utd,MAR,"MF,DF",26,12998,840,3470,301,338,89.1,346,7,2,78,80,82.5
Christian Eriksen,Manchester Utd,DEN,MF,31,12498,944,3429,394,449,87.8,263,21,4,90,126,57.1
Luke Shaw,Manchester Utd,ENG,DF,28,9122,714,3562,299,334,89.5,213,9,1,51,81,48.1
Lisandro Martínez,Manchester Utd,ARG,DF,25,7621,493,2363,207,213,97.2,217,1,0,30,42,61.9
Mason Mount,Manchester Utd,ENG,"MF,FW",24,2834,257,867,133,147,90.5,48,6,2,24,21,57.1
Sergio Reguilón,Manchester Utd,ESP,DF,26,4853,410,1620,170,198,85.9,122,5,3,33,33,54.5
Anthony Martial,Manchester Utd,FRA,"FW,DF",27,1431,154,300,77,89,86.5,29,2,0,14,2,50
Amad Diallo,Manchester Utd,CIV,"FW,MF",21,1931,170,279,105,115,91.3,32,3,0,10,5,80
Facundo Pellistri,Manchester Utd,URU,FW,21,878,101,172,67,74,90.5,11,2,0,7,0,
Willy Kambwala,Manchester Utd,FRA,DF,18,2765,192,960,74,78,94.9,85,0,0,8,14,21.4
Hannibal Mejbri,Manchester Utd,TUN,"MF,FW",20,677,64,195,32,34,94.1,15,2,0,10,7,42.9
Omari Forson,Manchester Utd,ENG,MF,19,373,33,78,17,17,100,10,1,0,2,0,
Altay Bayındır,Manchester Utd,TUR,GK,25,,,,,,,,,,,,
Jadon Sancho,Manchester Utd,ENG,"FW,MF",23,446,43,116,22,25,88,10,2,0,4,1,100
Daniel Gore,Manchester Utd,ENG,MF,18,0,0,0,0,0,,0,0,0,0,0,
Donny van de Beek,Manchester Utd,NED,DF,26,7,1,0,1,1,100,0,0,0,0,0,
Ethan Wheatley,Manchester Utd,ENG,FW,17,0,0,0,0,0,,0,0,0,0,0,
Maxence Caqueret,Lyon,FRA,MF,23,27376,2009,10233,790,894,88.4,670,62,7,286,211,63.5
Anthony Lopes,Lyon,POR,GK,32,20175,1035,14006,146,146,100,392,1,0,1,487,47.4
Jake O'Brien,Lyon,IRL,DF,22,24904,1440,8108,413,453,91.2,662,3,0,68,221,75.6
Alexandre Lacazette,Lyon,FRA,FW,32,5653,561,1574,211,283,74.6,113,17,2,61,46,63
Nicolás Tagliafico,Lyon,ARG,DF,30,15340,1175,5299,513,565,90.8,398,20,5,105,87,59.8
Clinton Mata,Lyon,ANG,DF,30,20444,1514,7341,635,699,90.8,526,18,12,97,164,46.3
Duje Ćaleta-Car,Lyon,CRO,DF,26,20032,1204,7213,370,396,93.4,571,2,0,61,149,57.7
Corentin Tolisso,Lyon,FRA,MF,28,19107,1257,5916,452,513,88.1,447,30,11,153,168,73.8
Rayan Cherki,Lyon,FRA,"MF,FW",19,14766,1069,4022,364,451,80.7,336,43,6,138,152,64.5
Ernest Nuamah,Lyon,GHA,"FW,MF",19,8568,692,1884,273,319,85.6,193,31,5,74,75,58.7
Ainsley Maitland-Niles,Lyon,ENG,"DF,MF",25,10343,796,3289,350,387,90.4,241,17,3,76,71,62
Nemanja Matić,Lyon,SRB,MF,34,14848,989,4926,365,404,90.3,364,12,0,118,128,67.2
Saïd Benrahma,Lyon,ALG,"FW,MF",27,3752,349,1205,120,145,82.8,82,21,11,34,44,45.5
Sael Kumbedi,Lyon,FRA,DF,18,7036,592,1816,266,306,86.9,180,11,4,42,40,35
Sinaly Diomande,Lyon,CIV,DF,22,9695,570,3841,175,184,95.1,288,2,1,43,64,71.9
Dejan Lovren,Lyon,CRO,DF,34,7463,440,2174,104,127,81.9,215,0,0,20,66,63.6
Malick Fofana,Lyon,BEL,FW,18,2092,180,314,75,87,86.2,54,6,1,10,13,46.2
Henrique,Lyon,BRA,DF,29,4829,400,1386,209,221,94.6,113,5,4,36,25,52
Gift Orban,Lyon,NGA,FW,21,1022,103,169,40,52,76.9,19,2,0,6,11,45.5
Orel Mangala,Lyon,BEL,MF,25,2433,182,634,66,77,85.7,66,2,0,26,17,64.7
Mama Samba Baldé,Lyon,GNB,"FW,MF",27,1223,135,294,51,66,77.3,26,4,0,11,7,57.1
Skelly Alvero,Lyon,FRA,MF,21,2519,193,738,83,95,87.4,60,3,1,27,16,75
Lucas Perri,Lyon,BRA,GK,25,,,,,,,,,,,,
Diego Moreira,Lyon,POR,"FW,MF",18,1070,108,252,46,60,76.7,24,3,0,12,8,25
Mahamadou Diawara,Lyon,FRA,MF,18,1886,147,329,62,69,89.9,46,2,0,20,16,62.5
Paul Akouokou,Lyon,CIV,MF,25,2723,185,717,61,73,83.6,76,0,0,13,19,73.7
Jeffinho,Lyon,BRA,"FW,MF",23,1363,129,273,63,79,79.7,22,6,0,14,8,87.5
Tino Kadewere,Lyon,ZIM,"FW,MF",27,1209,111,352,53,66,80.3,28,3,1,12,5,60
Rémy Riou,Lyon,FRA,GK,35,1770,104,1171,24,25,96,44,0,0,0,34,35.3
Bradley Barcola,Lyon,FRA,FW,20,946,90,275,50,60,83.3,18,3,0,9,4,50
Johann Lepenant,Lyon,FRA,MF,20,2972,186,734,69,75,92,75,0,0,24,18,83.3
Amin Sarr,Lyon,SWE,"FW,MF",22,147,20,11,6,10,60,4,1,0,1,1,0
Adryelson,Lyon,BRA,"DF,FW",25,75,5,28,3,3,100,2,0,0,0,0,
Mamadou Sarr,Lyon,FRA,DF,17,57,4,7,2,2,100,2,0,0,0,0,
Chaim El Djebali,Lyon,TUN,MF,19,120,9,23,3,3,100,4,0,0,2,1,0
Mohamed El Arouch,Lyon,FRA,FW,19,22,1,22,0,0,,1,0,0,0,0,
Brice Samba,Lens,FRA,GK,29,29782,1409,20436,207,207,100,495,2,0,4,674,56.2
Facundo Medina,Lens,ARG,DF,24,37256,2472,13808,878,967,90.8,1007,33,8,240,300,58
Kevin Danso,Lens,AUT,DF,24,32177,2005,12919,670,725,92.4,917,8,0,153,222,64.9
Florian Sotoca,Lens,FRA,MF,32,19598,1758,5909,653,814,80.2,442,65,21,195,168,53.6
Przemysław Frankowski,Lens,POL,DF,28,21096,1730,7646,668,777,86,506,56,22,143,186,51.1
Jonathan Gradit,Lens,FRA,DF,30,27551,1779,11812,582,653,89.1,761,11,3,221,222,60.8
Elye Wahi,Lens,FRA,FW,20,3542,405,450,174,220,79.1,75,10,1,24,13,69.2
Ruben Aguilar,Lens,FRA,DF,30,16497,1396,6501,649,728,89.1,395,43,14,113,97,46.4
Salis Abdul Samed,Lens,GHA,MF,23,15759,1144,3830,506,561,90.2,416,6,2,94,68,75
Neil El Aynaoui,Lens,FRA,MF,22,9822,782,2670,350,400,87.5,245,12,1,71,47,57.4
David Pereira da Costa,Lens,POR,"MF,FW",22,10528,853,2663,334,384,87,240,29,7,84,91,57.1
Angelo Fulgini,Lens,FRA,MF,26,11632,962,3413,345,411,83.9,226,24,7,88,167,51.5
Andy Diouf,Lens,FRA,MF,20,9428,812,2410,345,403,85.6,242,16,1,82,55,50.9
