,Playing Time,Performance,Expected,Progression,Per 90 Minutes,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
31.5,DF,23,32,32,"2,835",3,0,3,3,0,0,13,2,0.04,0.06,Matches,1.6,20,121,5,0.10,0.00,0.10,0.10,0.10,0.04,0.02,0.06
29.2,FW,27,36,31,"2,631",8,8,16,5,3,3,4,0,0.10,0.46,Matches,12.8,101,155,287,0.27,0.27,0.55,0.17,0.44,0.19,0.36,0.55
29.2,MF,30,31,30,"2,629",4,0,4,4,0,0,13,1,0.09,0.17,Matches,4.8,51,193,43,0.14,0.00,0.14,0.14,0.14,0.09,0.08,0.17
27.8,MF,25,36,32,"2,504",2,0,2,2,0,0,7,0,0.09,0.16,Matches,4.3,36,101,61,0.07,0.00,0.07,0.07,0.07,0.09,0.07,0.16
24.1,MF,25,35,28,"2,169",7,4,11,6,1,1,8,0,0.18,0.32,Matches,7.1,37,81,129,0.29,0.17,0.46,0.25,0.41,0.22,0.14,0.35
23.3,FW,22,36,24,"2,098",6,4,10,6,0,0,4,0,0.29,0.43,Matches,9.0,28,37,121,0.26,0.17,0.43,0.26,0.43,0.29,0.14,0.43
20.8,FW,28,35,21,"1,876",7,3,10,7,0,0,2,1,0.45,0.56,Matches,11.0,22,25,111,0.34,0.14,0.48,0.34,0.48,0.45,0.11,0.56
19.7,FW,25,35,21,"1,775",4,0,4,4,0,0,3,0,0.34,0.40,Matches,7.2,48,21,130,0.20,0.00,0.20,0.20,0.20,0.34,0.06,0.40
15.9,MF,33,34,12,"1,434",0,1,1,0,0,0,5,0,0.09,0.15,Matches,2.1,28,105,32,0.00,0.06,0.06,0.00,0.06,0.09,0.07,0.15
14.6,"FW,MF",26,33,13,"1,315",3,3,6,3,0,0,3,0,0.27,0.40,Matches,5.2,19,23,95,0.21,0.21,0.41,0.21,0.41,0.27,0.13,0.40
10.6,MF,20,26,8,955,6,5,11,6,0,0,1,0,0.43,0.52,Matches,5.0,22,48,43,0.57,0.47,1.04,0.57,1.04,0.43,0.09,0.52
7.8,DF,25,15,8,698,0,0,0,0,0,0,3,0,0.05,0.08,Matches,0.4,3,24,4,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.08
5.0,GK,24,6,5,451,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.4,"FW,MF",23,20,2,303,0,0,0,0,0,0,1,1,0.04,0.15,Matches,0.4,15,9,39,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.15
1.3,"DF,FW",24,4,1,121,0,0,0,0,0,0,0,0,0.04,0.04,Matches,0.0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04
1.1,DF,18,2,1,101,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.1,FW,19,8,0,97,0,0,0,0,0,0,2,1,0.25,0.29,Matches,0.3,5,1,8,0.00,0.00,0.00,0.00,0.00,0.25,0.05,0.29
1.0,DF,29,2,1,91,1,0,1,1,0,0,1,0,0.10,0.10,Matches,0.1,0,2,1,0.99,0.00,0.99,0.99,0.99,0.10,0.00,0.10
0.9,"MF,FW",24,9,0,77,0,1,1,0,0,0,0,0,0.10,0.87,Matches,0.5,1,0,5,0.00,1.17,1.17,0.00,1.17,0.10,0.77,0.87
0.2,"MF,FW",20,1,0,16,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.1,"MF,FW",23,2,0,9,0,0,0,0,0,0,0,0,0.55,2.17,Matches,0.2,1,2,0,0.00,0.00,0.00,0.00,0.00,0.55,1.62,2.17
,DF,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,DF,30,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,FW,20,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,GK,28,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,DF,17,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
47.2,DF,25,48,48,"4,244",1,0,1,1,0,0,9,1,0.07,0.08,Matches,3.4,48,174,39,0.02,0.00,0.02,0.02,0.02,0.07,0.01,0.08
46.8,FW,27,51,47,"4,216",24,13,37,24,0,0,7,0,0.45,0.63,Matches,27.4,69,66,260,0.51,0.28,0.79,0.51,0.79,0.45,0.18,0.63
46.5,MF,25,51,47,"4,185",9,10,19,5,4,5,16,0,0.11,0.27,Matches,11.7,76,228,68,0.19,0.22,0.41,0.11,0.32,0.20,0.17,0.37
46.3,"MF,FW",28,51,49,"4,164",9,7,16,9,0,0,11,1,0.13,0.26,Matches,11.3,67,241,114,0.19,0.15,0.35,0.19,0.35,0.13,0.13,0.26
45.8,GK,30,46,46,"4,125",0,0,0,0,0,0,6,0,0.00,0.00,Matches,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36.2,DF,25,44,34,"3,257",4,3,7,4,0,0,11,0,0.15,0.24,Matches,7.5,86,134,146,0.11,0.08,0.19,0.11,0.19,0.15,0.09,0.24
36.2,DF,30,45,36,"3,256",2,3,5,2,0,0,9,0,0.04,0.16,Matches,5.8,58,104,266,0.06,0.08,0.14,0.06,0.14,0.04,0.12,0.16
34.0,DF,26,37,34,"3,058",2,0,2,2,0,0,1,0,0.03,0.05,Matches,1.5,52,158,17,0.06,0.00,0.06,0.06,0.06,0.03,0.02,0.05
33.8,"FW,MF",24,53,35,"3,039",10,9,19,10,0,0,4,0,0.25,0.48,Matches,15.0,123,102,242,0.30,0.27,0.56,0.30,0.56,0.25,0.22,0.48
33.6,"MF,FW",25,50,33,"3,024",12,13,25,12,0,0,7,0,0.26,0.60,Matches,18.7,135,102,302,0.36,0.39,0.74,0.36,0.74,0.26,0.34,0.60
28.9,"MF,FW",26,44,28,"2,599",3,7,10,3,0,0,6,0,0.08,0.22,Matches,5.7,36,176,66,0.10,0.24,0.35,0.10,0.35,0.08,0.14,0.22
26.9,DF,30,36,27,"2,424",1,0,1,1,0,0,5,0,0.10,0.11,Matches,2.9,5,77,1,0.04,0.00,0.04,0.04,0.04,0.10,0.02,0.11
25.4,MF,23,28,27,"2,288",1,1,2,1,0,0,7,1,0.03,0.09,Matches,2.0,25,101,15,0.04,0.04,0.08,0.04,0.08,0.03,0.06,0.09
23.0,DF,28,25,24,"2,070",0,1,1,0,0,0,5,0,0.05,0.09,Matches,1.8,34,80,4,0.00,0.04,0.04,0.00,0.04,0.05,0.04,0.09
17.3,DF,30,29,17,"1,560",3,0,3,3,0,0,2,0,0.10,0.19,Matches,2.7,39,31,100,0.17,0.00,0.17,0.17,0.17,0.10,0.09,0.19
14.5,"FW,MF",24,39,13,"1,305",3,1,4,3,0,0,12,0,0.28,0.38,Matches,5.2,50,40,97,0.21,0.07,0.28,0.21,0.28,0.28,0.10,0.38
11.8,"FW,MF",22,21,10,"1,064",1,2,3,1,0,0,2,0,0.23,0.34,Matches,3.6,39,34,81,0.08,0.17,0.25,0.08,0.25,0.23,0.10,0.34
11.5,"FW,MF",19,35,9,"1,037",7,0,7,7,0,0,8,0,0.42,0.47,Matches,4.7,15,19,46,0.61,0.00,0.61,0.61,0.61,0.42,0.05,0.47
10.8,"MF,FW",21,16,12,976,3,1,4,3,0,0,5,0,0.16,0.26,Matches,2.7,29,42,44,0.28,0.09,0.37,0.28,0.37,0.16,0.10,0.26
7.5,GK,33,8,7,675,0,0,0,0,0,0,0,0,0.00,0.06,Matches,0.4,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06
4.2,MF,28,14,5,374,1,0,1,1,0,0,0,0,0.25,0.26,Matches,0.8,2,12,4,0.24,0.00,0.24,0.24,0.24,0.25,0.01,0.26
3.3,MF,20,15,2,299,0,0,0,0,0,0,1,0,0.00,0.00,Matches,0.0,3,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.7,"MF,DF",28,7,2,240,0,1,1,0,0,0,1,0,0.00,0.04,Matches,0.1,1,8,2,0.00,0.37,0.37,0.00,0.37,0.00,0.04,0.04
1.0,GK,20,1,1,90,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.7,FW,17,5,0,63,0,0,0,0,0,0,0,0,0.13,0.13,Matches,0.1,1,0,3,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13
0.3,DF,30,1,1,30,0,0,0,0,0,0,0,0,0.02,0.09,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09
0.3,"DF,FW",27,5,0,26,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,4,1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.3,"MF,FW",31,2,0,25,0,0,0,0,0,0,0,0,0.52,0.52,Matches,0.1,5,5,2,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.52
0.1,MF,19,1,0,12,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.1,"MF,DF",20,4,0,11,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.1,MF,18,2,0,9,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.1,MF,22,1,0,6,0,0,0,0,0,0,1,0,0.00,0.00,Matches,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0,FW,21,1,0,4,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,2,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,GK,,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,GK,16,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,MF,17,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,GK,18,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,GK,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,GK,23,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,MF,17,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
42.3,GK,21,42,42,"3,809",0,0,0,0,0,0,1,0,0.00,0.00,Matches,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40.1,MF,32,43,40,"3,606",5,0,5,5,0,0,9,0,0.10,0.14,Matches,5.3,46,264,52,0.12,0.00,0.12,0.12,0.12,0.10,0.04,0.14
39.1,DF,17,42,39,"3,521",2,0,2,2,0,0,5,0,0.05,0.05,Matches,1.8,13,103,3,0.05,0.00,0.05,0.05,0.05,0.05,0.00,0.05
37.7,FW,23,45,38,"3,390",25,7,32,22,3,4,4,0,0.57,0.67,Matches,23.4,52,94,234,0.66,0.19,0.85,0.58,0.77,0.66,0.10,0.77
36.9,DF,21,41,37,"3,323",3,2,5,3,0,0,8,0,0.05,0.14,Matches,4.8,116,137,190,0.08,0.05,0.14,0.08,0.14,0.05,0.09,0.14
35.9,MF,22,43,35,"3,235",2,10,12,1,1,1,7,0,0.09,0.31,Matches,10.3,61,245,101,0.06,0.28,0.33,0.03,0.31,0.11,0.22,0.33
34.3,DF,33,38,35,"3,085",1,2,3,1,0,0,1,0,0.01,0.05,Matches,1.6,82,137,121,0.03,0.06,0.09,0.03,0.09,0.01,0.04,0.05
33.0,FW,24,45,34,"2,968",11,10,21,10,1,1,3,1,0.24,0.49,Matches,14.9,139,108,374,0.33,0.30,0.64,0.30,0.61,0.26,0.25,0.52
31.9,DF,23,40,30,"2,875",1,0,1,1,0,0,6,1,0.10,0.12,Matches,3.6,16,120,8,0.03,0.00,0.03,0.03,0.03,0.10,0.02,0.12
28.2,MF,28,34,30,"2,540",0,3,3,0,0,0,11,0,0.02,0.07,Matches,1.9,16,172,28,0.00,0.11,0.11,0.00,0.11,0.02,0.05,0.07
23.6,"DF,FW",24,37,23,"2,122",1,1,2,1,0,0,2,0,0.08,0.15,Matches,3.5,59,65,128,0.04,0.04,0.08,0.04,0.08,0.08,0.07,0.15
23.5,DF,22,26,24,"2,117",6,2,8,6,0,0,5,0,0.13,0.20,Matches,4.6,17,108,17,0.26,0.09,0.34,0.26,0.34,0.13,0.06,0.20
23.2,"MF,FW",26,40,24,"2,091",12,5,17,11,1,1,5,0,0.36,0.50,Matches,10.9,49,73,158,0.52,0.22,0.73,0.47,0.69,0.39,0.14,0.53
22.4,"FW,MF",33,39,19,"2,015",4,5,9,4,0,0,0,0,0.33,0.55,Matches,12.2,106,149,227,0.18,0.22,0.40,0.18,0.40,0.33,0.22,0.55
21.9,"FW,MF",20,36,24,"1,968",5,4,9,4,1,1,6,0,0.08,0.25,Matches,5.1,37,83,126,0.23,0.18,0.41,0.18,0.37,0.08,0.17,0.25
9.8,FW,29,21,10,882,1,1,2,1,0,0,1,0,0.15,0.36,Matches,3.4,23,26,95,0.10,0.10,0.20,0.10,0.20,0.15,0.21,0.36
7.8,DF,29,12,8,706,0,0,0,0,0,0,1,0,0.05,0.05,Matches,0.4,3,32,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05
7.8,MF,15,18,7,702,0,1,1,0,0,0,4,1,0.00,0.06,Matches,0.4,3,37,11,0.00,0.13,0.13,0.00,0.13,0.00,0.06,0.06
7.3,FW,26,21,6,661,1,0,1,1,0,0,0,0,0.11,0.53,Matches,3.3,22,33,69,0.14,0.00,0.14,0.14,0.14,0.11,0.42,0.53
5.0,GK,35,6,5,451,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.0,DF,28,3,2,179,0,0,0,0,0,0,0,0,0.09,0.09,Matches,0.1,4,5,15,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09
1.7,FW,20,5,2,156,0,0,0,0,0,0,0,0,0.04,0.14,Matches,0.2,5,5,21,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.14
1.0,MF,20,4,1,88,0,0,0,0,0,0,1,0,0.09,0.09,Matches,0.1,2,7,0,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09
0.8,FW,18,2,1,74,1,0,1,1,0,0,0,0,0.05,0.05,Matches,0.0,0,0,2,1.22,0.00,1.22,1.22,1.22,0.05,0.00,0.05
0.7,FW,19,4,0,66,0,0,0,0,0,0,0,0,0.70,0.70,Matches,0.4,3,3,2,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.70
0.7,MF,19,2,1,61,0,0,0,0,0,0,0,0,0.05,0.05,Matches,0.0,1,3,1,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05
0.4,FW,17,3,0,36,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,1,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.3,"FW,MF",18,4,0,23,0,1,1,0,0,0,1,0,0.16,1.78,Matches,0.5,1,0,1,0.00,3.91,3.91,0.00,3.91,0.16,1.63,1.78
0.2,FW,23,3,0,16,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.2,FW,19,1,0,14,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.1,FW,17,2,0,13,0,0,0,0,0,0,0,0,0.00,1.23,Matches,0.2,1,0,3,0.00,0.00,0.00,0.00,0.00,0.00,1.23,1.23
0.1,MF,18,1,0,8,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,GK,20,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,GK,17,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,DF,17,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,GK,26,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,GK,18,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,DF,17,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,DF,18,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,DF,21,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
40.0,GK,26,40,40,"3,600",0,0,0,0,0,0,3,0,0.00,0.00,Matches,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36.3,DF,23,37,37,"3,269",4,7,11,4,0,0,4,0,0.09,0.30,Matches,10.1,57,194,158,0.11,0.19,0.30,0.11,0.30,0.09,0.21,0.30
33.2,"FW,MF",23,39,33,"2,991",8,3,11,8,0,0,7,0,0.15,0.40,Matches,12.4,151,144,388,0.24,0.09,0.33,0.24,0.33,0.15,0.25,0.40
33.2,FW,31,36,34,"2,984",17,10,27,15,2,2,1,0,0.32,0.68,Matches,22.2,119,139,325,0.51,0.30,0.81,0.45,0.75,0.37,0.36,0.73
32.0,DF,25,34,34,"2,880",5,0,5,5,0,0,7,1,0.11,0.13,Matches,3.9,32,179,8,0.16,0.00,0.16,0.16,0.16,0.11,0.01,0.13
28.6,DF,20,30,30,"2,571",2,3,5,2,0,0,8,1,0.09,0.17,Matches,4.6,83,155,138,0.07,0.11,0.18,0.07,0.18,0.09,0.08,0.17
28.3,DF,22,29,29,"2,549",3,0,3,3,0,0,6,0,0.02,0.02,Matches,0.6,19,108,9,0.11,0.00,0.11,0.11,0.11,0.02,0.00,0.02
24.9,FW,22,34,25,"2,238",5,10,15,5,0,0,3,0,0.44,0.79,Matches,18.3,97,72,293,0.20,0.40,0.60,0.20,0.60,0.44,0.35,0.79
24.4,MF,26,30,26,"2,192",4,9,13,4,0,0,5,0,0.27,0.52,Matches,12.4,58,224,156,0.16,0.37,0.53,0.16,0.53,0.27,0.25,0.52
23.5,MF,20,35,27,"2,118",3,3,6,3,0,0,9,0,0.15,0.25,Matches,5.7,43,150,90,0.13,0.13,0.25,0.13,0.25,0.15,0.10,0.25
23.0,MF,26,28,26,"2,068",0,0,0,0,0,0,10,2,0.06,0.08,Matches,1.8,43,169,13,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08
19.3,FW,26,31,21,"1,734",12,4,16,12,0,0,3,0,0.58,0.70,Matches,11.7,26,38,106,0.62,0.21,0.83,0.62,0.83,0.58,0.13,0.70
17.0,MF,27,39,10,"1,534",0,0,0,0,0,0,4,0,0.05,0.13,Matches,1.9,17,134,29,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.13
15.2,DF,24,24,13,"1,371",1,0,1,1,0,0,4,0,0.02,0.05,Matches,0.6,21,57,35,0.07,0.00,0.07,0.07,0.07,0.02,0.03,0.05
14.4,DF,30,19,14,"1,300",1,0,1,1,0,0,2,0,0.19,0.23,Matches,2.7,13,71,20,0.07,0.00,0.07,0.07,0.07,0.19,0.03,0.23
12.9,MF,26,25,15,"1,159",1,1,2,1,0,0,7,0,0.17,0.22,Matches,2.4,16,72,31,0.08,0.08,0.16,0.08,0.16,0.17,0.04,0.22
10.0,FW,27,14,11,899,2,3,5,2,0,0,1,0,0.41,0.72,Matches,6.4,79,41,124,0.20,0.30,0.50,0.20,0.50,0.41,0.30,0.72
9.7,"MF,DF",22,24,7,873,0,0,0,0,0,0,4,0,0.09,0.16,Matches,1.3,8,37,25,0.00,0.00,0.00,0.00,0.00,0.09,0.07,0.16
6.8,MF,27,24,6,608,2,2,4,2,0,0,2,0,0.10,0.45,Matches,2.5,25,68,29,0.30,0.30,0.59,0.30,0.59,0.10,0.34,0.45
4.8,DF,21,9,4,429,0,0,0,0,0,0,1,0,0.03,0.03,Matches,0.1,5,8,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03
3.1,FW,24,6,3,280,0,2,2,0,0,0,1,0,0.19,0.56,Matches,1.2,17,11,44,0.00,0.64,0.64,0.00,0.64,0.19,0.38,0.56
2.7,"FW,MF",22,12,2,242,0,0,0,0,0,0,1,0,0.32,0.41,Matches,1.0,11,16,49,0.00,0.00,0.00,0.00,0.00,0.32,0.09,0.41
2.2,DF,29,4,1,201,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.2,DF,27,2,1,197,0,0,0,0,0,0,1,0,0.14,0.14,Matches,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14
1.9,FW,34,6,1,173,0,2,2,0,0,0,2,0,0.10,0.85,Matches,1.0,15,9,17,0.00,1.04,1.04,0.00,1.04,0.10,0.75,0.85
1.3,GK,35,1,1,120,0,0,0,0,0,0,0,0,,,Matches,,,,,0.00,0.00,0.00,0.00,0.00,,,
1.2,FW,19,7,0,106,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.6,FW,19,8,0,50,1,0,1,1,0,0,1,0,0.45,0.45,Matches,0.2,0,1,3,1.80,0.00,1.80,1.80,1.80,0.45,0.00,0.45
0.1,FW,18,4,0,11,0,0,0,0,0,0,1,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.1,"DF,FW",23,1,0,8,0,0,0,0,0,0,0,0,,,Matches,,,,,0.00,0.00,0.00,0.00,0.00,,,
0.0,MF,15,2,0,4,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,2,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DF,18,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,MF,17,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,DF,18,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,"FW,MF",20,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,GK,24,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,GK,24,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
50.4,"MF,DF",28,52,50,"4,538",4,5,9,4,0,0,13,0,0.12,0.19,Matches,9.2,58,286,98,0.08,0.10,0.18,0.08,0.18,0.12,0.07,0.19
44.9,DF,27,49,47,"4,041",7,1,8,7,0,0,12,1,0.08,0.13,Matches,5.5,54,188,23,0.16,0.02,0.18,0.16,0.18,0.08,0.04,0.13
43.3,FW,30,47,45,"3,897",21,4,25,21,0,1,5,1,0.34,0.43,Matches,17.5,50,49,321,0.48,0.09,0.58,0.48,0.58,0.36,0.09,0.45
42.7,MF,29,49,44,"3,842",5,7,12,0,5,5,18,1,0.03,0.14,Matches,5.4,40,279,23,0.12,0.16,0.28,0.00,0.16,0.13,0.10,0.23
32.5,DF,23,34,33,"2,924",0,3,3,0,0,0,11,0,0.03,0.07,Matches,2.3,41,114,14,0.00,0.09,0.09,0.00,0.09,0.03,0.04,0.07
31.9,DF,29,41,35,"2,871",1,2,3,1,0,0,7,0,0.02,0.04,Matches,1.4,23,102,5,0.03,0.06,0.09,0.03,0.09,0.02,0.03,0.04
31.0,"FW,DF",30,48,31,"2,790",3,9,12,3,0,0,2,0,0.15,0.33,Matches,9.7,79,70,206,0.10,0.29,0.39,0.10,0.39,0.15,0.18,0.33
30.3,GK,23,30,30,"2,730",0,0,0,0,0,0,2,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30.2,MF,27,41,29,"2,720",10,5,15,9,1,1,10,0,0.17,0.30,Matches,8.5,56,124,122,0.33,0.17,0.50,0.30,0.46,0.20,0.13,0.32
29.5,"FW,MF",29,39,33,"2,651",16,10,26,8,8,8,3,0,0.24,0.42,Matches,12.0,102,161,211,0.54,0.34,0.88,0.27,0.61,0.44,0.18,0.61
29.2,MF,21,45,28,"2,629",1,2,3,1,0,0,5,0,0.08,0.12,Matches,3.4,26,115,64,0.03,0.07,0.10,0.03,0.10,0.08,0.04,0.12
24.0,GK,35,24,24,"2,160",0,0,0,0,0,0,1,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22.9,DF,30,36,23,"2,065",1,3,4,1,0,0,3,0,0.02,0.21,Matches,4.7,143,70,99,0.04,0.13,0.17,0.04,0.17,0.02,0.20,0.21
20.9,DF,26,31,20,"1,879",1,1,2,1,0,0,5,0,0.03,0.08,Matches,1.5,16,40,115,0.05,0.05,0.10,0.05,0.10,0.03,0.05,0.08
20.0,DF,28,28,21,"1,801",0,2,2,0,0,0,3,0,0.03,0.15,Matches,2.9,13,52,92,0.00,0.10,0.10,0.00,0.10,0.03,0.12,0.15
17.2,"DF,FW",21,33,16,"1,548",0,2,2,0,0,0,4,1,0.09,0.26,Matches,4.1,70,42,97,0.00,0.12,0.12,0.00,0.12,0.09,0.17,0.26
17.0,DF,26,29,16,"1,530",0,2,2,0,0,0,3,1,0.02,0.12,Matches,1.9,31,44,72,0.00,0.12,0.12,0.00,0.12,0.02,0.09,0.12
14.2,DF,26,20,15,"1,274",0,1,1,0,0,0,2,0,0.01,0.13,Matches,1.8,15,46,60,0.00,0.07,0.07,0.00,0.07,0.01,0.12,0.13
12.8,"MF,FW",25,25,15,"1,154",4,0,4,4,0,0,3,0,0.20,0.24,Matches,3.0,25,44,80,0.31,0.00,0.31,0.31,0.31,0.20,0.04,0.24
11.2,FW,29,22,10,"1,005",6,2,8,6,0,0,2,0,0.39,0.58,Matches,6.1,22,13,66,0.54,0.18,0.72,0.54,0.72,0.39,0.19,0.58
9.1,"FW,MF",28,29,5,816,3,1,4,3,0,0,4,1,0.39,0.56,Matches,4.7,5,16,41,0.33,0.11,0.44,0.33,0.44,0.39,0.17,0.56
7.4,DF,33,12,7,670,0,0,0,0,0,0,0,0,0.01,0.06,Matches,0.4,7,20,2,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06
7.3,"FW,MF",20,18,7,654,0,0,0,0,0,0,2,0,0.14,0.24,Matches,1.7,23,20,61,0.00,0.00,0.00,0.00,0.00,0.14,0.10,0.24
6.5,DF,18,14,5,589,2,0,2,2,0,0,4,0,0.07,0.08,Matches,0.5,4,18,15,0.31,0.00,0.31,0.31,0.31,0.07,0.01,0.08
3.6,FW,25,12,2,325,1,0,1,1,0,0,1,0,0.44,0.48,Matches,1.7,6,5,18,0.28,0.00,0.28,0.28,0.28,0.44,0.04,0.48
3.0,MF,25,12,3,266,1,0,1,1,0,0,2,0,0.04,0.24,Matches,0.7,8,15,12,0.34,0.00,0.34,0.34,0.34,0.04,0.20,0.24
1.4,"MF,DF",18,7,0,122,0,0,0,0,0,0,0,0,0.30,0.37,Matches,0.5,1,5,4,0.00,0.00,0.00,0.00,0.00,0.30,0.07,0.37
0.3,MF,18,2,0,28,1,0,1,1,0,0,0,0,0.78,0.78,Matches,0.2,0,4,3,3.21,0.00,3.21,3.21,3.21,0.78,0.00,0.78
0.3,FW,24,1,0,23,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,1,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.2,"MF,FW",18,5,0,22,0,0,0,0,0,0,1,0,0.00,0.13,Matches,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13
