,Playing Time,Performance,Expected,Progression,Per 90 Minutes,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
34.8,DF,33,45,33,"3,131",0,1,1,0,0,0,5,2,0.03,0.07,Matches,2.2,17,75,10,0.00,0.03,0.03,0.00,0.03,0.03,0.04,0.07
34.1,FW,23,39,35,"3,067",24,9,33,21,3,3,11,0,0.52,0.77,Matches,23.5,207,82,388,0.70,0.26,0.97,0.62,0.88,0.57,0.24,0.82
31.7,GK,24,31,31,"2,850",0,0,0,0,0,0,2,0,0.00,0.01,Matches,0.3,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01
31.4,DF,28,37,33,"2,827",1,0,1,1,0,0,6,0,0.01,0.06,Matches,1.6,23,120,124,0.03,0.00,0.03,0.03,0.03,0.01,0.05,0.06
31.3,MF,20,46,32,"2,817",0,3,3,0,0,0,13,0,0.04,0.11,Matches,3.3,62,148,47,0.00,0.10,0.10,0.00,0.10,0.04,0.07,0.11
31.2,"MF,DF",23,38,31,"2,808",3,1,4,3,0,0,11,0,0.05,0.08,Matches,2.4,31,146,17,0.10,0.03,0.13,0.10,0.13,0.05,0.03,0.08
25.0,MF,37,46,23,"2,249",2,7,9,2,0,1,2,0,0.07,0.35,Matches,8.0,69,243,107,0.08,0.28,0.36,0.08,0.36,0.10,0.28,0.38
23.6,FW,33,49,18,"2,121",18,3,21,17,1,3,1,0,0.70,0.80,Matches,17.5,17,22,111,0.76,0.13,0.89,0.72,0.85,0.78,0.09,0.87
23.0,"MF,FW",23,44,22,"2,067",12,8,20,12,0,0,2,0,0.35,0.65,Matches,13.3,93,93,195,0.52,0.35,0.87,0.52,0.87,0.35,0.30,0.65
19.9,DF,32,38,18,"1,795",3,7,10,3,0,0,2,0,0.06,0.32,Matches,6.3,41,72,205,0.15,0.35,0.50,0.15,0.50,0.07,0.26,0.32
19.6,GK,28,20,19,"1,768",0,0,0,0,0,0,2,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18.8,DF,23,31,18,"1,693",1,6,7,1,0,0,2,0,0.03,0.19,Matches,3.3,69,70,163,0.05,0.32,0.37,0.05,0.37,0.03,0.16,0.19
15.6,DF,31,17,17,"1,404",0,2,2,0,0,0,3,0,0.09,0.15,Matches,2.4,11,57,22,0.00,0.13,0.13,0.00,0.13,0.09,0.07,0.15
9.7,MF,26,27,8,876,1,2,3,1,0,0,2,0,0.06,0.27,Matches,2.2,20,57,29,0.10,0.21,0.31,0.10,0.31,0.06,0.20,0.27
5.7,DF,25,13,6,509,0,0,0,0,0,0,0,0,0.02,0.02,Matches,0.1,7,15,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02
